,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,ALAND,Popo_Density_Per_Hector
186,"Census Tract 478.02, San Francisco County, California",3783,1419,842,7.5,40.7,2.65,2.97,18.3,0,0.0,0.0,4.3,7.7,90.4,0.9,60.1,44.1,5.9,1.1,56.7,14.4,11.0,5.6,27.2,0.0,2.6,6.2,16.4,25.2,157683,23.2,0.0,1.3,29.8,52536,101641,81364,80.6,80.6,2.4,2.0,0.0,40.0,1611,88.1,0.0,4.6,1611,06,075,047802,3.4,0.0,6.9,8.3,1419,43.2,806,2.62,4.0,23.3,0.0,0.0,0.0,31.8,4001,1897,2.8,18.5,0.0,1.7,45.7,3783,33,2535,low,339448,0.0087
187,"Census Tract 611, San Francisco County, California",4692,2062,1171,7.2,43.2,2.28,3.08,4.1,47,0.0,0.0,18.3,3.9,93.0,0.7,21.0,89.1,0.2,7.7,13.9,56.7,8.0,1.2,8.3,0.0,16.5,22.5,3.2,3.6,49790,34.8,6.0,20.9,5.5,17194,40565,33636,23.8,23.8,5.6,32.4,21.2,0.0,2289,90.1,0.0,4.7,2289,06,075,061100,71.6,0.0,9.7,57.5,2062,4.5,1969,1.81,0.9,28.8,0.0,0.0,0.0,54.8,4001,572,5.6,34.7,0.0,0.2,3.9,4692,23,12883,high,239861,0.0049
188,"Census Tract 612, San Francisco County, California",4293,1229,740,15.7,39.8,3.4,4.21,13.7,22,7.6,33.7,9.1,5.6,96.4,0.2,60.1,57.1,0.7,11.3,31.3,25.7,12.3,2.0,10.5,0.0,7.6,10.8,6.0,7.8,95552,29.3,4.7,13.4,10.5,28563,33125,48472,51.9,51.9,8.4,14.7,13.7,48.5,1283,95.8,0.0,2.5,1283,06,075,061200,15.0,0.0,4.8,3.2,1229,42.6,706,4.15,0.0,35.7,0.0,0.0,0.0,57.4,2489,960,2.7,19.5,0.3,0.3,19.0,4293,43,22200,high,434742,0.01
189,"Census Tract 614, San Francisco County, California",5977,2521,1411,20.3,44.0,2.37,2.84,14.3,0,0.0,0.0,7.0,7.0,83.3,0.7,76.2,34.0,7.2,4.2,71.9,11.0,7.8,6.8,30.0,0.0,6.8,8.7,9.8,29.5,179319,21.3,1.4,11.9,28.9,85896,115962,95868,69.3,69.3,5.2,22.0,0.0,52.3,2693,93.6,0.0,0.0,2693,06,075,061400,11.5,0.6,9.4,4.3,2521,44.8,1392,2.12,2.5,21.2,2.1,1.2,1.4,34.3,3610,1614,6.1,12.9,2.5,3.3,52.6,5977,79,17597,high,797744,0.0132
190,"Census Tract 9802, San Francisco County, California",305,57,30,0.0,47.4,1.86,2.4,6.6,0,-666666666.0,-666666666.0,7.1,1.7,82.6,2.0,63.3,26.4,10.8,0.0,90.2,0.0,0.0,27.9,16.4,0.0,0.0,0.0,8.8,36.8,348506,43.9,0.0,0.0,50.0,154375,-666666666,159643,82.1,82.1,0.0,0.0,0.0,-666666666.0,76,75.0,0.0,0.0,76,06,075,980200,6.6,0.0,5.3,0.0,57,61.4,22,1.71,0.0,17.5,0.0,0.0,0.0,42.9,3250,2324,2.0,67.2,0.0,0.0,51.8,305,102,425,low,1022573,0.3344
191,"Census Tract 9803, San Francisco County, California",66,49,0,0.0,100.0,1.35,-666666666.0,25.8,0,-666666666.0,-666666666.0,0.0,0.0,77.3,0.0,83.3,9.1,7.6,0.0,57.4,16.4,9.8,0.0,26.2,0.0,0.0,0.0,42.9,0.0,116194,0.0,0.0,0.0,-666666666.0,82031,110500,-666666666,100.0,100.0,0.0,-666666666.0,-666666666.0,-666666666.0,49,100.0,-666666666.0,0.0,49,06,075,980300,46.9,0.0,18.4,10.2,49,0.0,49,-666666666.0,8.2,32.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,1925,0.0,0.0,0.0,7.6,90.9,66,434,23667,high,4341948,6.5758
192,"Census Tract 9805.01, San Francisco County, California",669,246,156,16.3,36.6,2.72,3.71,0.0,167,0.0,33.3,10.5,5.9,93.2,0.0,43.0,66.1,8.4,18.0,25.1,31.0,4.8,9.1,9.6,0.0,15.9,28.9,2.4,0.0,77306,42.3,7.3,26.0,0.0,31458,35938,52019,32.4,32.4,4.5,30.8,0.0,51.4,271,90.8,0.0,0.0,271,06,075,980501,34.7,0.0,3.3,1.8,246,17.9,202,5.16,0.0,50.0,11.4,0.0,0.0,54.5,1944,283,3.7,31.4,0.0,2.2,8.7,669,157,2989,low,1577313,0.2347
193,"Census Tract 9806, San Francisco County, California",575,225,132,22.2,41.3,2.56,3.32,7.7,0,-666666666.0,-666666666.0,10.2,5.5,78.4,2.8,69.0,29.4,3.8,2.7,39.8,31.3,6.3,18.0,23.2,0.0,14.2,7.1,7.1,11.6,87769,30.7,0.0,9.3,16.7,34044,51750,-666666666,65.6,65.6,3.5,22.0,50.0,66.7,285,78.9,22.8,0.0,285,06,075,980600,9.8,33.3,5.3,0.0,225,64.9,79,2.42,5.8,10.2,0.0,0.0,0.0,52.1,2944,859,3.5,13.6,0.9,0.0,36.0,575,213,1020,low,2132298,0.3704
194,"Census Tract 9809, San Francisco County, California",272,154,60,7.1,61.0,1.77,2.72,5.5,109,-666666666.0,-666666666.0,7.8,9.1,90.7,0.0,75.0,28.4,9.9,8.5,58.7,20.7,8.2,2.7,36.4,0.0,20.8,0.0,0.0,19.5,117838,11.0,0.0,0.0,50.0,84375,114750,-666666666,67.3,67.3,11.0,0.0,0.0,0.0,196,78.6,0.0,9.8,196,06,075,980900,23.5,7.1,18.9,34.2,154,10.4,138,2.0,0.0,27.3,0.0,0.0,0.0,31.3,3400,2703,13.2,6.3,0.0,3.7,69.5,272,358,22377,high,3585240,1.3162
195,"Census Tract 6009, San Mateo County, California",4083,1365,1004,7.9,26.4,2.99,3.43,6.8,0,0.0,15.7,6.2,8.8,94.3,0.9,52.7,49.1,9.6,6.1,50.7,13.2,8.5,12.2,8.2,0.5,3.4,4.8,10.0,26.4,133472,35.1,3.0,2.1,29.7,53487,73571,68720,77.6,77.6,3.2,2.2,0.0,0.0,1459,93.6,0.0,6.2,1459,06,081,600900,1.2,0.0,2.2,0.0,1365,73.6,361,2.92,1.0,21.6,1.1,0.9,1.0,64.3,2911,2500,4.0,25.7,1.9,1.7,45.2,4083,203,143,low,2039502,0.0497
196,"Census Tract 6002, San Mateo County, California",4173,1170,900,20.5,23.1,3.57,3.96,8.2,38,0.0,20.5,8.3,6.4,97.1,0.0,40.6,71.2,1.5,5.2,28.4,25.5,11.0,7.1,8.6,0.4,6.4,8.4,17.3,9.6,90551,36.9,2.3,7.8,9.4,31602,43698,39018,71.0,71.0,5.3,5.7,0.0,11.8,1212,96.5,0.0,4.6,1212,06,081,600200,7.3,0.0,5.5,2.2,1170,62.8,435,3.73,0.8,30.8,1.1,5.6,0.0,68.4,2753,1921,3.7,21.2,0.0,1.8,16.0,4173,115,54,low,1158757,0.0276
197,"Census Tract 6003, San Mateo County, California",3952,1272,963,14.2,24.3,3.11,3.48,7.4,16,0.0,0.0,5.4,8.7,94.2,0.0,53.6,61.0,3.4,4.9,35.2,21.0,9.9,9.1,10.3,0.0,1.6,0.5,8.6,20.0,134297,38.7,0.0,2.7,18.2,51366,71750,54682,89.2,89.2,2.1,3.8,22.9,0.0,1334,95.4,0.0,0.0,1334,06,081,600300,1.3,0.0,0.7,0.7,1272,84.3,200,3.06,1.3,27.8,3.0,0.0,0.0,77.5,3327,1997,2.9,23.6,0.0,0.8,28.8,3952,218,72,low,2183129,0.0552
198,"Census Tract 6007, San Mateo County, California",7594,2206,1619,18.3,26.6,3.41,3.88,8.6,22,0.0,23.3,7.9,9.8,93.7,0.8,45.3,70.5,3.3,7.7,25.9,35.5,8.7,9.8,13.7,0.0,3.2,10.2,10.4,8.1,87356,31.0,2.1,5.0,8.3,30324,46406,40052,63.2,63.2,8.1,6.9,9.6,22.7,2246,98.2,0.0,0.0,2246,06,081,600700,3.0,0.0,17.9,2.1,2206,52.1,1056,4.0,3.7,34.3,0.0,0.0,0.0,81.7,2674,1494,5.4,21.6,0.4,0.8,20.8,7594,80,108,low,804173,0.0105
199,"Census Tract 6004.02, San Mateo County, California",5039,1266,1076,13.3,15.0,3.96,3.96,11.3,78,0.0,6.5,11.2,9.1,90.5,0.1,40.4,73.6,1.4,2.6,26.3,27.7,15.3,6.3,10.0,0.0,2.8,0.8,20.7,11.8,103176,38.7,1.5,4.4,12.4,37266,45292,43885,72.5,72.5,3.9,3.3,0.0,16.7,1293,97.9,0.0,0.0,1293,06,081,600402,0.0,0.0,2.1,0.8,1266,74.2,327,4.22,1.4,27.6,0.0,0.0,0.0,85.1,2420,1859,3.1,21.9,0.0,1.8,17.4,5039,40,34,low,402368,0.0079
