,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,AFFGEOID,GEOID
161,"Census Tract 2714, Cook County, Illinois",43.0,39.7,4.1,37.0,63.2,15.8,13.3,5.5,76.6,0.5,97.0,2.7,0.0,16.4,22.3,19.3,8.9,8.9,12.0,0.0,20.4,29.3,5.8,0.0,18.8,0.9,48.8,0.0,31.3,31.3,6.4,43.4,66.7,62.8,76.7,10.5,8.8,7.7,4.9,2.2,5.8,14.9,2.78,12.4,26.4,10.4,20.9,23.9,9.0,10.3,10.6,2.6,0.0,7.1,high,69.71474210310788,76.05495623172426,76.09969840300596,60.28740137036771,94.43494594138932,34.01833534117373,100.0,95.19536903039076,97.63109119731509,031,271400,17,1864,1400000US17031271400,17031271400
162,"Census Tract 2801, Cook County, Illinois",2.1,71.8,13.7,0.0,,,0.0,2.7,71.1,1.9,81.9,14.8,19.2,1.9,78.1,5.3,6.2,17.4,30.3,0.0,3.8,1.1,16.7,20.5,5.3,0.0,1.2,41.7,94.8,94.8,1.8,1.9,0.0,0.0,89.9,0.7,7.2,96.5,3.6,28.6,13.2,37.1,1.62,13.7,21.5,0.0,0.0,0.0,28.7,3.4,8.3,1.6,1.0,77.8,high,228.75562762598315,185.56486942349383,182.76465206345156,132.27312402792163,201.04918231217815,184.45433805260475,100.0,59.07380607814762,65.95910030294799,031,280100,17,1866,1400000US17031280100,17031280100
163,"Census Tract 1702, Cook County, Illinois",11.2,12.6,4.3,0.0,0.0,0.0,5.5,6.6,94.9,0.0,74.7,45.9,8.7,2.6,30.6,20.8,16.8,5.6,14.8,0.0,0.7,1.7,17.0,4.9,31.7,5.3,10.6,4.8,65.9,65.9,13.8,3.6,0.0,0.0,91.7,0.8,11.1,0.8,0.0,0.0,0.0,83.3,3.45,2.3,22.9,2.6,4.0,11.5,2.7,8.4,19.5,1.9,0.0,78.9,low,86.99305826794361,93.96071660860257,80.02366027659251,96.9729264595702,101.06993251859951,117.47626989979759,100.0,128.30680173661364,104.3141718447503,031,170200,17,2738,1400000US17031170200,17031170200
164,"Census Tract 2210, Cook County, Illinois",18.5,40.6,13.0,25.0,0.0,0.0,3.9,8.6,85.0,0.7,79.5,36.4,8.5,8.9,37.6,18.0,5.6,5.5,16.2,0.0,5.6,15.3,10.7,2.0,13.2,2.5,15.1,2.2,49.5,49.5,12.1,22.9,12.3,57.7,91.0,2.9,2.8,1.6,0.0,0.0,0.5,32.7,2.54,10.3,22.7,1.2,3.3,10.6,9.1,7.3,6.1,1.0,0.0,77.5,low,86.63972398483506,76.92859086010091,87.01260729521934,93.99703771107544,107.43224841455456,79.36657883634645,100.0,103.09696092619396,96.75938502591049,031,221000,17,2314,1400000US17031221000,17031221000
165,"Census Tract 2302, Cook County, Illinois",25.9,28.0,9.8,62.0,0.0,13.3,13.5,5.5,83.0,0.0,67.7,56.8,6.3,9.5,32.6,27.1,9.5,3.4,19.6,0.0,12.3,7.5,15.5,6.5,19.0,1.3,18.7,7.7,44.2,44.2,22.0,15.9,0.0,23.9,88.7,0.0,3.8,7.8,0.0,0.9,1.2,33.6,4.33,9.5,25.9,3.9,0.0,10.7,10.2,8.0,6.2,1.8,0.0,48.5,low,82.3700432965842,90.63865531786564,87.3553303333767,101.89853542259596,99.88835956649359,61.484779350868244,100.0,129.43560057887123,113.90293973020091,031,230200,17,711,1400000US17031230200,17031230200
166,"Census Tract 2305, Cook County, Illinois",28.5,29.4,3.8,72.0,19.3,10.7,15.2,6.4,93.0,0.2,61.9,80.4,0.0,10.1,16.2,28.5,10.9,0.0,10.7,0.0,21.3,10.3,5.6,0.0,24.1,4.8,41.1,0.0,34.9,34.9,17.6,29.4,76.7,52.2,92.3,4.1,2.9,12.3,0.0,1.4,13.0,24.1,2.74,0.8,42.7,32.7,15.1,16.2,0.0,7.9,12.6,1.4,0.0,28.4,high,59.066163861026794,58.58601316903429,61.15654011271412,77.52703274095795,76.07512007020486,99.82335744773351,100.0,114.0086830680174,107.8009965303687,031,230500,17,1871,1400000US17031230500,17031230500
167,"Census Tract 2412, Cook County, Illinois",10.6,57.6,22.5,0.0,0.0,0.0,2.0,6.3,72.3,0.5,74.8,30.0,11.0,1.1,66.8,10.6,5.2,6.3,28.3,0.0,6.1,2.8,10.7,23.8,22.1,3.7,13.3,39.9,84.4,84.4,4.2,2.6,0.0,25.8,88.1,3.2,4.7,12.8,0.0,1.9,0.0,33.7,2.76,4.7,25.0,0.0,0.0,2.0,41.2,5.5,14.3,0.0,2.6,81.2,low,147.84477400238927,118.45060748946959,138.60760846997348,188.6610849692273,144.06100992983838,51.413749880646925,100.0,92.56150506512304,91.52914799748287,031,241200,17,1928,1400000US17031241200,17031241200
168,"Census Tract 2428, Cook County, Illinois",10.4,43.4,11.4,0.0,0.0,0.0,2.8,6.6,88.1,0.1,80.0,35.8,11.5,5.5,51.3,16.4,5.8,10.3,15.4,0.0,4.4,3.2,14.8,14.6,19.9,0.0,6.0,19.8,73.1,73.1,6.1,1.8,0.0,0.0,92.0,0.0,13.3,0.0,2.7,1.7,0.0,64.5,2.79,4.1,23.5,0.0,4.2,0.5,34.6,5.1,12.2,1.8,0.0,96.5,low,146.3801899128629,153.17664659123028,119.30232340921036,131.29826392065615,136.33534062760728,44.117975690571825,100.0,98.20549927641102,96.46881630210892,031,242800,17,2572,1400000US17031242800,17031242800
169,"Census Tract 2432, Cook County, Illinois",4.9,48.5,14.6,15.0,0.0,40.0,1.8,1.5,78.2,0.0,84.9,31.0,16.1,4.2,61.2,8.8,7.1,14.4,24.3,0.0,3.1,4.5,9.9,24.8,1.5,3.1,4.6,32.8,86.7,86.7,6.1,9.4,0.0,20.0,86.5,1.5,9.6,0.0,2.8,4.1,6.8,43.0,2.51,10.3,15.1,0.0,0.0,0.0,51.7,6.9,4.3,0.0,0.1,82.9,low,167.70971289624114,146.02071659871174,135.3061878112677,147.87088574417,141.24341289020114,63.115599463943866,100.0,92.56150506512304,91.23857927368135,031,243200,17,662,1400000US17031243200,17031243200
170,"Census Tract 2603, Cook County, Illinois",27.2,47.5,3.5,29.0,0.0,20.6,23.4,6.3,77.4,0.0,100.0,1.0,0.0,21.4,14.6,37.3,14.1,20.0,1.7,0.0,15.6,30.4,3.2,0.0,34.8,5.6,50.7,0.0,19.3,19.3,12.7,36.5,0.0,21.7,83.0,0.0,3.4,19.2,0.0,0.0,9.7,16.0,2.78,8.0,22.5,53.5,9.3,4.7,5.8,7.5,15.1,0.0,0.0,1.5,high,67.43020670010823,58.171692883902885,61.25848937090017,102.25769440948326,80.074290061948,40.91355722277413,100.0,98.58176555716356,113.6123710063994,031,260300,17,663,1400000US17031260300,17031260300
