,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crimeStats,crime,%DP03_0065E-HH-MeanEarnings,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,meanCountyStateAvgNoHU,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,AFFGEOID,GEOID
1772,"Census Tract 745, Queens County, New York",15.3,30.1,3.6,45.0,0.0,0.0,5.0,8.2,88.9,0.5,43.0,79.8,1.2,6.5,34.4,25.6,12.3,8.6,12.2,0.0,8.2,12.4,9.7,1.6,33.3,1.5,27.1,2.3,57.6,57.6,5.3,12.3,74.3,5.3,96.9,0.0,0.0,81.6,0.0,10.0,10.8,15.8,3.32,1.4,31.9,0.0,0.0,0.0,32.8,9.5,20.8,0.0,4.0,69.1,674,low,82.7949028995244,91.50332181693821,115.01061105635759,109.98138885715154,64.43183704077053,83.10606317545123,122.64359609886914,1204.3802163833075,131.51992854521234,89.61048802667472,93.78489021213255,081,074500,36,3231,1400000US36081074500,36081074500
1773,"Census Tract 779.04, Queens County, New York",11.7,30.4,3.6,44.0,0.0,0.0,4.6,6.1,95.9,0.0,55.7,54.9,1.0,6.4,56.2,20.8,2.0,7.8,13.6,0.0,1.8,14.7,12.8,3.8,35.9,2.3,7.8,4.5,70.3,70.3,3.5,4.3,0.0,0.0,92.1,5.0,3.4,30.6,0.0,3.7,5.4,53.6,2.91,0.9,21.8,1.6,1.3,26.1,49.7,8.8,24.2,0.0,1.6,68.4,531,low,85.91102427335038,113.16821587793876,96.90828746699957,109.28596898033264,89.96791463572048,108.75999273799526,164.02208732341302,1204.3802163833075,170.71021028343222,90.91391330706273,96.01786378861188,081,077904,36,4447,1400000US36081077904,36081077904
1774,"Census Tract 809, Queens County, New York",16.8,29.9,1.0,0.0,0.0,0.0,6.0,11.0,90.4,0.6,58.1,52.4,1.9,2.1,39.6,20.5,7.0,6.1,9.2,0.0,4.7,8.0,14.1,1.8,30.9,2.0,6.7,1.9,71.5,71.5,4.7,8.3,15.4,36.5,97.5,0.0,0.0,10.3,0.0,5.4,0.9,59.7,2.39,1.5,28.1,4.2,2.1,19.8,27.1,3.4,22.2,0.2,0.0,54.7,1787,low,88.48127190296712,82.50151046638035,102.7756040882248,134.75808555602043,56.416027930248134,73.22454956617503,202.5575665658624,1204.3802163833075,232.89987346548023,77.87966050318276,82.62002232973579,081,080900,36,3504,1400000US36081080900,36081080900
1775,"Census Tract 853, Queens County, New York",18.1,30.7,4.5,75.0,0.0,71.3,13.5,7.9,95.5,0.8,23.6,91.2,0.5,6.4,30.2,29.0,11.7,7.0,8.7,0.0,12.4,15.3,8.3,4.9,36.3,4.5,23.3,7.0,33.7,33.7,18.0,25.5,16.5,68.3,86.8,0.0,0.0,88.0,0.5,9.6,3.3,37.8,2.42,2.1,31.4,3.5,0.0,3.7,43.5,6.4,26.8,0.0,0.3,9.6,3856,high,64.79653944673096,64.95587011911596,60.800237532623825,57.513955069239,69.77570978111879,90.51719838240841,143.642476679488,1204.3802163833075,164.8980922290352,83.41921794483173,86.24860439151476,081,085300,36,3514,1400000US36081085300,36081085300
1776,"Census Tract 859, Queens County, New York",13.4,32.1,5.6,74.0,11.1,10.3,18.2,13.1,93.9,0.4,25.5,84.3,0.3,3.6,23.6,44.4,5.3,8.7,10.5,0.0,9.9,17.0,15.7,2.7,22.1,3.9,12.4,3.0,50.3,50.3,20.2,18.1,27.5,11.3,90.1,0.0,6.0,74.4,0.0,5.5,7.4,41.3,2.9,1.3,33.3,0.0,0.9,4.1,11.8,4.4,17.8,0.0,0.0,15.9,573,low,70.76800040565139,54.45073816071846,46.61396622881853,93.46359105790563,66.26402198031853,91.84740213750328,152.62189076154888,1204.3802163833075,158.58779262711843,92.2173385874507,96.57610718273172,081,085900,36,1001,1400000US36081085900,36081085900
1777,"Census Tract 865, Queens County, New York",12.8,49.0,16.8,0.0,31.6,0.0,18.7,12.7,87.8,3.6,16.0,89.2,0.3,5.5,21.4,42.4,8.9,4.5,3.9,0.0,16.5,18.6,6.7,3.6,26.5,0.0,7.9,4.3,30.4,30.4,35.0,23.1,40.0,39.1,87.5,6.7,2.9,84.4,1.7,9.4,20.2,17.6,1.73,4.5,26.2,8.0,0.0,3.9,32.0,2.6,27.3,2.0,0.3,12.8,15991,high,72.86640979887676,59.61015518659151,70.88498984174323,64.30427845860085,52.48446441413477,101.22217145912428,123.62879827088207,1204.3802163833075,170.46111950967233,69.73325250075779,70.61778935615932,081,086500,36,1182,1400000US36081086500,36081086500
1778,"Census Tract 942.02, Queens County, New York",33.7,33.8,6.7,50.0,18.9,24.8,10.6,6.0,94.3,1.0,75.2,34.3,5.0,9.6,40.9,23.5,9.2,5.5,8.9,0.0,9.0,14.8,12.9,4.6,20.5,5.6,30.9,3.8,53.0,53.0,6.6,16.2,33.8,28.1,87.7,5.4,8.1,46.9,0.0,1.2,1.2,40.2,2.69,1.7,40.7,0.0,11.5,3.5,22.9,8.5,10.8,0.0,0.0,38.3,14794,high,78.24669170283374,103.9231822603638,92.86472681891779,89.38771625117235,74.08897849297135,52.25800466444152,129.20222770112676,1204.3802163833075,140.07204511096796,87.32949378599571,91.27279493859328,081,094202,36,3417,1400000US36081094202,36081094202
1779,"Census Tract 942.03, Queens County, New York",16.3,42.6,6.0,76.0,50.0,12.6,10.5,10.9,96.0,0.0,56.9,54.5,13.1,2.9,27.4,32.7,6.4,3.8,12.7,0.3,8.6,19.9,9.0,5.9,34.3,1.6,20.9,10.3,63.0,63.0,2.7,10.5,40.8,13.2,97.2,0.0,2.7,75.8,0.0,8.5,11.5,48.5,2.55,0.0,33.2,4.5,8.6,5.0,25.3,6.9,23.3,0.4,0.5,75.8,1607,low,97.9677619718664,106.89877382493454,121.1001013395653,104.41802984260012,69.27949302665789,64.1031523883816,188.37065528887592,1204.3802163833075,229.7447236645218,78.85722946347373,89.59806475623377,081,094203,36,3921,1400000US36081094203,36081094203
1780,"Census Tract 981, Queens County, New York",4.0,18.3,3.2,0.0,0.0,0.0,8.3,7.7,98.6,0.2,64.5,53.5,12.3,3.9,41.6,13.3,8.4,14.3,11.1,0.0,3.5,9.7,11.7,11.5,41.0,0.5,6.5,13.3,74.9,74.9,7.8,8.1,0.0,0.0,88.7,3.5,6.8,5.2,0.3,0.9,0.7,82.7,3.07,0.8,35.0,1.7,0.0,6.7,47.5,5.2,23.5,0.0,0.0,71.3,147,low,124.34429289145012,127.29321966140968,134.94635034329303,131.66756398864692,125.92454407434951,107.68316112672798,66.17743732578411,1204.3802163833075,64.01632885628707,99.3861776295847,94.6222553033123,081,098100,36,3421,1400000US36081098100,36081098100
1781,"Census Tract 71, Queens County, New York",3.5,65.3,21.4,0.0,,,4.7,3.6,77.4,2.6,59.5,42.8,9.4,3.0,63.7,10.3,10.4,12.4,23.8,0.0,7.7,3.3,15.2,7.0,17.7,3.3,6.6,6.1,76.6,76.6,9.3,6.8,13.6,25.9,83.5,0.0,2.8,36.4,0.9,12.6,5.4,6.0,2.25,7.8,11.5,0.0,0.0,5.9,57.8,2.2,14.3,0.3,1.9,76.9,1513,low,119.77066652043388,141.1517139395321,108.74531378845064,133.93660769548808,,119.33827974279735,92.55270690224506,1204.3802163833075,140.4041661426478,63.216126098817796,70.33866765909941,081,007100,36,3080,1400000US36081007100,36081007100
1782,"Census Tract 117, Queens County, New York",8.0,52.8,18.3,11.0,0.0,31.1,4.0,8.6,89.5,0.7,63.2,55.2,7.0,2.1,51.1,14.5,9.2,4.9,19.0,0.0,6.3,5.5,14.5,7.0,27.4,0.0,8.4,7.4,70.3,70.3,12.0,7.4,0.0,0.0,85.6,0.0,2.2,14.1,0.0,5.0,4.8,26.7,2.68,4.4,20.1,0.0,0.0,2.0,67.0,5.0,13.3,0.3,0.2,82.2,532,low,107.56143777596468,107.70347728283147,122.25540438187437,110.22299999260224,136.30692539845472,105.14943968845199,106.23294277648199,1204.3802163833075,126.12296178041514,80.81236738405573,88.76069966505402,081,011700,36,1907,1400000US36081011700,36081011700
