,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,ALAND,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
91,"Census Tract 63.02, Dallas County, Texas",4802,1409,1096,23.6,22.2,3.41,3.82,6.4,34,0,0,16.3,3,92,0,66.6,70.2,3,11.8,15.1,28.4,12.8,6.1,14.7,0,3.2,11.5,7.4,1.9,63862,22.3,0,15.5,0.7,25708,31303,33140,43.1,43.1,22.4,13.4,0,58.8,1446,97.4,0,0,1446,48,113,6302,0,0,0,1.1,1409,73.8,369,3.27,7,27.2,43.1,15.5,18.4,0,1209,942,11,9.9,0,0,84.2,4802,163000,163,1333,high,0.03
92,"Census Tract 68, Dallas County, Texas",5227,1847,1013,16.9,45.2,2.77,3.71,10.2,105,0,19.6,11.8,3.3,83.7,1.2,69.8,62,0.8,3.2,18,17.6,6.7,5.2,5.8,0,5.6,15.1,11.1,1.3,60013,19.9,0,17.9,2.4,24969,30990,25391,43.9,43.9,27.6,20.7,46.6,44.2,2076,89,0,8,2076,48,113,6800,30.8,0,1.2,5.3,1847,37.4,1156,2.95,11.7,11.7,31.7,45.7,1.3,1.2,1233,987,7.2,13.6,0,0.3,74.4,5227,163000,163,3151,high,0.03
93,"Census Tract 71.02, Dallas County, Texas",5582,2375,1339,10.9,43.6,2.32,3.15,4.6,146,0,0,12.5,2.8,86.4,0,85.1,27.1,4.6,4.7,45.4,13.4,7.3,8.3,20.5,0,8.5,9.3,8.8,10.2,86673,16.3,0.7,10.7,15.1,35154,36555,42098,65.7,65.7,14.8,6.9,62.7,68.1,2856,83.2,12.5,3.3,2856,48,113,7102,24.2,1.3,7.6,0.8,2375,47.8,1239,2.86,4.2,25.6,13.9,11.4,28.7,2.4,1511,1144,6.8,16.8,0,0,57.7,5582,250000,250,2044,high,0.04
94,"Census Tract 72.01, Dallas County, Texas",7880,2455,1689,14.4,31.2,3.21,3.81,8.6,128,0,27.7,20.6,0.6,75.5,1.4,42.9,87.1,0.1,5.5,5.4,25,9.3,2.3,13.5,0,4.6,22.6,8.3,0,41780,12.7,0,26.4,0,21065,28538,20763,18.3,18.3,51.7,16.4,23.2,43.3,2966,82.8,0,10.1,2966,48,113,7201,44.5,0.3,29.7,9.8,2455,5.5,2320,4.71,5.4,12,34.1,38.5,10.4,0,1299,810,8.2,6.1,0,0,86.8,7880,133000,133,5613,high,0.02
95,"Census Tract 78.01, Dallas County, Texas",2115,1166,635,1.4,45.5,1.81,2.37,3.6,0,-666666666,-666666666,0.7,3.3,86.7,0,88.6,12,10.7,4.2,65.1,5.3,6,25.4,19.7,0,4.9,5.9,7,34,150604,53.6,0,0.7,50.6,56193,147500,85417,83.4,83.4,0.7,2.8,29.5,-666666666,1287,90.6,6,0,1287,48,113,7801,11.8,1,6.2,0,1166,67.4,380,1.94,3.6,25.2,0,0,2,62.1,3969,1325,6.6,53.9,0,0,91.4,2115,242000,242,3783,high,0.11
96,"Census Tract 81, Dallas County, Texas",6250,3264,1550,9.2,52.5,1.88,2.63,5.9,0,0,100,0.5,7.3,86,0.6,89.9,12.7,11.2,0.5,63.7,11.5,8.1,9.3,19,0,3.7,3.8,18.5,16.9,145890,21.5,0,0.6,30.2,62981,84738,70876,80.5,80.5,10.3,0,0,0,3557,91.8,2.6,2.6,3557,48,113,8100,17.9,1.7,6.2,0.6,3264,57.2,1398,2.19,4.9,21.4,0.8,1.9,6.4,25.5,2561,1236,1.1,19.5,0.3,0.8,89.5,6250,534000,534,2037,high,0.09
97,"Census Tract 85, Dallas County, Texas",5378,1303,1080,16.8,17.1,3.87,4.25,4.5,24,0,22.6,16.3,1.8,92.2,0,58.9,75.4,1.1,1.5,13.4,24.5,11.7,4.6,4.1,0.5,8.1,15,13.1,1.8,60935,21.3,1,23.6,1.3,24977,33364,25282,37.4,37.4,30.4,23.3,38.5,61,1401,93,0,6.5,1401,48,113,8500,8.2,0,1.8,0.4,1303,62.5,488,3.93,4.6,23.2,45.8,30.4,2.8,0,999,941,5.2,11.2,0.2,0,84,5378,269000,269,2359,high,0.05
98,"Census Tract 86.03, Dallas County, Texas",747,234,169,52.6,27.8,3.19,3.92,2.5,0,0,83.6,14.7,4.6,96.5,0,96.3,18.4,0,3.7,7.7,30.2,14.5,3,13.2,0,7.3,15.4,11.5,0,45278,50,0,40.6,0,19961,33500,28864,39.6,39.6,11.4,40.8,0,48.1,392,59.7,0,17.3,392,48,113,8603,5.1,0,5.1,0,234,81.6,43,2.98,0,20.5,70.7,3.7,19.9,0,1094,798,13.3,17.9,0,0,24.2,747,828000,828,2099,high,1.11
99,"Census Tract 86.04, Dallas County, Texas",3004,1173,666,25.1,43.2,2.56,3.59,3.6,0,9.6,20.2,25.7,1.4,85,4.7,85,31.4,0,11.4,11.6,28.1,11.7,1.2,10.4,0,31.3,17.2,2.3,0,31474,27.8,2.5,44.7,0,21005,31333,24526,20.9,20.9,32.7,44.6,78.3,67.9,1581,74.2,0,25.7,1581,48,113,8604,11.1,4,1.4,2.7,1173,20.2,936,3.09,10.2,18.9,59.5,19,3.8,0,1167,639,8.2,15.9,1.4,0,33.2,3004,126000,126,2609,high,0.04
100,"Census Tract 131.01, Dallas County, Texas",2951,1243,730,7.8,41.3,2.3,3.05,4.2,0,0,0,0.5,4.6,96.2,0,92.4,10.7,8.2,1.4,64.5,4.7,10.4,13.7,27.9,0,0.6,8.3,10.5,39.4,275884,34.8,0,0,61.9,96563,128250,103542,93.7,93.7,0.6,0,0,0,1312,94.7,1.9,0,1312,48,113,13101,11.1,1.7,0.5,0,1243,89.1,136,2.35,0.8,25.5,6.9,13.9,0.7,36.8,3425,1301,3.6,31.9,0.4,0.5,95.3,2951,259000,259,1613,high,0.09
