,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,ALAND,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
117,"Census Tract 182.06, Dallas County, Texas",4716,1147,943,12.5,17.8,4.11,4.62,3.3,49,16.2,3.9,18.6,2,91.4,0,60.5,79.1,4,9.1,2.7,22.5,11.7,8.2,10.3,0,6.3,16.5,9,0,48280,28.7,1,17.7,0,20855,28108,25513,26.8,26.8,41,31,6,65.5,1257,91.2,8.5,3.5,1257,48,113,18206,5.6,0,0,1.7,1147,68.4,363,4,6.9,31.2,64.5,16.8,8.8,0,1165,1082,8.8,8.9,0.5,0,85.4,4716,177000,177,1,low,0.04
118,"Census Tract 142.06, Dallas County, Texas",6515,3678,1426,1.6,61.2,1.77,2.56,9.5,30,0,0,0.4,7,51.3,6.7,71.2,33.6,5.8,4.8,56.3,8.7,10.6,17.7,15.5,0,1.1,1.3,17.9,8.2,98442,2.7,0.4,1.3,12,60152,67901,52799,77.1,77.1,16,4.3,0,0,4252,86.5,22.1,9.2,4252,48,113,14206,92.2,14.5,27.8,4.9,3678,4.5,3512,1.44,20.9,1.6,10.2,9.6,21.7,13.3,2293,1453,4.3,2,1.2,0,59.4,6515,291000,291,2,low,0.04
119,"Census Tract 143.11, Dallas County, Texas",5511,2029,1430,10.3,29.5,2.72,3.18,6.5,0,0,0,2.5,5.4,59.3,10.5,39.8,73.2,0.9,5.4,69.9,11.6,5.5,15.4,32.9,0,4.4,5.6,21.4,2.2,83878,3.2,3,7.7,3.1,66259,76661,42353,83.2,83.2,8.2,3.9,0,13.4,2262,89.7,0,7.5,2262,48,113,14311,23.9,0.5,19.8,0.4,2029,4.6,1936,2.81,18.8,7.9,0,0,26.9,0,2297,1171,16.5,2,0,0.8,16.9,5511,90000,90,1,low,0.02
120,"Census Tract 143.12, Dallas County, Texas",4990,2082,1258,5.2,39.6,2.35,2.99,6.2,0,-666666666,-666666666,4.3,5.5,64.9,8.6,67.7,46.5,5.7,4.5,60.5,8.7,3.4,16.5,26.4,0,2.2,6.8,19,17.1,126149,15.1,0.8,2.8,25,58596,76314,56186,81.5,81.5,8.7,2.9,0,0,2634,79,12.4,20.7,2634,48,113,14312,36.8,0,10.4,3.1,2082,31.8,1419,2.84,14,17.9,1.4,0,1.4,47.4,3217,1229,9.4,14.5,0,0.8,55.3,4990,642000,642,4,low,0.13
121,"Census Tract 164.12, Dallas County, Texas",5062,1618,1391,9.8,14,3.13,3.31,4.5,0,0,29.6,7.3,15.2,95.1,0,82.3,27.4,5.9,1.7,41.9,18.5,11.8,8.1,4.6,0.4,0.4,1.7,14.3,8,114018,21.5,0,4.9,9.3,50984,63244,58476,86.5,86.5,8.7,1.7,0,7.9,1618,100,0,0,1618,48,113,16412,0,0,0,0.6,1618,93,114,3.1,1.5,40,0,12.6,26.7,0,1943,2057,6.7,11.2,3.2,1.4,52.8,5062,550000,550,3,low,0.11
122,"Census Tract 164.13, Dallas County, Texas",7086,2279,1799,15.3,21.1,3.11,3.58,2.3,12,0,0,6,13.1,89.5,0.7,77.6,38.4,1.7,9.1,47.9,8.8,11.7,7.5,9,0,4.7,5.7,17.5,6.1,98586,23.5,2.4,10.9,7.7,43172,63472,49543,76.7,76.7,7,7.6,10.8,45.8,2506,90.9,0,12.6,2506,48,113,16413,6.3,0,1.2,4,2279,67.9,732,3.36,8,32.9,0,13.3,50,0,1728,1386,4.4,16.2,1.1,0,47.5,7086,424000,424,1,low,0.06
123,"Census Tract 165.20, Dallas County, Texas",8713,2292,1783,25.2,22.2,3.64,4.28,2.5,9,0,19.7,14.4,3.6,85.5,0.1,65.7,60.5,1.3,11.3,15.3,13.3,14.2,4.4,8.4,0,8.7,9.5,6,0.7,62674,17.8,4.5,20.2,0,26538,37799,29531,41.6,41.6,24.6,17.6,0,31.9,2465,93,0,8.9,2465,48,113,16520,3.8,0,0.6,2.6,2292,49.6,1156,3.87,8.2,32.2,26.1,27.6,7.7,0,1150,961,9.7,6.1,0,0.1,60.9,8713,1743000,1743,3587,high,0.2
124,"Census Tract 165.21, Dallas County, Texas",6879,1974,1336,20.2,32.3,2.78,3.48,3.6,8,0,15.3,5.8,13.6,83.3,2,89.9,22.4,4.2,8.8,37.1,15.9,9.3,9,11.6,0,7.6,7.8,16.5,2.1,67224,11,2,6.5,3.1,26689,45074,46549,74,74,13.1,9.7,0,14.7,2066,95.5,0,7.8,2066,48,113,16521,6.8,2.3,2.3,1.7,1974,44.8,1089,2.8,9.1,16.7,14.6,22.6,29.7,3.7,1597,1092,7.1,5.8,0,0.7,47.6,6879,1915000,1915,1622,high,0.28
125,"Census Tract 165.23, Dallas County, Texas",4735,1719,1336,6.7,22.3,2.75,3.11,4,0,0,17.5,6,7.4,91.5,0.7,83.6,23,4.3,4,51.5,12.3,11.7,7.2,13.4,0.4,2.6,7.4,15.8,13.1,117637,29.3,0.4,7.6,16.4,47620,70714,48566,70,70,9.3,5.8,0,21.7,1818,94.6,3.9,0,1818,48,113,16523,0.4,1.2,0,0,1719,78.4,371,2.7,0.7,36.3,8.7,4,14.8,10.4,2344,1200,8.2,22.9,0.3,0.4,57.2,4735,2686000,2686,4,low,0.57
126,"Census Tract 166.21, Dallas County, Texas",6001,1952,1574,25.7,19.4,3.07,3.48,2.5,24,10.5,3.1,11.8,9.7,89.9,0.2,89.6,22.6,2,8,31.3,16.1,11,10.2,9.9,0,6.8,11.7,12.6,1.8,66591,22.6,0,15.6,2.3,31686,49402,41027,58.4,58.4,14.9,21.5,0,48.6,2195,88.9,2.6,13.6,2195,48,113,16621,0,10.9,0,0,1952,66.1,662,3.07,4.5,22.8,14.2,23.6,25.5,0,1432,1165,6.6,11.9,2.8,0,25.7,6001,466000,466,3,low,0.08
127,"Census Tract 166.23, Dallas County, Texas",6808,2002,1643,19,17.9,3.4,3.73,4.7,73,3.7,6,9.7,5.7,85.1,0.7,89.6,20.1,1.4,7.8,39.3,10.8,8.7,6.5,15.3,0,1.1,2.6,15.4,2.7,77094,18.6,0.7,11.9,3.3,36007,48917,41765,67.3,67.3,6.1,6.1,11.5,9.4,2117,94.6,0,14.6,2117,48,113,16623,0,7.9,0,0,2002,82.7,346,3.2,3.2,36,6.5,19.7,26.2,0,1660,1209,9.3,7.8,0,0.4,29.6,6808,1478000,1478,8,low,0.22
128,"Census Tract 176.05, Dallas County, Texas",3773,1087,849,23.4,21.9,3.47,3.98,4.1,80,10.9,5.9,17.8,7.2,91.7,0.3,71.4,54.5,0.1,7.4,23.2,17,9,7.3,4.8,0,8.3,11.3,14.5,2.2,64724,16,0.5,18,2,32306,43250,33683,46.3,46.3,24.8,19.6,18.3,27,1173,92.7,0,14.6,1173,48,113,17605,2.9,0,0,0,1087,73.1,292,3.37,7.5,29.2,61.9,23,0.9,4,981,1151,8.9,8.8,0,0,69.5,3773,103000,103,1159,low,0.03
129,"Census Tract 176.06, Dallas County, Texas",5067,1269,1074,25.7,15.4,3.99,4.32,4.6,31,0,10.6,22.8,5.7,90.6,0.3,66.1,56.8,1.7,4,22,18.7,12,7.9,9.4,0,2.6,12.9,10.8,0,59341,15.7,1.6,19.9,0,22297,30843,30601,30.2,30.2,31.1,18.8,0,44.7,1567,81,14.4,15.3,1567,48,113,17606,0,0,0,0,1269,75.1,316,4.23,3.5,45.1,34.1,36.7,15.5,0,1300,1048,6.9,6,0.7,0.7,68,5067,413000,413,17,low,0.08
130,"Census Tract 181.33, Dallas County, Texas",3791,1317,1057,16.8,19.7,2.87,3,9.4,51,37,39.5,7.5,9.5,74.7,0.3,90.2,19.8,12.8,9.6,31.9,12.8,20.4,8.9,10,0,0.5,2.6,34,4.3,93327,27.3,1.1,3.1,5.4,40667,44750,51806,62.7,62.7,21.1,2.6,0,9.6,1427,92.3,0,7.3,1427,48,113,18133,0,0.9,1.1,0,1317,77.3,299,2.51,11.9,19.2,16.7,36.1,28.8,3.1,1373,1587,6,18.4,0,0,69.9,3791,719000,719,22,low,0.19
131,"Census Tract 181.34, Dallas County, Texas",5559,1906,1554,10.8,18.5,2.92,3.28,1.9,47,52.1,0,5.3,9.5,84.7,0,86.6,19.8,9.4,4.6,44,10.3,12.5,7.3,10.9,0,0,3.3,24.2,2,91810,16.3,2.2,10.4,2.5,45651,64048,44327,70.3,70.3,11.1,2.8,0,20.5,2011,94.8,0,17.7,2011,48,113,18134,0,3.4,0,1.7,1906,90,190,2.83,6.2,24.5,5.2,27,28.2,0.6,1568,1481,8.3,12.4,0.7,0.6,78,5559,393000,393,2,low,0.07
132,"Census Tract 181.35, Dallas County, Texas",4006,1259,961,19.3,23.7,3.18,3.63,5.5,57,0,0,5.5,8.5,85.9,0,83.7,25,2.4,15.1,37.9,13.1,11.2,6.2,12.2,0,3.2,7,11.6,11.3,90405,15.2,4,7,14.8,39922,67386,46746,68,68,15.6,7.6,9,20.1,1350,93.3,4.5,5.3,1350,48,113,18135,0,0.7,0,0,1259,73.6,333,3.1,1.4,20.5,15.6,19.5,22.5,0,1588,1377,7.2,10.9,0.4,1.1,68.2,4006,294000,294,28,low,0.07
133,"Census Tract 181.37, Dallas County, Texas",3887,1366,981,8.3,28.2,2.84,3.33,5.7,2,0,34.7,5,9.9,83.2,0,70,36,3.5,2.3,36.3,21.1,17.9,8.3,13.3,0,1.8,9.6,8.7,4.2,81564,17.7,3.4,8.6,5.2,31911,41008,48783,69.2,69.2,15.4,6.5,14.3,0,1504,90.8,0,9.1,1504,48,113,18137,6.9,0,1.6,1.4,1366,60.5,539,3.1,8.3,31.7,1.3,22.2,26.2,0,1710,1075,9.8,11.5,2.1,0.6,48.2,3887,260000,260,4,low,0.07
134,"Census Tract 181.39, Dallas County, Texas",8923,2907,2528,17.6,13,3.07,3.29,2.4,17,0,19.2,4.2,11.1,90.1,0.9,83.3,25.1,5.3,8,39.3,11.6,10,11,10.4,0,2.3,3.6,11.9,2.5,86956,23,0.5,4.7,2.9,33937,47995,47546,77.5,77.5,11.8,5.6,16,0,2907,100,0,0,2907,48,113,18139,2.5,8.5,0,2.2,2907,84.4,453,3.04,3.8,32.2,4.8,19.7,26.9,0,1626,1666,7.4,13.4,0,0.9,68.6,8923,700000,700,2,low,0.08
135,"Census Tract 181.41, Dallas County, Texas",4017,1755,859,14.3,51.1,2.29,3.22,8.9,0,0,0,8.8,4,66.4,0.8,87.7,21.1,8.8,9.1,29.4,29.2,12.5,10.6,8.8,0,7.2,17.5,3.4,1.5,49741,18.3,2.8,14.4,3.1,31066,36604,33574,44,44,27.5,21.2,43.2,45.7,2095,83.8,8.9,12.7,2095,48,113,18141,14.6,0,11.6,6.3,1755,12.9,1529,1.73,16.4,16.6,62.4,19.9,13.3,0,973,943,10.2,11.1,1.6,0.8,65,4017,178000,178,17,low,0.04
136,"Census Tract 190.38, Dallas County, Texas",1484,943,280,9.8,70.3,1.57,2.23,13.3,0,0,0,4.4,5.4,45.2,3.2,79,22.9,11.4,4.3,71.1,3.7,16.1,13.8,22.1,0,3.6,1.1,14,3.2,92763,3.6,0,0,8.6,59079,73971,65697,89.3,89.3,7.9,1.4,0,4.8,1184,79.6,0,19,1184,48,113,19038,97.1,33,24.7,3.5,943,1.1,933,1.6,29.6,0.6,100,0,0,0,-666666666,1421,3,3.8,0,3.1,54.7,1484,475000,475,2,low,0.32
137,"Census Tract 181.42, Dallas County, Texas",3482,1162,803,9.2,30.9,2.99,3.71,4,4,14,0,7.4,13.2,86.5,0.3,80.7,30.1,12.7,3.9,46.1,13.6,11.3,10.5,16.6,0,5.2,4.7,24.1,2.8,82674,21.9,2.3,8.9,1.7,39842,45096,48495,70.9,70.9,12.7,5.9,0,25.2,1205,96.4,0,0,1205,48,113,18142,0,14.9,0,0,1162,72.3,322,2.77,11.4,21,7.5,43.5,24.9,0,1444,1406,8.7,14.3,5.5,0,65.2,3482,408000,408,1,low,0.12
138,"Census Tract 185.05, Dallas County, Texas",4507,1827,975,25.7,46.6,2.47,3.44,6.6,69,0,81.1,10.8,6.7,71.3,2.1,67.7,47.4,3.4,5.9,17,29.1,14.7,6.9,17.7,0.4,9.1,17.5,5.3,0,39071,15.4,2.1,23,0,24290,29665,23934,35.6,35.6,28.2,25.1,6,45.2,2003,91.2,0,6.8,2003,48,113,18505,24,0.4,11.1,3.6,1827,8.8,1666,1.78,14.1,8.8,65.2,0,0,0,-666666666,903,11.4,5.3,0.4,0.2,47.3,4507,47000,47,1976,high,0.01
139,"Census Tract 185.06, Dallas County, Texas",3888,1600,860,22.3,46.3,2.42,3.09,12.2,45,0,0,15.7,3.2,49.5,6.5,59.2,43.5,0.8,6.6,14.5,29.5,16,7.5,10.1,0,7.4,27.3,2.4,0,40842,2.1,1.1,21.2,0,21476,23811,25268,29.3,29.3,42.4,23.4,9.5,25,1899,84.3,0,12.7,1899,48,113,18506,51.7,0,22,4.9,1600,1.2,1581,2.11,13.4,6.2,52.6,0,0,0,-666666666,819,10.6,2.3,0,0.4,31.8,3888,772000,772,4463,high,0.2
140,"Census Tract 190.39, Dallas County, Texas",6634,2386,1824,6.8,23.6,2.78,3.27,1.7,0,0,0,4.6,7.1,88.7,0.8,76.4,28.1,14.8,4.7,43.1,10.8,8.6,5.7,15.2,0,2,12.7,11.8,5.9,94960,33.9,0.6,4.9,6.8,40291,54196,57905,72.3,72.3,9.1,4.3,19.9,69.8,2494,95.7,0,6.9,2494,48,113,19039,12.5,0,0,0.8,2386,73,644,2.84,3.5,24.8,1.1,16.4,29.7,0.9,1591,1519,8.7,18.5,0.3,0.6,80.3,6634,451000,451,1,low,0.07
141,"Census Tract 190.40, Dallas County, Texas",7123,2716,1739,18,36,2.62,3.44,2.2,0,0,0,0.9,9.8,71.3,2.2,65.8,49.9,1.7,3.8,46.6,14.4,14.4,4,19.3,0,10.2,8.7,11.1,4.4,80613,17.5,2.5,5.5,6.9,40080,55391,36096,70.6,70.6,15.2,13.4,14.9,27.9,2960,91.8,0,7.5,2960,48,113,19040,35.2,3.1,7.4,2.7,2716,19.8,2178,3.56,16.2,16,0,2.8,30.9,3.2,1964,1247,10.4,9.9,1.2,0,33.6,7123,534000,534,430,low,0.07
142,"Census Tract 190.41, Dallas County, Texas",3320,1234,939,10.3,23.9,2.68,2.96,7,0,0,0,5,8.5,81.4,0,84.2,23,8.7,1,52.6,17.8,9.2,8.5,23.8,0.3,0.6,2.4,20.3,8.3,105036,35.8,0.7,3.2,6.3,48787,68300,59063,77.8,77.8,8.1,0.9,0,0,1234,100,0,0,1234,48,113,19041,1.5,1.9,0,0,1234,78.8,262,2.61,4.1,28.8,2.2,3.7,20.1,0,1801,1619,5.5,26.1,0,0,66.2,3320,125000,125,47,low,0.04
143,"Census Tract 190.42, Dallas County, Texas",5018,1814,1203,9,33.7,2.76,3.44,5.2,0,0,0,6.6,9.3,82,1.4,66,31.2,6.5,5.8,45.4,14.4,5.2,9.3,18.4,0,3.2,3.3,14.8,14.4,112401,17.7,0,3.6,15.5,47165,67159,51370,76.1,76.1,14.1,1.7,0,14.7,1850,98.1,0,0,1850,48,113,19042,14.5,3.5,3.9,0,1814,59,744,3.23,8,33.8,0,27.7,15.2,13.6,1832,1231,5.1,15.6,0,3.2,57.8,5018,650000,650,1,low,0.13
144,"Census Tract 190.43, Dallas County, Texas",8091,2851,2256,7.1,20.9,2.84,3.2,3.3,7,15.6,2.3,3,7.3,89.9,1.5,80.9,24.1,12.1,4.6,59.5,11.6,11.8,9.1,17.5,0.5,1.7,1.6,12.9,19,143556,38.2,1.1,0.6,21.6,51351,83980,57994,75.3,75.3,9.8,3.5,11.1,10.7,2922,97.6,2.6,0,2922,48,113,19043,0.7,0.5,0.6,0.4,2851,93.5,186,2.89,3.1,29.6,0.5,6.6,11.3,4.4,2175,1344,4.9,26,0.5,0.4,74.5,8091,1018000,1018,2,low,0.13
145,"Census Tract 192.12, Dallas County, Texas",4354,1124,876,33,22.1,3.87,4.07,12.4,49,0,0,25.1,3.2,75.2,2.2,48.3,90.3,0,12.7,3.3,45.1,5.1,3.9,12.7,0,2.9,24,1.7,0,36599,2.9,0,27.9,0,21043,26618,20198,15.8,15.8,54.4,40.3,0,73.2,1286,87.4,-666666666,8,1286,48,113,19212,38.1,0,3.2,3.8,1124,0,1124,-666666666,3.9,14.1,-666666666,-666666666,-666666666,-666666666,-666666666,854,9.3,0.8,1.7,0,18.1,4354,28000,28,788,low,0.01
146,"Census Tract 192.13, Dallas County, Texas",3518,1396,715,15,48.8,2.52,3.58,7.9,99,-666666666,-666666666,11.3,6.1,77.1,3.3,54,69.8,2.6,6.2,7.2,43.3,12.4,2.7,6.8,0,13.7,21.8,3.7,0,34951,26.4,1,28.8,0,18428,20313,24722,17,17,41.1,47.3,0,61,1568,89,0,9.8,1568,48,113,19213,60.6,0,3.8,0,1396,3.9,1341,1.64,10,13.5,23.6,0,10.9,0,808,906,7,17.7,0.6,0,21.5,3518,64000,64,2717,high,0.02
147,"Census Tract 201, Dallas County, Texas",2252,706,465,15.4,34.1,3.19,3.88,9.2,0,27.3,0,15.4,2.3,83.2,0.3,70.3,64.8,4,8.9,14.8,18.7,12.2,4.7,10.7,0,3.3,11.2,9.2,0.6,62063,16.9,5.1,10.2,0,23775,32428,32500,43.4,43.4,30.6,17.2,19,38.2,793,89,0,13.1,793,48,113,20100,3.5,0,3.3,4.2,706,55.7,313,3.37,8.1,22.8,16.8,36.1,18.6,4.3,1278,741,10.4,10.7,0,0,78,2252,1287000,1287,13,low,0.57
148,"Census Tract 202, Dallas County, Texas",4106,1586,1071,33.1,32.5,2.59,3.1,6.6,30,10.7,21.3,16.5,3.5,96.9,0.2,94.9,10.8,1,8,9.3,31.4,11.8,5.1,5.3,0,16.8,19.5,4.2,0.9,34759,43.9,0.3,18.9,1.4,22139,31968,29924,27.2,27.2,27.6,29.3,0,71.1,1676,94.6,0,5.5,1676,48,113,20200,0.6,0,1,1,1586,67.7,513,2.55,8.9,16.2,64.8,7.9,5.7,0.9,938,916,3.8,28,0,0,12.7,4106,2541000,2541,3096,high,0.62
149,"Census Tract 79.12, Dallas County, Texas",1771,1007,212,1.5,78.9,1.76,2.74,22.3,59,-666666666,-666666666,0.7,4.7,67.6,0.6,84,17.9,10.9,1.1,58.3,15.5,8.7,8.7,21,0,4.3,6.5,15,3.3,78275,8.9,0.6,2.2,11.3,47587,57207,49393,91.4,91.4,3.7,0,-666666666,-666666666,1092,92.2,0,7.9,1092,48,113,7912,26.7,0.7,14.3,7.6,1007,1,997,-666666666,8.7,11,0,100,0,0,-666666666,1258,0,6.4,0,0,72.2,1771,51000,51,936,low,0.03
150,"Census Tract 79.13, Dallas County, Texas",2786,1648,513,5.2,68.9,1.69,2.51,13,0,-666666666,-666666666,0.4,2.6,55.3,0.9,89.7,19.7,10.2,2.1,59.5,15.2,9.8,11.3,24,0,2.1,11.8,18.7,4.9,88732,24.9,0.5,6.7,7,48698,62750,58700,78.6,78.6,7.2,6.4,0,55.9,1788,92.2,0,9.8,1788,48,113,7913,35.3,17.4,8.7,3.7,1648,35.3,1066,1.52,9.9,22.6,23.2,29.4,24.1,1.9,1478,1455,4.4,19.2,0.4,0.3,81.3,2786,60000,60,1127,low,0.02
151,"Census Tract 79.14, Dallas County, Texas",2982,1626,450,2.7,72.3,1.83,2.36,25,0,-666666666,-666666666,8.5,3.1,54.2,6.1,77.2,25,8,5.7,58.3,10.5,9.4,15.5,19.8,0,14.2,5.4,16.9,7.8,108112,7.7,0,2.2,23.1,50611,62330,55871,85.4,85.4,11.9,0,0,-666666666,2017,80.6,0,11.7,2017,48,113,7914,63.2,17.3,17.6,4.4,1626,24.4,1230,1.76,15.3,8.7,0,43.7,25.8,3.8,1457,1476,5.2,6.7,0,0,74.2,2982,85000,85,1672,high,0.03
152,"Census Tract 108.04, Dallas County, Texas",5424,1730,1087,25.8,37.2,3.14,4.05,6.9,95,0,26.3,19.9,4.9,83.1,0.5,71.8,54.7,0,9.4,5.4,17.6,21,3.8,10.3,0,13.1,16,5.2,0,38697,25.2,2.8,33.2,0,21907,30167,20823,26.5,26.5,32.5,35.1,30.6,59.7,1927,89.8,0,7.9,1927,48,113,10804,26.4,0,0,1.5,1730,19.7,1390,3.76,11.3,22.1,36.2,32.9,8.2,0,1563,834,13.3,13.1,1.7,0,57.6,5424,200000,200,2469,high,0.04
153,"Census Tract 108.05, Dallas County, Texas",6129,1746,1305,28.8,25.3,3.37,4.03,3,0,0,28.5,14,3.9,91.9,0,73.1,61.2,0.4,10.1,14.9,13.3,11.5,4.5,10.7,0,11.3,11.4,10.3,0.5,62331,22.5,1,19.5,0.6,29253,36348,29375,37.6,37.6,26.9,14.4,0,18.8,1829,95.5,3.4,3.4,1829,48,113,10805,14.9,0,0,6.3,1746,41.9,1014,4.11,5,31.9,11.9,44.9,16.8,0,1186,908,7.7,10,0.6,0,58.7,6129,305000,305,1745,high,0.05
154,"Census Tract 109.03, Dallas County, Texas",3833,1493,847,30.4,43.3,2.56,3.58,3.8,92,0,11.1,12,7.2,84.6,0.9,77.3,37.3,0,10.7,16.3,12.6,20.7,2.4,6,0,11.5,23.4,8.2,0,39123,9.8,2.6,22.4,0,25237,27708,28506,38,38,30.8,26.3,0,47,1728,86.4,0,8.4,1728,48,113,10903,11.5,0,1.4,6.9,1493,21.7,1169,3.42,7.6,18.6,44.1,33,16.7,3.1,1238,861,6.6,7.9,3.3,0,36.1,3833,282000,282,2371,high,0.07
155,"Census Tract 109.04, Dallas County, Texas",3902,1720,909,34.3,47.2,2.27,3.12,6.5,30,0,41.2,14.2,7.7,86.1,0,88.9,25.3,0.2,6.6,17.8,21.6,12.8,8.5,10.2,0,19.5,18.3,4,0,35288,5.5,0,25.9,0,25106,32446,35285,36.6,36.6,20.4,39.7,0,54.5,1865,92.2,0,8.1,1865,48,113,10904,8.8,0,3.5,2.8,1720,4,1652,3,7.7,12.3,25,29.4,29.4,16.2,1125,849,7.7,4,0,0,24.2,3902,775000,775,5777,high,0.2
156,"Census Tract 126.03, Dallas County, Texas",2087,662,453,5.9,31.6,3.15,3.86,6.2,22,22.5,0,11.5,9.5,93.6,0.8,77.2,47.1,5.7,4.5,36.5,11.6,12,7.9,9.3,0,1.7,13,15.9,5.9,83484,23.7,0.9,5.4,5.5,36875,47321,41429,63.2,63.2,21.3,5.7,8.9,100,702,94.3,0,0,702,48,113,12603,0,0,0,0,662,83.7,108,3.12,0,34.9,32.5,37,6.7,3.2,1127,1288,6.9,14.9,0,0,78.3,2087,92000,92,730,low,0.04
157,"Census Tract 126.04, Dallas County, Texas",6778,2743,1347,14.1,50.9,2.47,3.46,10.7,32,10.1,12.3,8.6,4.5,71.6,0,75.7,40.4,1.6,5.6,20.6,27.1,14.6,6.2,7.6,0,4.2,16.4,4.7,0.8,46493,20.2,2.3,14.9,1.6,28297,37140,27643,44.8,44.8,29,17.8,8.8,37.8,2927,93.7,0,6.3,2927,48,113,12604,43.6,1.1,8.9,3.1,2743,15.8,2310,2.91,10.2,11.2,8.3,18.5,20.8,0,1433,799,13,8.9,0,2.1,61.8,6778,251000,251,3964,high,0.04
158,"Census Tract 130.10, Dallas County, Texas",5072,2015,1198,17.4,40.5,2.52,3.27,6.6,82,0,0,14.9,9.3,62.5,2.9,60.1,60.3,3.3,4.1,19,20.8,14.7,4,10.5,0,8.5,12.9,9,2,44503,8.6,1.8,16.9,1.5,23970,27238,25500,36.5,36.5,31.7,16.1,18.5,36.6,2200,91.6,0,6.4,2200,48,113,13010,32.3,0,10.6,2.7,2015,8.9,1836,1.93,15.5,10.8,0,24,21.2,0,1531,912,13.2,6.3,0.4,0,60,5072,140000,140,2610,high,0.03
159,"Census Tract 130.11, Dallas County, Texas",4991,1900,1047,22.3,44.9,2.63,3.67,5.9,16,0,32.8,12.2,4.3,73.4,0.4,61,61.3,0.8,6,13.7,25.7,19,3.6,16.1,0,9.9,16.3,8.8,0,44266,6.8,2,25,0,26300,31880,28229,31.9,31.9,35.1,28.9,27.2,55.3,2262,84,0,13.2,2262,48,113,13011,37.9,0,9.2,4.8,1900,4.7,1810,2.99,12.9,11.6,0,23.3,63.3,0,971,799,12.9,3.7,2.4,0,57.3,4991,95000,95,2821,high,0.02
160,"Census Tract 131.04, Dallas County, Texas",1002,608,179,3.9,70.6,1.65,2.58,11.2,0,-666666666,-666666666,1.7,3.3,67.1,0,91.7,12.8,7.7,0,67.7,9,14.6,14.2,19.3,0,1,8.1,9,12.7,97626,27.6,0,9.4,28.5,57216,49815,71563,80.6,80.6,5.9,3.4,18.8,100,652,93.3,5.1,4.3,652,48,113,13104,29.4,0,2.9,1.1,608,45.7,330,1.77,10.2,16.6,7.2,22.7,20.9,28.8,1638,1107,6.9,31.8,0,0,85.4,1002,54000,54,532,low,0.05
