,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,AFFGEOID,GEOID
0,"Census Tract 5435.02, Los Angeles County, California",11.2,28.4,8.6,49.0,0.0,25.0,8.5,9.4,96.5,0.5,51.7,70.5,2.9,7.1,34.9,16.7,11.8,1.2,11.4,0.0,4.0,13.7,15.7,9.4,28.6,5.8,5.7,7.4,49.7,49.7,11.8,14.8,25.7,50.9,91.1,0.0,0.0,2.0,0.0,3.7,4.9,55.9,2.87,4.7,24.3,0.0,1.3,4.1,31.7,7.4,21.4,0.2,0.5,35.8,low,97.77562018886023,95.53723787157726,78.62059410883309,89.41029925051872,88.16179540813341,105.62141925236826,100.0,106.40113114389193,102.08979694791272,037,543502,06,1117,1400000US06037543502,6037543502
1,"Census Tract 5501, Los Angeles County, California",12.6,15.9,4.9,46.0,2.0,3.3,10.1,7.3,97.5,0.2,64.1,74.0,0.8,4.6,28.7,20.0,12.4,5.8,4.2,0.0,3.8,5.4,17.0,5.6,23.8,2.7,5.5,4.2,73.6,73.6,3.0,7.5,5.4,6.3,96.5,3.7,0.0,3.5,0.0,0.4,2.1,81.8,3.89,0.5,29.5,0.0,0.0,0.0,9.4,6.6,14.9,0.0,0.9,49.0,low,85.17566913359474,76.63736535414684,72.72763498711407,74.11490375292024,81.58547241240115,177.65121624251182,100.0,132.58185110989692,119.10476310589816,037,550100,06,3661,1400000US06037550100,6037550100
2,"Census Tract 6031.02, Los Angeles County, California",11.1,37.9,6.6,54.0,0.0,22.2,9.1,9.3,94.6,0.0,59.7,62.9,0.8,6.2,33.7,11.5,10.6,4.2,21.4,0.0,6.3,10.6,13.8,2.7,39.3,4.2,9.2,4.3,54.2,54.2,6.4,15.6,0.0,26.5,91.9,0.0,6.0,14.2,1.2,2.1,6.1,33.6,3.07,2.7,40.6,0.0,0.0,3.8,37.1,5.4,22.5,0.0,1.8,30.7,low,97.34978227084271,84.56047982841875,78.71049758980374,90.4945298174371,82.17148139221888,89.33891293905107,100.0,93.64642141686387,100.13725984781605,037,603102,06,7256,1400000US06037603102,6037603102
3,"Census Tract 8001.01, Los Angeles County, California",9.4,19.5,3.9,72.0,0.0,0.0,2.5,6.9,89.1,0.5,75.8,22.5,8.3,6.2,67.2,6.7,7.0,14.5,26.2,0.0,0.9,3.7,8.9,31.6,35.7,0.9,1.5,35.6,81.6,81.6,4.3,1.1,0.0,0.0,97.5,1.2,0.0,0.0,0.0,0.0,0.4,89.5,2.81,3.4,20.0,1.1,2.5,6.5,40.3,2.5,26.0,2.5,3.5,92.0,low,169.86351128515673,185.17258248828853,168.1858667463074,135.60626590529085,179.0582993887496,134.82010725997367,100.0,97.33857423258252,89.53777273300543,037,800101,06,7522,1400000US06037800101,6037800101
4,"Census Tract 5300.04, Los Angeles County, California",15.4,27.7,7.8,26.0,7.6,28.3,12.3,8.2,90.8,0.2,65.7,62.5,1.3,8.2,41.0,17.8,13.7,4.3,9.0,1.4,3.8,11.8,16.9,3.4,30.7,2.3,9.6,4.8,63.7,63.7,9.2,8.8,0.0,0.0,88.7,0.0,10.9,24.8,0.0,2.5,3.6,54.9,3.44,6.3,15.7,0.0,1.4,0.0,38.8,9.9,18.6,0.0,2.5,63.6,low,93.46603265145498,82.70284665734604,77.757948803329,89.52646681125998,91.15695241609068,88.40780187421329,100.0,107.0724316558408,102.92659856223987,037,530004,06,3811,1400000US06037530004,6037530004
5,"Census Tract 5303.01, Los Angeles County, California",18.3,29.8,4.6,43.0,26.1,6.7,16.1,2.7,97.7,0.0,59.7,90.3,0.2,6.3,12.9,14.4,10.6,1.4,12.1,0.0,4.1,14.0,6.1,0.0,24.4,4.1,15.3,0.0,43.4,43.4,15.1,15.5,37.1,16.7,98.3,0.0,0.0,0.0,0.0,4.6,0.6,30.6,3.69,3.5,14.8,0.0,0.0,0.0,16.0,9.1,14.3,0.0,0.0,46.7,low,76.85026831868241,66.9165999931911,59.53536943420662,86.50611023198736,73.83713145703345,50.256122858552246,100.0,111.10023472753386,113.80501954849291,037,530301,06,1068,1400000US06037530301,6037530301
6,"Census Tract 5309.01, Los Angeles County, California",27.0,13.1,7.6,6.0,0.0,0.0,15.0,4.5,96.9,0.7,57.3,88.8,0.8,10.7,13.6,26.4,11.1,1.8,11.9,0.0,4.2,7.7,10.3,3.0,27.1,5.9,8.7,1.3,37.8,37.8,15.7,14.9,0.0,41.0,94.7,3.3,4.6,0.0,0.4,1.9,5.3,31.7,4.12,1.1,29.1,0.0,0.0,1.4,17.0,6.0,13.5,0.0,0.0,27.8,low,69.51399735131713,63.74299185552678,49.442633415715825,71.55921741661265,73.12089825947845,84.014867619594,100.0,129.56099880612712,110.45781309118428,037,530901,06,6769,1400000US06037530901,6037530901
7,"Census Tract 5320.01, Los Angeles County, California",14.6,38.1,4.7,76.0,0.0,14.8,16.7,4.0,90.4,0.4,59.8,73.7,0.9,3.2,10.2,19.1,18.9,3.4,11.5,0.0,7.4,23.0,9.3,0.0,30.3,7.7,16.0,0.0,31.3,31.3,14.5,23.8,56.8,50.9,93.4,0.0,2.1,20.6,0.0,7.1,4.0,27.9,2.7,2.9,19.9,2.4,0.0,0.0,6.3,8.3,20.7,0.0,0.0,68.7,low,64.509054226263,61.10922427736206,66.2246165302371,56.07020931777874,60.29381281235712,67.37424166595461,100.0,91.63251988101734,100.13725984781605,037,532001,06,3469,1400000US06037532001,6037532001
8,"Census Tract 5334.03, Los Angeles County, California",16.5,21.1,5.0,69.0,13.8,2.8,13.2,1.5,95.1,0.4,53.0,89.9,0.4,7.9,16.4,19.6,7.2,6.0,2.8,0.0,2.2,13.8,13.9,0.0,31.6,3.5,13.1,0.0,31.9,31.9,19.3,21.6,48.6,55.4,98.7,0.0,0.0,13.2,0.0,4.7,2.8,34.9,4.68,0.7,36.8,0.0,3.9,0.0,34.1,6.7,16.8,0.0,0.0,65.8,low,74.11735914862055,64.16650313621166,59.35128135412386,74.26979383390858,64.20053934447529,70.16757486046797,100.0,127.54709727028057,120.2204985916677,037,533403,06,5205,1400000US06037533403,6037533403
9,"Census Tract 5408, Los Angeles County, California",34.8,19.2,3.3,0.0,0.0,0.0,15.5,6.1,92.9,0.0,74.4,47.5,0.0,5.4,21.9,18.4,13.1,3.0,12.9,0.0,2.4,5.4,13.2,1.8,29.8,5.3,9.3,2.2,54.0,54.0,10.1,7.1,9.6,20.4,96.4,0.0,0.0,11.0,0.6,0.0,1.8,66.9,4.02,1.1,29.4,0.0,0.6,3.6,3.5,4.1,11.6,0.0,0.0,24.8,low,69.64067065604387,63.219510100860504,66.17966478975178,71.01710213315346,74.48825254571982,126.84597660213213,100.0,120.4984418948177,112.96821793416572,037,540800,06,3166,1400000US06037540800,6037540800
10,"Census Tract 5401.02, Los Angeles County, California",21.6,15.4,3.4,88.0,2.8,0.0,14.3,4.8,94.0,0.2,64.9,80.4,0.2,9.8,14.4,25.4,12.5,4.7,10.3,0.0,12.4,7.0,12.8,5.2,22.0,1.9,12.3,6.1,50.2,50.2,17.5,17.5,53.5,52.1,98.9,0.0,2.4,0.9,0.0,1.3,7.7,54.9,4.69,1.7,24.6,0.8,0.2,5.2,9.0,7.1,12.2,0.0,0.0,48.8,low,69.32803015927149,61.287353485547115,61.346282408043976,67.8805779931396,83.40861146072297,162.77731384779537,100.0,147.68611262874597,135.00399377811408,037,540102,06,1110,1400000US06037540102,6037540102
11,"Census Tract 1232.05, Los Angeles County, California",16.3,24.8,10.4,18.0,0.0,0.0,15.0,6.6,96.8,0.0,53.4,78.6,1.3,2.7,24.1,24.1,8.7,2.4,15.1,0.0,6.2,16.9,16.3,0.5,15.2,8.8,14.8,0.0,37.6,37.6,16.8,13.8,0.0,18.9,96.8,0.0,3.9,0.0,0.0,11.6,5.4,18.7,4.65,1.7,34.8,7.7,0.0,0.0,43.7,4.9,9.9,0.0,0.0,72.6,low,60.773539325172536,57.64115765269797,50.83827792983163,93.16638371448595,80.21811812615981,62.43219062950792,100.0,115.7993383111758,105.43700340522136,037,123205,06,1075,1400000US06037123205,6037123205
12,"Census Tract 2383.10, Los Angeles County, California",35.0,27.9,6.9,69.0,0.0,0.0,20.9,4.0,88.1,0.0,65.5,72.0,0.0,6.9,9.7,30.6,13.7,4.6,10.5,0.0,14.9,13.3,7.9,0.0,18.3,11.2,25.2,0.0,19.4,19.4,21.0,42.3,42.7,67.9,98.0,0.0,0.0,12.2,0.0,6.1,7.1,9.1,3.16,4.4,21.0,0.0,9.1,0.0,0.0,9.5,7.7,0.0,0.0,22.5,high,55.237646390944654,58.53907427354915,51.50827291897004,83.137250970491,68.6932748564112,119.80295700912836,100.0,113.78543677532923,111.29461470551144,037,238310,06,1123,1400000US06037238310,6037238310
13,"Census Tract 2400.10, Los Angeles County, California",37.9,21.2,6.5,10.0,0.0,20.9,23.1,4.4,90.9,1.0,65.7,70.4,0.2,17.9,9.7,27.8,9.8,3.0,13.4,1.0,13.3,10.1,5.5,0.0,18.1,10.7,24.9,0.0,23.8,23.8,18.5,33.2,63.5,49.4,93.0,0.0,1.4,3.5,1.6,6.0,7.6,19.5,4.5,2.8,18.5,0.0,0.0,2.1,0.0,7.2,7.4,0.0,0.3,27.0,high,63.06713469373529,44.81221937341121,68.45293852286677,57.30932996568546,67.84681744111893,88.26455401808441,100.0,126.87579675833172,117.43115987724389,037,240010,06,6258,1400000US06037240010,6037240010
14,"Census Tract 2406, Los Angeles County, California",44.6,12.2,6.4,61.0,14.4,1.2,21.5,6.2,90.1,0.0,65.2,73.6,0.1,17.0,11.8,32.8,11.2,3.4,11.2,0.0,12.1,11.8,7.6,0.0,19.9,10.0,35.7,0.0,29.4,29.4,17.3,30.7,28.6,41.9,93.6,2.9,0.0,0.0,0.0,0.5,1.4,30.8,5.32,4.8,10.9,0.0,10.9,10.1,6.8,13.3,8.6,0.0,0.0,34.1,high,57.46386234209959,50.9976652453881,47.762294545192965,64.20193856966654,92.65453092006929,151.00711500253826,100.0,165.47557619539032,142.5352083070585,037,240600,06,152,1400000US06037240600,6037240600
15,"Census Tract 2407, Los Angeles County, California",32.4,20.8,3.2,49.0,0.0,2.7,13.7,2.7,94.9,0.0,71.3,66.6,0.0,6.3,8.9,32.5,12.6,3.2,9.5,0.0,8.6,8.9,13.3,0.5,24.4,4.9,20.8,0.0,32.2,32.2,14.5,14.2,24.8,17.2,92.2,2.0,1.6,6.0,0.0,1.4,2.4,44.5,4.05,4.8,28.3,0.0,1.4,3.2,10.3,7.8,9.9,0.1,0.0,41.6,high,71.82376378005776,59.3043028107523,71.55674917542491,74.57957399588527,87.5757864283157,152.00984999544048,100.0,130.56794957405035,125.24130827763064,037,240700,06,1246,1400000US06037240700,6037240700
16,"Census Tract 2421, Los Angeles County, California",53.0,18.2,1.2,0.0,0.0,33.3,14.2,3.4,97.8,0.0,72.6,74.4,0.0,14.0,12.0,35.2,19.0,1.3,12.2,0.0,21.5,20.4,2.7,3.1,17.0,24.5,46.6,3.8,8.8,8.8,10.7,69.6,40.0,71.6,96.2,0.0,0.0,10.5,0.0,0.0,5.9,0.7,3.8,0.0,35.9,0.0,0.0,0.0,0.0,9.4,4.8,0.1,0.0,46.7,high,36.403751637106105,42.074846031302116,45.48688025300724,,34.509417700377185,66.32375738767608,100.0,126.54014650235729,121.05730020599488,037,242100,06,6416,1400000US06037242100,6037242100
17,"Census Tract 6205.01, Los Angeles County, California",9.7,24.3,5.9,0.0,,,1.3,10.4,84.2,2.1,79.7,26.4,12.8,3.2,55.2,11.0,11.8,9.0,19.4,0.0,1.5,4.9,12.6,24.7,20.6,2.0,1.5,28.6,87.2,87.2,3.7,1.9,0.0,10.7,100.0,0.0,0.0,8.4,0.0,2.0,0.9,52.3,2.69,2.8,18.8,0.0,0.0,0.0,66.1,6.3,12.2,0.9,4.4,80.4,low,190.88049916300918,145.07533419683682,158.31146775303102,126.15797096500215,140.57704304738556,144.75195861824338,100.0,94.98902244076159,88.97990499012066,037,620501,06,326,1400000US06037620501,6037620501
18,"Census Tract 6206.01, Los Angeles County, California",8.4,35.3,3.8,0.0,0.0,0.0,2.7,10.0,87.9,0.3,69.5,30.6,7.3,8.2,63.1,6.5,6.7,5.0,15.7,0.0,2.6,6.3,14.1,14.6,25.4,3.0,0.8,18.5,84.1,84.1,4.3,3.9,0.0,47.1,89.6,0.0,13.0,8.1,0.0,5.3,2.5,49.4,2.38,4.4,26.7,0.0,0.0,0.0,70.0,7.5,18.7,1.4,4.8,66.9,low,190.65410432051888,146.84572040879846,198.596789464165,122.01466129856409,108.15121283080472,120.08945272138615,100.0,74.85000708229622,77.26468238954052,037,620601,06,6467,1400000US06037620601,6037620601
19,"Census Tract 6208, Los Angeles County, California",10.5,19.7,2.6,0.0,0.0,11.3,3.4,4.2,90.4,0.7,80.2,23.4,9.7,4.6,64.0,6.9,6.5,12.2,16.9,0.0,2.5,1.4,9.9,36.0,28.4,0.4,0.4,43.3,84.4,84.4,4.1,1.8,11.6,9.9,95.0,0.0,0.0,4.5,0.0,0.9,1.2,74.0,2.9,2.2,28.2,0.0,0.0,0.0,8.5,8.1,22.7,0.0,4.7,73.2,low,224.0365628810576,221.4582292535764,200.8443764884313,154.92880350858616,135.17273801128874,184.67036119282741,100.0,93.31077116088946,87.02736789002398,037,620800,06,7572,1400000US06037620800,6037620800
20,"Census Tract 6210.01, Los Angeles County, California",3.1,42.9,9.8,0.0,0.0,14.9,1.3,6.7,89.4,0.0,83.6,13.4,9.4,4.4,63.8,4.1,8.7,9.9,24.0,0.0,1.4,1.9,14.3,33.1,27.0,2.4,1.9,45.0,91.5,91.5,1.3,1.4,0.0,0.0,95.8,0.0,3.0,29.6,1.6,6.3,5.7,55.5,2.5,4.5,25.9,0.0,0.0,0.6,17.3,8.0,20.1,0.2,4.4,87.2,low,208.87619396429432,210.39240660632538,221.9716945165339,145.36434100755622,124.16879161248924,106.40928246107715,100.0,76.86390861814277,80.05402110396436,037,621001,06,7244,1400000US06037621001,6037621001
21,"Census Tract 6700.03, Los Angeles County, California",14.6,35.5,5.4,6.0,0.0,6.3,7.2,8.5,84.9,0.2,78.5,28.4,7.3,6.2,36.5,13.9,12.1,1.9,8.7,0.0,5.1,3.2,11.3,7.7,26.0,1.4,5.9,7.7,66.6,66.6,7.3,3.0,6.3,17.0,92.0,0.0,2.3,9.7,0.0,2.0,4.6,49.4,2.78,4.2,37.0,4.3,0.0,0.0,62.3,9.6,16.3,0.0,4.2,62.6,low,128.41977922594444,114.84244521987776,105.30266292547942,95.025064686346,88.35713173473933,136.84945188846626,100.0,84.58386450555449,87.58523563290875,037,670003,06,5623,1400000US06037670003,6037670003
22,"Census Tract 6707.02, Los Angeles County, California",2.4,22.5,2.6,0.0,0.0,0.0,1.7,5.4,95.3,0.3,84.0,22.0,9.7,1.1,62.9,8.8,8.2,18.3,10.9,0.0,0.7,0.0,8.9,50.8,38.8,0.0,0.6,59.6,88.9,88.9,1.0,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,96.3,2.77,2.1,26.7,0.0,0.7,0.0,16.6,3.0,30.6,0.5,6.4,83.3,low,228.5078610202416,227.30741080397945,217.2667456790699,154.92880350858616,227.9574931490953,132.623640132664,100.0,92.63947064894062,88.70097111867828,037,670702,06,4833,1400000US06037670702,6037670702
23,"Census Tract 7006, Los Angeles County, California",8.0,26.7,9.5,0.0,0.0,63.2,3.4,5.3,95.5,1.4,63.6,47.0,3.2,5.8,55.0,11.9,8.7,17.0,20.4,0.0,6.8,1.3,8.0,45.0,46.6,0.7,0.0,50.2,82.2,82.2,2.6,5.1,0.0,45.0,79.2,3.2,12.2,2.1,0.9,0.0,1.7,90.3,2.88,3.1,26.2,0.0,0.0,0.0,4.2,2.7,30.4,0.0,5.2,94.2,low,173.90897150632324,285.6065559399733,79.3119946886788,154.92880350858616,156.98529448228192,124.10039269299507,100.0,99.35247576842907,91.49030983310213,037,700600,06,7255,1400000US06037700600,6037700600
24,"Census Tract 7009.02, Los Angeles County, California",9.7,49.0,4.2,0.0,,,1.1,6.9,81.3,5.8,62.3,46.4,3.6,4.6,63.8,5.7,5.1,7.6,16.0,1.3,8.8,9.7,13.1,17.6,22.9,0.5,0.4,21.4,78.7,78.7,6.7,12.0,0.0,56.7,90.4,5.1,2.4,8.8,0.0,7.5,7.9,19.7,2.48,5.5,16.6,0.0,0.0,0.0,18.0,2.8,19.6,0.9,3.7,86.8,low,162.84257599126013,186.46311042513943,147.1634361126705,144.1639428798966,140.31659461191106,179.51343837218738,100.0,74.1787065703474,88.97990499012066,037,700902,06,333,1400000US06037700902,6037700902
25,"Census Tract 7016.01, Los Angeles County, California",10.2,29.2,7.6,0.0,0.0,0.0,1.6,5.1,86.0,1.3,75.6,25.0,12.2,6.8,71.4,9.4,3.4,9.8,23.5,0.0,3.0,4.4,10.8,34.1,25.4,1.7,1.9,41.4,83.7,83.7,4.2,0.5,0.0,0.0,92.1,0.0,0.0,2.6,1.3,1.7,0.6,57.2,2.83,6.2,19.1,0.0,1.2,0.6,13.7,6.6,22.6,0.3,5.7,85.1,low,167.50523167588244,191.9178630145613,154.94650889384388,154.92880350858616,137.64699814829692,105.31104889742235,100.0,84.91951476152889,80.61188884684913,037,701601,06,3485,1400000US06037701601,6037701601
26,"Census Tract 5770, Los Angeles County, California",13.2,60.3,17.6,15.0,0.0,0.0,4.0,10.4,82.7,0.2,82.9,30.9,7.6,3.9,43.0,22.8,9.3,7.4,12.9,0.0,4.2,9.0,15.4,6.6,10.7,3.1,6.1,14.0,79.8,79.8,5.5,8.4,12.0,0.0,97.2,0.0,3.5,11.8,0.0,5.4,7.8,22.2,2.11,9.8,23.8,0.0,2.1,0.0,48.8,6.4,7.0,1.1,2.5,64.6,low,112.70150873304425,94.77019168939265,101.60805796939992,110.51407278517992,89.65937391211204,173.4492791293977,100.0,73.17175580242413,84.23802917560013,037,577000,06,6338,1400000US06037577000,6037577000
27,"Census Tract 5990, Los Angeles County, California",13.5,33.8,3.3,0.0,0.0,0.0,6.6,6.7,80.1,0.0,80.1,43.5,8.0,0.6,26.0,29.4,8.3,10.1,11.0,2.8,7.0,10.4,14.1,7.7,21.3,1.8,11.1,11.6,54.6,54.6,11.6,13.5,0.0,47.1,64.0,3.8,9.1,8.0,0.0,6.7,11.6,29.7,1.97,7.6,17.0,0.0,0.0,0.0,59.0,4.0,18.3,0.0,0.0,81.6,low,86.63915007969295,102.89142946664587,79.793620479593,122.63422162251743,92.65453092006929,87.59606402281625,100.0,83.57691373763122,87.30630176146634,037,599000,06,3588,1400000US06037599000,6037599000
28,"Census Tract 1312, Los Angeles County, California",11.0,28.3,5.3,0.0,0.0,0.0,5.6,11.9,95.4,0.0,68.7,45.6,8.0,2.4,42.9,15.3,5.9,9.8,12.7,0.0,12.1,7.4,10.2,6.6,29.9,1.0,4.5,7.8,68.5,68.5,6.7,8.6,0.0,26.0,95.0,0.0,10.2,10.7,0.0,2.6,10.1,68.6,2.63,0.0,13.0,0.0,0.9,0.0,40.6,4.6,21.3,0.0,1.3,73.1,low,97.83760925287544,116.72734306567267,124.0261331171526,88.17117860261202,121.62941936661241,74.70375697121615,100.0,90.9612193690685,88.70097111867828,037,131200,06,7508,1400000US06037131200,6037131200
29,"Census Tract 1895, Los Angeles County, California",2.1,78.2,15.6,0.0,,,3.8,5.1,85.4,2.7,71.4,27.2,9.3,13.2,62.2,16.6,3.0,6.9,15.4,0.0,13.5,7.0,11.2,4.8,12.8,0.6,7.0,11.6,73.9,73.9,9.5,8.9,0.0,,90.3,3.8,1.7,44.6,0.0,25.1,18.9,14.1,2.24,7.9,23.7,0.0,0.0,0.0,32.5,0.5,14.9,0.6,0.9,84.1,high,110.59927090991974,88.744698575786,108.97372173178101,118.18113179410271,102.551571468102,99.10364179850374,100.0,51.35448916408664,65.27052591751797,037,189500,06,7625,1400000US06037189500,6037189500
30,"Census Tract 1316, Los Angeles County, California",12.1,27.0,4.7,19.0,4.6,0.0,18.4,6.9,95.8,0.2,56.6,71.8,2.5,7.4,30.5,26.3,10.5,9.8,15.0,0.3,9.3,9.0,11.1,7.5,20.9,1.5,7.0,9.0,57.0,57.0,10.4,9.1,0.0,20.3,94.0,3.6,0.0,2.3,0.0,0.0,3.3,66.7,3.65,3.8,27.2,0.0,0.0,0.0,46.3,4.5,17.3,0.2,0.6,56.7,high,83.23514191224903,93.91226325813402,76.40511547062779,86.31249763075195,111.27659405649923,125.81936696654176,100.0,125.19754547845959,125.24130827763064,037,131600,06,10,1400000US06037131600,6037131600
31,"Census Tract 1327, Los Angeles County, California",15.5,23.6,9.6,25.0,0.0,6.5,10.5,9.3,93.1,0.4,51.3,66.7,5.2,2.3,35.8,26.4,7.5,5.4,11.6,0.0,2.0,15.6,12.4,5.8,23.3,1.7,11.8,7.6,52.5,52.5,10.5,11.9,9.4,29.7,96.9,2.8,0.0,18.1,0.0,6.1,6.8,53.9,3.04,0.5,30.4,2.1,0.0,1.3,55.8,8.0,12.9,0.0,1.6,63.5,high,72.28463899512737,79.39655043603369,84.57777000267399,93.16638371448595,77.61363377141434,120.5191962897728,100.0,108.75068293571292,98.18472274771936,037,132700,06,2252,1400000US06037132700,6037132700
32,"Census Tract 1813, Los Angeles County, California",13.2,28.7,11.9,0.0,4.6,26.9,4.9,7.2,95.8,0.0,65.3,51.9,6.6,3.5,60.9,13.8,10.1,5.3,14.3,0.0,2.4,4.8,12.0,17.2,33.6,0.0,1.7,20.9,72.7,72.7,5.4,7.1,0.0,27.7,95.2,0.0,1.9,0.0,0.0,0.4,1.3,69.3,2.87,2.9,22.6,0.0,0.0,1.1,62.3,6.9,23.5,0.7,2.6,55.7,low,114.2754919236913,115.54950911767351,132.9608266783786,110.63024034592115,118.69937446752378,96.88330002850596,100.0,100.0237762803779,91.49030983310213,037,181300,06,4545,1400000US06037181300,6037181300
33,"Census Tract 1833, Los Angeles County, California",15.0,27.5,9.8,0.0,18.0,5.7,13.6,6.5,92.0,0.5,58.0,67.2,4.1,6.0,27.6,34.4,10.8,3.9,16.4,0.0,3.3,9.4,17.4,5.0,30.0,4.0,7.7,3.6,60.7,60.7,9.8,5.2,0.0,0.0,94.0,0.0,0.0,0.0,0.0,4.1,4.8,52.4,3.68,2.3,32.4,1.9,0.0,1.0,54.2,4.7,16.4,0.0,0.2,46.5,low,82.49396832076282,65.34433708421078,66.40656405124912,60.01990638298139,85.29686261791343,77.735836592611,100.0,110.42893421558502,103.76340017656705,037,183300,06,4548,1400000US06037183300,6037183300
34,"Census Tract 1835.10, Los Angeles County, California",17.1,29.1,8.0,73.0,13.5,0.0,15.0,10.5,95.9,0.0,66.2,69.9,3.4,8.4,37.2,23.7,10.6,8.3,7.7,0.0,1.6,14.5,11.8,7.4,34.0,5.9,10.2,7.3,63.4,63.4,11.1,8.6,0.0,58.6,98.3,0.0,0.0,0.0,0.0,0.0,2.0,69.8,3.5,1.6,24.3,2.8,0.0,0.0,71.3,6.9,15.8,0.0,1.0,50.6,low,90.09706178106312,91.26031923015451,80.96236573221144,82.98236088950266,106.97919487116928,62.360566701443474,100.0,113.11413626338042,110.73674696262665,037,183510,06,4549,1400000US06037183510,6037183510
35,"Census Tract 2760, Los Angeles County, California",6.0,40.1,8.7,0.0,0.0,0.0,2.9,7.8,91.3,0.0,81.0,26.9,13.8,1.9,68.0,9.3,8.0,8.0,17.0,1.1,5.4,3.5,10.6,22.2,30.9,1.3,0.9,29.2,87.0,87.0,2.5,0.0,0.0,0.0,93.0,0.0,6.5,6.3,4.9,1.8,2.8,78.4,2.49,5.9,17.5,0.0,0.7,0.8,63.5,4.1,25.5,0.7,2.8,72.6,high,178.20777833694325,149.95571097211098,162.54977471307598,139.47851792999933,142.20484576910147,132.76688798879292,100.0,77.87085938606603,80.05402110396436,037,276000,06,6023,1400000US06037276000,6037276000
36,"Census Tract 2912.10, Los Angeles County, California",17.9,21.6,6.2,8.0,12.0,0.0,11.0,7.7,89.5,0.0,58.8,65.3,1.6,13.6,24.4,18.4,9.9,4.9,13.0,0.0,3.9,10.5,11.5,2.8,30.1,4.3,12.8,3.0,51.8,51.8,8.1,18.8,0.0,80.8,98.1,0.0,3.8,20.6,3.0,3.4,2.6,50.4,3.54,0.0,30.0,0.0,0.0,4.1,20.9,8.8,17.0,0.2,1.0,45.6,high,66.09112294699902,59.5515025282336,78.89244511081576,72.25622278106017,78.72053962218116,131.02403907255808,100.0,114.4567372872781,105.99487114810611,037,291210,06,1358,1400000US06037291210,6037291210
37,"Census Tract 2932.02, Los Angeles County, California",18.7,21.3,8.6,44.0,10.0,0.0,17.9,6.7,89.5,0.2,54.8,75.5,2.1,8.6,18.3,32.6,11.9,3.4,14.9,0.0,9.3,19.8,5.3,1.4,10.0,3.2,20.3,1.2,35.7,35.7,21.6,32.4,43.2,51.7,89.8,5.1,5.2,8.8,0.0,7.5,6.3,17.8,4.03,3.3,27.4,0.0,10.2,2.5,14.9,9.6,5.5,0.6,0.0,28.1,high,59.07018765310243,58.09920418803096,75.18713735938258,102.76956873576296,78.32986696896936,158.12175852360645,100.0,124.8618952224852,112.96821793416572,037,293202,06,6942,1400000US06037293202,6037293202
