,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,AFFGEOID,GEOID
633,"Census Tract 1284, Los Angeles County, California",9.6,41.6,10.5,0.0,,,2.4,8.1,85.6,0.0,65.5,51.0,6.2,3.5,47.4,14.8,3.4,4.8,14.8,0.5,2.3,5.9,11.5,7.4,20.3,0.3,5.7,12.7,66.6,66.6,10.7,10.3,0.0,22.9,100.0,0.0,0.0,11.8,0.0,2.2,5.7,51.1,2.79,3.6,19.7,0.0,0.0,0.0,80.8,6.3,13.3,0.0,3.0,72.8,high,110.63969856036444,83.76253368154896,117.5017090695683,107.80349636788401,101.9655624882843,101.82535106495268,100.0,83.57691373763122,86.4695001471392,037,128400,06,2248,1400000US06037128400,6037128400
634,"Census Tract 2752, Los Angeles County, California",7.4,59.0,12.4,0.0,0.0,0.0,5.3,7.7,82.0,2.0,68.3,46.7,5.0,7.9,43.1,20.6,13.7,2.7,15.4,0.0,2.3,12.5,7.3,6.9,15.5,1.4,2.0,14.1,67.9,67.9,8.9,11.0,0.0,0.0,97.9,0.0,0.0,15.3,1.0,16.7,8.1,23.5,2.46,6.7,18.1,0.0,0.0,0.0,69.1,3.9,14.2,1.3,2.5,52.7,high,86.44240218086206,66.90751176828368,93.74578450260952,77.21270537268704,94.4125578595225,91.34438292485554,100.0,76.86390861814277,96.51111951906506,037,275200,06,2416,1400000US06037275200,6037275200
635,"Census Tract 2933.04, Los Angeles County, California",21.0,25.5,3.1,26.0,0.0,26.2,15.3,5.3,95.8,0.7,60.9,67.9,2.0,7.8,26.9,25.4,15.0,2.2,10.4,2.6,3.0,10.7,13.8,2.8,20.5,3.4,11.0,3.8,53.8,53.8,11.3,13.5,10.4,29.8,91.5,0.0,6.8,7.9,0.0,12.1,1.5,34.3,3.0,3.5,36.2,0.0,1.9,0.0,33.3,6.5,10.5,1.8,1.5,41.0,high,71.24430079035041,66.70575317533941,81.21709226162828,88.55840380508286,75.13937363440617,111.375208140212,100.0,110.09328395961056,109.34207760541472,037,293304,06,1359,1400000US06037293304,6037293304
636,"Census Tract 2643.01, Los Angeles County, California",4.5,73.0,19.5,0.0,0.0,0.0,3.5,3.9,66.1,2.1,83.5,21.7,10.5,8.0,69.0,4.8,5.7,15.9,29.5,0.0,7.0,8.9,14.6,17.9,14.1,1.6,3.0,19.5,84.4,84.4,4.5,0.0,0.0,0.0,97.6,0.0,1.8,39.4,0.5,6.7,7.0,17.8,1.53,13.0,17.6,0.0,3.0,2.9,46.0,3.3,13.7,0.0,2.0,83.2,high,161.07184490178216,167.80680233522733,145.3503825797624,135.5288208647967,134.586729031471,133.101132986427,100.0,59.410095307472794,71.68600496069281,037,264301,06,6281,1400000US06037264301,6037264301
637,"Census Tract 5409.01, Los Angeles County, California",18.5,26.1,5.0,67.0,0.0,4.8,18.0,9.1,90.5,0.5,67.0,68.3,1.9,6.2,18.4,21.4,5.5,5.1,8.9,0.0,12.2,9.4,11.8,3.7,28.3,7.8,13.3,4.9,43.0,43.0,10.1,25.0,38.6,33.6,97.3,0.0,5.7,0.0,0.7,3.2,3.1,53.2,4.41,3.6,28.9,0.0,2.4,5.3,13.7,7.7,19.0,1.2,0.0,49.2,low,72.5083386609214,63.35038053952707,68.6434482801617,72.06261017982473,84.18995676714661,112.0675727781683,100.0,125.86884599040846,124.40450666330351,037,540901,06,4495,1400000US06037540901,6037540901
638,"Census Tract 5412, Los Angeles County, California",29.9,26.9,2.6,52.0,4.5,0.0,13.9,6.8,97.0,0.4,86.0,41.6,0.1,7.3,25.1,21.5,12.7,4.8,5.3,0.0,5.6,9.3,17.1,5.2,32.2,7.6,14.8,7.1,63.4,63.4,9.9,12.5,11.9,34.4,97.9,0.0,0.0,4.3,0.0,0.7,1.1,66.2,3.56,2.5,24.1,0.0,1.4,7.7,2.3,6.8,16.1,0.6,0.0,29.4,low,104.27638638036835,91.11672527661759,90.27379768988584,71.05582465340055,107.0443069800379,157.31002067220942,100.0,116.80628907909905,118.8258292344558,037,541200,06,4497,1400000US06037541200,6037541200
639,"Census Tract 1349.01, Los Angeles County, California",20.1,30.6,6.9,133.0,0.0,0.0,3.2,11.8,94.8,0.0,61.4,49.6,9.8,3.8,47.4,19.7,11.1,7.5,14.8,0.0,10.2,8.0,8.7,10.6,26.2,1.8,5.2,11.6,71.4,71.4,5.3,23.8,21.9,44.8,97.3,0.0,6.6,4.7,0.0,2.3,1.2,59.8,2.69,1.2,21.0,0.0,0.0,0.0,72.6,4.7,19.7,0.0,1.6,84.3,high,103.18483981836135,94.9210562228555,179.27182217361678,104.78313978861138,86.92466533962933,74.46501054433466,100.0,92.30382039296619,90.65350821877495,037,134901,06,91,1400000US06037134901,6037134901
640,"Census Tract 1373.01, Los Angeles County, California",8.8,12.7,3.5,0.0,15.7,14.5,3.1,7.6,95.4,0.8,74.2,26.9,4.6,4.9,46.1,15.0,10.0,11.1,19.6,0.0,0.0,2.3,7.0,34.5,31.1,1.0,0.0,35.9,88.6,88.6,1.1,1.1,0.0,0.0,90.3,3.4,0.0,0.0,3.0,0.0,0.0,92.6,3.18,0.0,29.2,1.0,0.0,0.0,58.2,3.6,20.9,0.0,2.2,85.1,low,162.43290913342048,152.5767550354053,129.3261573762795,148.15236246534633,211.61435382306772,56.20090888790119,100.0,108.41503267973849,95.3953840332955,037,137301,06,5738,1400000US06037137301,6037137301
641,"Census Tract 1393.02, Los Angeles County, California",20.7,42.8,9.7,0.0,0.0,15.3,6.4,5.3,77.3,0.3,63.1,44.8,2.5,6.9,36.0,17.8,16.0,10.9,10.5,0.0,7.1,8.5,10.1,2.9,21.1,3.9,8.1,4.1,53.5,53.5,15.1,13.2,36.8,28.6,93.2,0.0,3.4,82.9,0.0,13.1,9.0,17.7,2.08,9.4,26.5,0.0,6.8,17.4,1.4,7.2,11.7,2.8,1.5,68.5,low,82.33495289568033,66.4294711381544,93.97482432317759,61.839864834594366,108.47677337514791,132.48039227653516,100.0,90.9612193690685,98.18472274771936,037,139302,06,7565,1400000US06037139302,6037139302
642,"Census Tract 1374.01, Los Angeles County, California",11.8,26.7,3.7,15.0,0.0,8.9,2.2,6.4,87.9,0.5,75.9,20.7,7.1,8.9,62.4,8.6,11.8,8.8,19.1,0.0,1.0,6.0,14.4,17.9,27.3,1.8,2.0,22.8,82.6,82.6,4.3,3.2,0.0,0.0,93.5,0.0,4.1,5.4,0.0,5.0,1.0,71.7,2.58,6.1,22.5,0.0,0.0,0.0,84.8,7.0,18.1,0.8,1.4,83.1,high,139.40801461681446,148.9814532620376,151.75065420124437,119.34280740151527,140.25148250304238,105.12005175591715,100.0,89.6186183451708,87.86416950435112,037,137401,06,7444,1400000US06037137401,6037137401
