,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,GEOID
58,"Census Tract 7203, Cook County, Illinois",12.2,18.8,1.7,0.0,0.0,0.0,1.8,8.3,96.9,0.0,93.5,8.1,23.8,4.6,54.4,18.1,4.5,6.9,12.3,0.0,4.4,4.6,13.4,22.6,22.4,0.9,0.0,26.5,91.2,91.2,2.3,5.6,8.2,0.0,97.8,1.6,0.0,0.0,0.0,0.0,0.0,97.9,3.01,1.3,30.1,0.0,0.0,2.9,7.1,10.6,19.8,0.3,0.0,60.2,low,174.9732947619768,194.73990777387002,164.49187438346638,123.14022407564468,,117.304604624737,100.0,113.63241678726486,99.6650722639258,031,720300,17,2025,17031720300
59,"Census Tract 7303, Cook County, Illinois",30.7,42.6,2.2,65.0,0.0,0.0,9.0,7.8,96.2,0.0,99.6,1.8,0.0,13.9,32.3,30.9,14.7,2.3,5.3,0.0,14.3,13.6,13.6,1.0,38.3,4.3,24.8,1.7,54.3,54.3,6.6,12.9,53.8,36.5,88.6,0.0,16.7,6.8,0.0,0.0,1.9,67.9,2.81,0.0,18.3,16.8,24.6,33.3,0.0,7.1,22.1,0.0,0.0,1.1,low,87.26277909474405,60.34453094031602,104.89711014083643,83.99189450492929,88.16352027251938,32.53056962398195,100.0,101.96816208393636,112.45009611119326,031,730300,17,2027,17031730300
60,"Census Tract 7401, Cook County, Illinois",16.6,26.1,1.9,55.0,0.0,15.7,2.6,7.2,86.3,0.0,97.2,1.6,40.5,4.1,29.6,29.2,10.7,5.7,8.5,0.0,3.5,1.3,24.9,10.8,29.1,1.0,5.7,12.4,90.6,90.6,2.2,4.7,0.0,26.2,90.4,2.7,0.0,0.9,0.0,0.8,0.0,85.3,2.92,3.2,26.8,5.2,6.4,20.5,1.0,9.1,15.3,0.0,0.0,99.0,low,135.92581066607815,139.68592816677042,139.5468431251769,92.35516805673352,109.7953943187664,91.03981754046663,100.0,103.849493487699,96.1782475783074,031,740100,17,2506,17031740100
61,"Census Tract 628, Cook County, Illinois",3.5,56.6,24.7,0.0,,,1.0,1.9,72.9,1.5,89.0,13.2,21.4,2.0,70.5,8.4,5.3,14.7,32.0,0.0,2.1,7.3,12.4,36.6,7.3,0.0,2.2,59.1,94.1,94.1,3.2,0.0,0.0,0.0,89.5,0.0,6.1,5.1,3.7,2.0,3.2,45.4,2.81,10.3,14.9,0.0,0.0,0.0,50.5,8.9,4.8,0.2,2.5,90.7,low,188.07633252794184,190.6829435339407,160.5982803740203,166.49584463561123,183.41647825767436,103.71443701577357,100.0,94.06657018813317,88.332892035666,031,062800,17,509,17031062800
62,"Census Tract 634, Cook County, Illinois",2.8,72.5,23.3,14.0,,,0.0,4.7,63.9,0.8,88.6,13.8,19.7,1.2,72.4,6.5,7.3,14.0,28.2,0.0,4.1,1.8,17.7,18.4,3.8,4.9,0.0,46.4,95.5,95.5,1.3,0.0,0.0,,85.7,0.0,4.0,34.7,0.0,11.2,18.5,31.3,2.24,5.1,12.1,2.2,0.0,0.0,37.2,6.5,3.6,1.5,1.0,89.3,low,166.6793793378635,139.32785045428128,124.82493641648036,150.74415763926837,132.06349995460891,66.32001793174156,100.0,75.25325615050653,85.13663607384915,031,063400,17,135,17031063400
63,"Census Tract 705, Cook County, Illinois",3.5,48.7,14.5,0.0,,,2.7,1.4,80.7,0.2,91.7,8.3,18.4,4.1,67.5,6.6,2.8,13.9,28.9,0.0,5.8,3.1,8.3,41.3,15.3,0.4,3.1,62.5,91.3,91.3,2.5,0.0,0.0,0.0,95.2,2.1,3.5,21.1,0.5,4.2,9.3,62.6,2.66,6.4,12.8,0.0,0.0,0.0,49.8,6.8,14.7,1.1,0.2,87.2,low,226.40905643281934,177.477187477535,211.1130532386329,190.4055714769656,161.7846042114273,97.8778176637135,100.0,90.68017366136036,89.2045982070706,031,070500,17,1337,17031070500
64,"Census Tract 716, Cook County, Illinois",5.3,45.5,10.2,0.0,0.0,0.0,1.4,2.2,82.6,0.3,86.9,14.7,18.0,3.0,77.0,4.4,2.4,21.0,34.4,0.0,4.2,8.5,7.0,33.0,27.7,1.4,9.2,46.2,89.1,89.1,1.4,2.2,0.0,0.0,89.3,3.3,3.6,10.4,3.4,2.4,1.9,64.1,2.86,6.9,21.9,0.0,0.6,1.3,34.8,7.8,19.3,0.0,3.3,82.4,low,200.81524717772632,224.58034206543857,180.8167704921521,186.24958891441258,143.78833924858313,52.415130651833714,100.0,93.31403762662808,94.4348352354982,031,071600,17,1008,17031071600
65,"Census Tract 718, Cook County, Illinois",4.6,41.0,10.7,0.0,0.0,0.0,0.9,0.6,82.6,0.9,82.2,20.2,11.8,0.6,76.1,4.1,4.5,19.0,24.4,0.0,6.4,1.3,9.9,36.2,8.0,2.0,7.8,51.0,93.5,93.5,2.1,0.0,0.0,0.0,100.0,0.0,0.0,7.0,2.5,0.7,0.8,59.9,2.71,4.7,28.0,0.0,0.0,0.0,47.7,8.0,9.9,0.0,1.0,80.4,low,227.41781232505298,198.62252003860817,181.56295229674788,197.178283801126,159.33056808013038,78.42241982351321,100.0,92.18523878437051,87.4611858642614,031,071800,17,1009,17031071800
66,"Census Tract 801, Cook County, Illinois",4.1,60.7,9.7,0.0,,,2.0,2.6,79.7,0.0,89.9,13.0,19.3,5.2,68.9,4.7,1.8,14.9,30.5,0.0,5.5,2.2,18.7,26.8,22.9,0.6,1.9,51.8,83.3,83.3,8.1,1.6,0.0,0.0,85.7,0.0,0.0,84.3,0.0,10.6,9.7,48.1,1.86,7.5,20.0,0.0,1.1,4.4,31.0,2.0,24.4,0.6,0.4,90.8,low,211.69848253912372,231.64628394172948,154.8045257226385,151.56509246643938,157.87632444676922,194.41092400611905,100.0,63.965267727930545,68.28365009336025,031,080100,17,1542,17031080100
67,"Census Tract 804, Cook County, Illinois",29.8,43.2,9.4,30.0,0.0,0.0,7.1,9.1,82.8,0.6,96.7,6.9,8.2,9.9,48.7,16.8,9.5,11.8,15.6,0.0,20.4,7.4,2.9,16.5,11.4,3.4,33.5,18.1,53.4,53.4,1.9,17.2,26.9,39.7,93.0,0.0,2.9,40.4,0.0,1.7,8.8,30.9,2.05,13.6,27.1,0.0,0.0,0.0,82.1,16.6,9.0,1.5,1.4,37.3,high,113.42300208611802,162.29919187380696,90.08843810602407,149.46144697181373,53.625233980192206,118.50626155016116,100.0,83.1548480463097,80.1969677692231,031,080400,17,771,17031080400
68,"Census Tract 813, Cook County, Illinois",2.3,59.9,3.8,0.0,,,0.4,3.3,82.0,3.0,76.5,24.1,15.0,5.2,75.2,4.8,1.6,14.5,27.0,0.0,11.1,5.7,12.8,20.0,35.9,0.0,0.0,39.3,84.2,84.2,4.2,8.2,0.0,,78.8,3.1,4.8,96.1,0.0,10.1,17.2,64.4,1.65,5.1,24.5,0.7,3.1,6.7,25.3,0.8,42.4,0.0,1.1,82.5,high,167.20533495012438,187.09466739936366,174.0555824545792,141.45733240689685,142.06142493396678,152.00960106615312,100.0,58.6975397973951,65.08739413154339,031,081300,17,139,17031081300
69,"Census Tract 1503, Cook County, Illinois",11.1,39.6,5.9,16.0,0.0,0.0,6.2,6.6,90.7,0.0,70.9,44.1,13.7,3.9,42.6,12.6,7.1,9.6,12.1,1.0,5.6,9.2,19.2,7.5,26.1,2.4,6.4,9.8,70.1,70.1,9.4,6.6,14.4,6.3,92.0,0.0,2.4,5.0,0.0,0.9,3.0,56.0,3.12,2.6,30.5,5.1,6.7,5.2,0.9,5.3,18.0,0.4,3.4,82.3,low,130.0539882666327,108.24820481216128,125.12427679157983,108.92778988024736,91.0720075392417,224.8528994501971,100.0,100.83936324167877,102.28019077813957,031,150300,17,2241,17031150300
70,"Census Tract 1002, Cook County, Illinois",11.4,42.6,5.2,0.0,0.0,0.0,3.8,6.8,90.9,0.3,86.9,21.5,26.8,3.2,37.0,22.3,9.8,4.6,15.8,0.0,9.4,5.6,10.7,7.9,30.7,0.0,6.5,12.1,79.7,79.7,0.7,11.3,57.9,62.6,95.6,2.0,1.8,14.0,0.0,1.0,2.0,75.4,2.54,3.0,20.0,4.8,9.8,11.4,5.0,5.9,24.0,0.5,1.6,92.0,low,131.23536548801866,144.41405377356418,116.55836997079851,109.13302358704011,98.3432257060474,196.61396170272994,100.0,87.6700434153401,90.36687310227673,031,100200,17,1192,17031100200
71,"Census Tract 1003, Cook County, Illinois",6.7,47.7,2.2,0.0,0.0,0.0,3.4,10.4,90.4,0.0,83.8,23.8,21.2,2.3,46.5,22.7,5.8,12.1,7.5,0.0,4.6,10.6,12.0,9.3,45.1,1.2,3.0,15.6,85.9,85.9,2.9,2.0,0.0,0.0,91.8,0.0,4.6,24.6,0.5,3.0,4.7,65.4,2.66,8.3,21.0,2.4,5.8,5.4,18.8,4.4,32.8,0.6,1.2,90.4,low,168.04686392974168,170.57809856674953,143.35367180850716,116.31620332478606,122.5200261106764,176.98689858746906,100.0,82.40231548480466,92.69142289268902,031,100300,17,2749,17031100300
72,"Census Tract 1204, Cook County, Illinois",11.3,21.3,2.9,57.0,0.0,0.0,5.6,5.1,93.9,0.0,69.4,45.8,15.2,4.6,40.9,24.6,5.6,6.9,11.4,0.5,3.9,6.2,16.9,12.3,24.4,0.7,7.9,13.4,71.8,71.8,9.1,7.7,0.0,22.9,94.6,2.3,0.0,0.0,0.0,0.7,0.0,78.3,2.95,0.6,28.3,3.5,3.4,8.8,16.0,5.8,15.1,0.8,1.7,68.5,low,109.70085467627207,98.42450212397759,117.0529323296585,121.29312071451,117.1575027126572,107.26218603369243,100.0,112.12735166425472,99.08393481632272,031,120400,17,966,17031120400
73,"Census Tract 1512, Cook County, Illinois",11.3,33.3,4.4,0.0,0.0,0.0,4.8,4.8,98.2,0.0,57.2,76.2,3.7,6.1,36.7,17.2,12.2,5.1,9.2,0.0,3.7,12.3,18.4,4.8,21.5,0.6,6.7,6.3,72.6,72.6,8.0,8.0,0.0,0.0,90.3,5.9,5.6,0.0,2.3,0.0,0.0,73.6,2.96,2.1,22.9,1.0,1.3,6.5,0.8,3.1,14.6,0.8,0.0,78.7,low,100.92144176391795,95.21492597852524,84.95843819942803,100.82105846193409,86.16393527664779,99.39419426008206,100.0,107.23589001447179,104.3141718447503,031,151200,17,641,17031151200
74,"Census Tract 1602, Cook County, Illinois",8.3,39.2,3.8,0.0,0.0,0.0,3.7,6.3,93.2,0.0,79.7,33.5,15.4,2.8,54.6,8.2,14.7,10.8,16.9,0.0,4.7,7.6,13.4,14.0,26.9,2.5,4.3,21.3,79.9,79.9,3.7,5.1,0.0,0.0,89.3,6.9,7.4,1.3,2.4,2.7,2.3,67.7,2.78,5.8,23.4,1.1,7.1,7.0,27.4,6.2,19.4,0.0,3.9,83.8,low,141.42272111627096,152.32363423948917,147.92186622850346,129.0920015726342,87.34550822875374,85.8898592886489,100.0,92.56150506512304,94.14426651169669,031,160200,17,2245,17031160200
75,"Census Tract 1704, Cook County, Illinois",16.6,28.9,4.7,0.0,,,7.1,10.9,92.6,0.1,65.6,56.2,9.1,3.3,31.3,15.3,9.8,11.1,8.4,0.0,5.3,8.4,20.8,1.9,28.4,4.6,4.6,2.7,61.7,61.7,7.1,7.7,0.0,48.4,95.1,0.0,0.0,3.9,0.0,0.0,0.0,71.0,2.79,2.9,15.7,0.7,5.2,17.2,2.0,7.6,21.9,0.5,0.0,79.5,low,106.4911768373469,102.7514307125898,91.95172348436066,95.33105680522827,104.06931001240689,115.70239539083816,100.0,100.83936324167877,92.69142289268902,031,170400,17,289,17031170400
76,"Census Tract 1708, Cook County, Illinois",12.9,28.9,8.5,14.0,0.0,0.0,5.3,6.4,94.4,0.6,60.3,61.9,2.5,4.0,24.3,23.6,12.7,2.9,11.7,0.0,3.1,10.6,17.4,5.0,29.1,1.0,11.5,4.3,67.5,67.5,11.4,6.0,0.0,7.2,94.9,0.0,0.0,4.2,0.0,0.0,2.5,74.1,2.99,3.0,25.7,1.3,3.8,13.9,0.8,6.8,17.5,0.0,0.4,85.9,low,100.51955773198532,91.39418054369351,99.33111447050855,95.0745146717373,98.61589638730258,119.85097287146911,100.0,109.49348769898701,97.049953749712,031,170800,17,2543,17031170800
77,"Census Tract 1801, Cook County, Illinois",18.9,28.9,5.0,31.0,0.0,13.1,9.1,11.6,91.2,1.3,60.0,67.3,4.2,5.0,25.0,25.5,15.4,3.8,15.7,0.0,14.0,9.9,9.5,3.5,28.9,3.9,6.7,3.5,50.6,50.6,15.4,21.3,18.5,28.6,94.8,0.0,0.0,3.5,0.5,1.3,1.2,78.0,2.89,9.0,28.8,3.4,4.8,20.3,0.0,8.7,19.3,0.2,0.0,71.1,low,77.86840269728495,75.20944288966875,75.07586755483962,88.35311077427505,81.61942392239423,181.9651915642262,100.0,105.7308248914617,97.049953749712,031,180100,17,2690,17031180100
78,"Census Tract 8214.02, Cook County, Illinois",20.3,51.7,2.1,89.0,23.6,0.0,3.4,10.8,93.6,0.0,94.8,3.2,0.3,13.6,23.5,20.9,7.8,8.8,10.0,0.0,8.6,11.3,14.3,1.2,33.8,2.6,10.9,0.0,68.7,68.7,8.9,9.1,50.0,16.6,86.6,6.2,15.5,5.4,0.0,3.1,1.0,69.8,2.15,2.3,35.2,35.3,40.9,10.5,1.2,2.4,23.3,0.8,0.0,4.0,low,105.940946350674,99.25126794181902,106.27450969292458,68.95852548236103,81.34675324113901,85.74680489276507,100.0,77.88712011577425,90.65744182607828,031,821402,17,648,17031821402
79,"Census Tract 8233.04, Cook County, Illinois",13.4,39.4,4.0,25.0,0.0,33.3,6.1,5.2,88.7,1.2,89.7,19.7,16.1,14.4,36.2,21.2,14.6,5.9,9.7,0.0,7.3,13.0,11.9,4.0,34.5,1.4,14.5,6.6,65.9,65.9,7.6,6.6,26.8,11.2,90.6,2.2,7.5,7.7,0.0,2.5,0.2,56.1,2.9,9.5,30.8,11.0,24.6,26.5,0.3,5.9,19.9,0.4,0.1,68.1,low,101.52291920768292,114.82858581130722,102.84077191189225,76.0390883667106,84.2552405078613,175.61357638698433,100.0,96.70043415340088,99.37450354012428,031,823304,17,1273,17031823304
80,"Census Tract 5306, Cook County, Illinois",36.8,32.4,3.3,20.0,0.0,11.3,4.1,10.1,92.1,0.0,100.0,1.5,0.0,19.0,17.0,27.1,18.3,2.8,16.2,0.0,14.0,20.0,7.7,0.0,25.9,4.2,45.2,0.0,40.0,40.0,11.2,29.4,61.7,58.0,76.7,8.8,0.0,9.0,0.0,0.0,0.0,44.7,2.59,4.1,24.1,26.1,48.0,19.8,0.0,7.1,17.0,2.4,0.0,2.8,high,60.57929769937722,108.90436815965444,73.13666251615173,67.57319796151002,81.71031414947929,75.90466245595788,100.0,104.97829232995663,102.28019077813957,031,530600,17,2000,17031530600
81,"Census Tract 3108, Cook County, Illinois",12.7,49.5,8.5,0.0,0.0,0.0,12.8,8.6,91.5,0.4,54.1,81.5,2.9,3.9,39.0,25.3,12.7,4.0,16.6,0.6,3.3,12.5,9.8,2.1,13.8,5.8,15.5,4.2,47.8,47.8,25.6,6.1,0.0,61.0,91.3,4.6,1.5,0.0,0.0,0.8,5.7,24.7,3.07,4.7,20.8,0.0,13.8,8.2,4.0,3.2,13.0,0.0,0.6,53.8,low,81.19406049173429,80.42312937360745,67.61621864203464,127.09097293140495,80.25607051611814,120.70929924677205,100.0,103.849493487699,117.0991956920178,031,310800,17,1980,17031310800
