,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
5120,"Census Tract 79.11, Dallas County, Texas",5.2,75.4,12.2,0.0,,,0.0,5.0,63.4,3.3,74.5,31.1,7.0,3.6,73.8,1.3,11.0,12.8,21.9,0.0,8.5,3.9,19.2,3.5,7.4,2.6,4.3,7.1,89.7,89.7,6.6,5.7,15.7,71.4,84.9,0.0,1.5,35.3,3.3,25.3,7.0,1.6,1.52,10.3,5.0,0.0,0.0,0.0,0.0,3.9,7.3,0.7,0.5,72.1,low,137.84396705860732,127.20608766849628,133.39310455765053,,118.58629546170434,57.925418423585974,100.0,56.65083135391924,75.05358985894624,113,007911,48
5121,"Census Tract 149.02, Dallas County, Texas",16.6,23.0,10.8,0.0,0.0,19.0,17.1,7.0,85.8,2.1,66.0,63.9,4.0,4.2,16.9,13.4,8.0,10.5,10.1,0.0,3.2,10.1,19.4,0.0,23.1,11.1,22.7,0.0,40.8,40.8,28.7,9.5,0.0,44.3,90.9,1.7,3.7,14.9,3.0,4.8,0.7,37.3,3.09,7.7,19.2,21.9,40.4,21.6,0.0,6.1,9.2,0.0,0.0,52.6,low,69.00079285307609,56.754991330040525,65.07191060208166,83.2206073829046,66.17964187928568,53.548648603002846,100.0,118.64608076009502,103.16246328102264,113,014902,48
5122,"Census Tract 166.19, Dallas County, Texas",32.6,36.9,4.6,20.0,9.2,0.0,4.7,9.1,80.0,0.0,94.0,18.6,1.7,3.4,28.7,21.3,14.1,10.2,10.3,0.0,2.6,12.5,11.8,0.0,29.2,1.5,25.9,0.0,55.4,55.4,11.1,8.3,0.0,18.9,90.0,0.0,9.1,17.0,1.4,5.9,0.6,33.2,2.98,5.4,16.9,23.5,24.1,42.2,0.0,3.0,17.2,0.1,0.3,27.7,low,76.16081371121996,66.04042479835329,91.0032429604353,75.21751064503643,85.49647452206149,77.95992816569179,100.0,93.34916864608076,97.6566014766984,113,016619,48
5123,"Census Tract 137.19, Dallas County, Texas",14.1,23.0,4.1,0.0,0.0,0.0,7.0,4.8,86.1,0.0,57.7,50.5,4.8,2.5,36.5,12.8,19.5,6.3,11.4,0.0,2.8,10.1,20.5,7.1,24.5,2.8,8.1,7.9,66.7,66.7,14.5,8.8,0.0,25.0,97.5,0.0,0.0,6.8,1.8,0.0,0.7,51.6,2.86,6.7,21.2,1.2,1.2,30.4,0.0,7.2,21.2,0.5,0.5,43.2,low,112.7231721171152,103.82753436756671,136.0946249354781,110.59351796459865,100.2223110658816,94.04918060473678,100.0,100.11876484560571,92.73030407282934,113,013719,48
5124,"Census Tract 142.03, Dallas County, Texas",11.4,25.1,5.7,4.0,0.0,0.0,4.7,7.5,90.8,1.1,70.4,51.7,12.4,5.4,30.8,23.6,6.9,7.8,12.0,0.5,3.4,7.5,9.4,10.5,20.2,2.1,4.3,8.7,61.8,61.8,18.2,5.5,0.0,7.3,96.8,0.0,0.0,8.2,1.0,1.4,0.0,68.3,2.86,1.7,36.9,19.6,23.4,18.7,3.1,6.2,13.9,2.6,0.8,74.5,low,84.91769234285097,76.13982929893321,90.32261832684976,89.59988739135024,85.06336168253736,68.36391170460111,100.0,101.54394299287411,94.46899727419488,113,014203,48
5125,"Census Tract 172.01, Dallas County, Texas",16.4,23.6,7.6,57.0,0.0,5.9,29.2,8.7,83.1,0.7,62.8,62.8,2.9,7.0,12.3,18.1,10.3,3.9,11.1,0.4,4.4,15.8,8.6,0.6,19.2,1.4,31.5,0.8,29.7,29.7,33.2,19.8,15.2,26.3,83.8,5.1,18.9,1.3,0.0,0.0,0.0,46.0,3.96,6.8,22.8,50.7,16.3,9.4,0.0,11.6,9.0,0.0,0.0,75.0,low,58.08893140091384,57.66141786931354,68.01584523296712,72.66579864165817,79.17302706500932,115.80974041693173,100.0,133.9667458432304,123.15743509672646,113,017201,48
5126,"Census Tract 20, Dallas County, Texas",10.9,55.3,10.7,40.0,0.0,0.0,13.5,2.9,75.3,1.8,73.0,57.2,2.1,10.3,34.8,12.4,10.2,9.4,10.2,0.0,7.9,11.0,14.1,4.7,12.2,0.0,16.7,6.3,48.7,48.7,25.5,20.3,21.1,36.2,88.1,0.0,5.2,43.2,3.8,11.7,15.1,12.6,3.47,13.7,16.1,24.6,0.0,25.5,15.3,7.6,7.5,1.3,0.5,79.1,high,103.17820024775992,88.75366101945647,93.36911283402893,127.93356089664638,84.54362627510842,129.16608024500226,100.0,79.45368171021377,93.30986847328452,113,002000,48
5127,"Census Tract 71.01, Dallas County, Texas",6.4,48.2,3.1,0.0,,,0.4,1.9,79.1,0.7,84.9,16.4,13.9,3.5,62.2,10.3,9.6,20.5,22.4,0.0,4.0,8.7,9.1,27.1,13.6,0.8,2.1,41.8,91.1,91.1,1.3,9.3,0.0,31.8,96.5,0.0,6.3,22.5,1.7,13.3,7.7,45.8,2.42,9.1,17.9,0.0,8.3,8.3,33.4,10.9,13.8,0.0,1.2,89.7,low,156.0295415081261,219.80843577370598,153.59040746867382,214.98173628461834,139.6355794625766,47.897889444973,100.0,75.53444180522565,88.09378886918788,113,007101,48
5128,"Census Tract 78.05, Dallas County, Texas",7.3,54.6,8.5,54.0,0.0,27.3,8.5,7.0,82.8,0.0,86.7,26.4,2.8,4.1,40.8,14.1,18.4,6.3,12.9,0.0,11.2,9.6,5.8,4.0,53.9,0.9,15.9,6.0,67.6,67.6,14.2,6.4,15.6,50.0,89.9,7.2,3.4,28.4,2.6,9.8,1.1,53.1,2.33,7.4,25.0,7.5,25.3,35.4,0.0,5.3,32.5,0.0,0.0,66.6,high,126.17501931577884,110.44626095733825,116.5453139701287,78.92909174085935,101.6082721523588,60.946006046241926,100.0,74.82185273159145,88.09378886918788,113,007805,48
5129,"Census Tract 105, Dallas County, Texas",22.6,22.9,2.1,32.0,12.0,55.4,22.1,3.4,94.6,0.0,71.2,67.1,0.0,14.4,7.5,23.6,5.1,4.1,11.5,0.0,7.5,27.2,7.3,0.0,30.1,2.6,21.4,0.0,22.6,22.6,37.2,24.6,30.6,40.2,87.7,0.0,0.0,0.0,1.8,0.0,1.5,60.7,4.09,2.1,35.5,38.0,36.2,4.3,0.0,9.3,12.3,0.0,0.0,62.3,high,51.01417964717949,52.656130519447956,52.44539128655792,56.42763134743287,84.02389086767947,58.80899167375063,100.0,127.90973871733966,123.44721729695405,113,010500,48
