,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crimeStats,crime,%DP03_0065E-HH-MeanEarnings,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
952,"Census Tract 350, Kings County, New York",21.3,42.4,4.1,0.0,0.0,0.0,3.2,20.3,97.4,0.3,23.3,80.2,1.3,3.7,36.8,28.9,5.3,6.3,7.8,0.0,7.9,11.5,10.7,0.5,54.2,3.8,41.2,0.9,51.8,51.8,3.2,12.7,,12.4,98.6,0.0,0.0,96.0,0.0,3.6,5.5,23.4,2.58,0.0,31.9,0.0,16.3,0.0,11.3,1.0,46.7,0.3,0.0,98.6,3565,high,63.85813263189255,86.40817532129017,96.11017578981131,82.93679596907006,51.267548490219006,75.77731057628405,87.00384927868801,100.0,75.1645325408802,047,035000,36
953,"Census Tract 377, Kings County, New York",26.7,40.9,9.6,51.0,0.0,0.0,8.0,9.3,92.8,1.4,83.2,13.1,0.7,7.4,53.1,11.7,11.7,5.8,19.0,0.0,12.9,14.2,10.7,10.3,30.7,10.9,25.0,14.7,51.8,51.8,8.2,23.2,43.3,66.3,90.7,2.0,5.0,2.5,0.4,0.8,1.1,36.8,3.18,2.9,23.0,1.4,5.2,0.0,40.5,8.7,17.8,0.3,0.8,13.1,2704,high,117.54809822593127,110.78791259353923,98.02296915847691,101.39064116693093,109.9287842456941,92.03000071798478,129.25132663807744,100.0,95.26667496460398,047,037700,36
954,"Census Tract 396, Kings County, New York",17.8,26.3,2.2,0.0,0.0,0.0,4.1,6.9,85.2,5.3,69.4,45.5,0.8,2.5,39.8,10.0,25.8,9.7,7.8,0.0,5.9,13.3,9.3,11.9,24.8,1.5,9.7,14.3,62.8,62.8,11.1,16.4,36.8,83.8,85.9,0.0,0.0,16.7,0.0,1.3,4.6,37.4,3.09,3.6,17.4,0.0,0.0,1.8,39.2,14.7,14.5,0.0,0.2,82.9,130,low,117.8829063772739,101.0924277781112,105.34659712724674,77.91822598591935,85.44591415036503,92.23573097294303,58.771576012584084,100.0,97.88869354161143,047,039600,36
955,"Census Tract 408, Kings County, New York",17.7,18.6,5.7,20.0,41.4,8.6,8.1,4.7,91.4,4.1,44.2,74.5,4.5,10.8,33.4,29.3,14.1,7.1,7.7,0.0,3.1,13.4,22.9,8.0,22.8,2.9,21.6,9.8,51.3,51.3,14.7,11.7,25.0,34.1,93.6,0.0,4.8,0.0,0.0,1.8,1.8,43.4,3.51,0.8,21.8,0.0,0.0,0.0,65.7,9.6,13.8,0.0,1.1,33.8,193,low,91.13630065069775,77.25160836313528,73.82441388336193,95.84254337119866,118.78725861067072,95.8017220588858,102.31675745468513,100.0,107.50276165730541,047,040800,36
956,"Census Tract 192, Kings County, New York",13.6,16.3,3.1,22.0,5.3,0.0,16.4,4.3,86.2,3.6,56.4,70.8,1.6,3.3,30.5,30.1,8.0,5.0,5.7,0.0,3.1,16.1,9.8,8.0,28.3,5.3,33.7,9.6,38.6,38.6,9.9,18.3,12.5,30.8,90.2,8.9,3.2,7.0,0.0,4.6,12.5,42.2,4.03,5.0,21.0,12.2,1.8,0.0,39.9,10.4,12.9,0.0,0.0,43.8,1299,low,87.81539512358171,55.36751406545481,61.169575636362296,77.1398599155457,113.73025552830218,89.56123765848594,88.70528352046547,100.0,123.81754391424064,047,019200,36
957,"Census Tract 194, Kings County, New York",17.2,21.8,4.6,37.0,0.0,0.0,22.0,2.3,86.2,2.1,36.1,81.7,2.0,7.6,15.6,32.2,7.6,3.1,8.4,0.0,5.3,16.9,15.4,6.4,29.1,2.9,18.0,7.1,40.3,40.3,12.8,18.4,23.6,0.0,92.7,6.8,4.4,1.5,0.0,4.4,4.6,31.0,3.1,3.5,24.2,0.0,5.6,0.0,39.0,7.5,15.9,0.0,0.0,33.0,538,low,73.12188284534031,51.242525980345434,47.866884952293326,54.177065486492296,90.39828958275352,87.0924745989871,112.15047061478876,100.0,110.12478023431285,047,019400,36
958,"Census Tract 204, Kings County, New York",12.9,17.3,4.3,0.0,0.0,0.0,8.3,11.2,88.5,0.0,60.6,53.7,8.6,9.8,35.7,22.8,10.2,8.7,6.0,0.0,7.0,7.2,11.0,14.9,38.3,1.9,11.3,15.3,60.4,60.4,7.5,9.4,0.0,0.0,99.1,1.1,0.0,0.0,0.0,0.0,0.0,76.5,3.09,0.0,21.8,0.0,0.0,0.0,63.5,2.8,21.3,0.0,1.6,71.5,54,low,120.6233328368024,97.32252108494346,130.0681394255825,108.1212183636912,123.32112344313906,122.88953896172036,60.87674041342738,100.0,95.84934575949453,047,020400,36
959,"Census Tract 207, Kings County, New York",4.8,49.6,8.7,0.0,0.0,62.1,5.6,1.6,82.7,2.0,77.4,20.4,12.5,2.2,74.1,13.4,4.6,4.5,32.3,0.5,4.6,7.0,13.2,21.2,14.7,3.5,9.7,34.5,81.8,81.8,7.1,3.2,0.0,0.0,97.7,0.0,3.8,49.6,0.0,12.6,7.4,40.2,2.57,3.2,22.1,0.0,0.0,1.8,50.0,4.7,15.7,3.6,1.0,65.4,423,low,160.47637324109968,162.09339626749136,133.00881040390001,159.94327857843922,81.74907051773698,128.99286985881474,130.37600350976086,100.0,83.6132590667931,047,020700,36
960,"Census Tract 228, Kings County, New York",9.8,18.2,2.6,0.0,8.3,0.0,15.8,3.1,97.0,0.1,69.8,72.7,0.2,4.8,35.4,16.2,14.2,3.5,8.6,0.0,8.9,20.9,7.1,4.3,23.0,9.7,39.1,5.2,33.4,33.4,5.8,41.5,71.0,68.8,90.7,0.0,9.7,12.6,0.0,0.5,0.6,33.5,5.35,2.6,25.7,2.1,6.0,0.0,56.9,12.4,11.3,0.2,0.0,70.7,472,low,66.48876810672752,42.692871188558875,75.67567936694275,87.09339022722902,82.34196053429054,90.93277269154085,106.3252211768388,100.0,142.17167395329278,047,022800,36
961,"Census Tract 1134, Kings County, New York",45.7,28.3,1.2,104.0,0.0,17.6,16.5,6.0,88.6,0.0,78.1,34.7,0.0,13.2,10.0,48.7,9.5,3.2,9.3,0.0,29.5,8.7,6.9,0.0,19.5,28.9,59.0,0.0,29.8,29.8,5.7,33.4,36.4,54.2,91.5,0.0,4.1,86.3,0.0,1.4,3.5,4.5,3.41,2.9,33.4,0.0,0.0,0.0,48.8,10.0,5.8,0.0,0.0,9.0,3326,high,48.46565398575077,55.52364914559937,54.47751331155111,53.83068263164571,,46.7693446271726,92.82909871663794,100.0,101.09338291350942,047,113400,36
