,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crimeStats,crime,%DP03_0065E-HH-MeanEarnings,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
5134,"Census Tract 79.06, Dallas County, Texas",6.9,31.1,0.4,0.0,0.0,0.0,0.6,0.5,90.0,0.0,95.7,4.0,12.7,2.7,77.7,0.0,4.6,21.6,22.7,0.0,0.0,5.7,8.5,48.5,40.6,0.0,0.0,57.1,89.4,89.4,2.9,1.5,0.0,0.0,87.1,4.1,0.0,7.3,0.0,8.5,0.0,67.6,2.58,7.5,18.5,0.0,1.4,2.8,37.7,4.5,36.0,0.0,0.0,98.7,457,low,281.033741993264,288.05476631870425,338.82609389257937,185.7102527055956,231.9957583588244,190.3291049962142,46.87165984953426,100.0,78.16059225512532,113,007906,48
5135,"Census Tract 87.04, Dallas County, Texas",15.6,53.5,8.0,0.0,18.4,0.0,22.0,2.0,87.3,0.0,95.4,14.7,0.0,7.7,10.7,30.2,12.2,2.5,14.6,0.0,24.4,21.6,5.1,0.0,30.9,2.3,43.3,0.0,22.9,22.9,25.5,26.5,7.5,38.7,86.0,0.0,15.8,11.1,0.0,0.0,0.0,30.8,2.75,10.1,9.4,49.8,12.0,0.0,0.0,7.6,14.9,0.0,0.0,14.0,4046,high,42.32195243142307,56.35371078660716,40.63071513805668,77.8245868003021,49.518714730926284,63.21180753632809,78.94066233966677,100.0,103.34567198177682,113,008704,48
5136,"Census Tract 93.04, Dallas County, Texas",43.3,26.8,4.2,109.0,0.0,27.8,22.8,1.7,94.7,0.0,83.4,36.5,0.1,5.6,6.2,23.7,10.4,1.4,6.0,0.0,30.0,19.3,6.4,0.3,21.4,1.2,54.7,0.0,20.8,20.8,27.7,51.5,100.0,80.8,82.9,0.0,11.8,5.9,0.0,0.9,0.0,17.9,3.12,3.5,18.4,50.7,28.4,0.0,0.0,12.3,9.0,0.0,0.0,36.0,3963,high,41.22375984500442,51.53247268070606,47.006221643662535,68.52185118690394,62.91312117453749,64.07891052036551,137.1863474001699,100.0,114.05656795747919,113,009304,48
5137,"Census Tract 95, Dallas County, Texas",2.9,30.6,6.4,0.0,0.0,0.0,4.0,1.3,84.8,0.2,95.5,8.4,14.7,3.5,63.1,9.6,7.8,18.4,19.4,0.0,0.7,3.0,5.4,39.8,24.3,0.4,2.0,48.6,88.7,88.7,5.8,0.0,0.0,0.0,90.8,1.8,0.0,0.0,2.0,0.0,0.0,94.0,2.46,1.4,25.6,0.0,1.1,0.6,44.1,5.8,20.1,0.0,0.6,93.1,656,low,237.87079026509136,184.49374501070426,184.5362993025378,174.45014890333883,180.5055725496177,170.90599815377595,46.33786083241297,100.0,84.81871678056193,113,009500,48
5138,"Census Tract 112, Dallas County, Texas",31.6,29.0,0.7,0.0,4.0,10.3,9.8,8.4,94.4,0.0,87.9,29.8,0.3,9.9,33.2,20.0,9.4,11.1,7.1,0.0,15.3,9.1,8.3,0.3,29.9,0.1,24.3,0.4,45.1,45.1,17.3,20.1,36.5,34.4,95.9,0.0,6.7,0.0,0.3,0.5,1.7,56.4,2.9,3.6,25.5,42.5,38.6,4.7,0.0,2.9,12.7,0.3,0.0,24.6,2330,high,47.315599135262495,79.2713860274125,62.464740828659124,98.27803703061058,63.60893449628353,73.7037536431809,154.49375399375614,100.0,105.66154138192867,113,011200,48
5139,"Census Tract 115, Dallas County, Texas",27.8,29.2,8.5,104.0,5.3,50.5,14.6,2.9,77.0,2.3,66.1,61.3,0.5,5.8,6.3,16.7,10.6,4.8,5.5,1.5,7.6,21.3,9.6,0.5,20.7,1.3,36.0,0.0,18.3,18.3,32.6,39.3,32.8,76.7,86.3,0.0,9.8,10.4,6.9,2.7,0.4,26.8,3.95,2.0,19.4,63.9,6.7,2.9,0.0,12.0,9.3,0.0,0.0,54.6,1473,high,47.61262324412806,63.40729065215379,49.188174410220086,58.59303704460809,47.89515031351886,63.55864872994306,84.93563591656734,100.0,120.71469248291578,113,011500,48
5140,"Census Tract 117.01, Dallas County, Texas",23.2,22.3,2.2,22.0,17.8,11.7,19.7,4.9,97.3,0.0,70.2,64.4,1.6,4.9,9.0,31.4,7.4,2.0,15.2,0.0,10.1,16.0,6.1,0.0,23.3,1.0,23.7,0.0,25.1,25.1,39.7,24.1,41.8,52.5,94.9,0.0,3.0,2.3,0.0,0.6,0.0,66.6,3.66,3.0,28.9,52.2,25.4,5.7,1.8,7.9,9.7,0.0,0.0,68.2,2729,high,53.075135591080944,64.99628391856814,56.28133315466049,60.65281213038677,61.23157231365124,81.16083930590273,135.33858157167316,100.0,120.13572513287782,113,011701,48
5141,"Census Tract 136.17, Dallas County, Texas",12.6,34.9,6.7,105.0,,,1.2,3.7,88.5,0.7,84.9,17.3,9.4,2.7,53.5,13.9,15.2,15.6,20.5,0.3,1.5,6.0,2.6,24.0,26.3,0.0,1.4,30.2,75.2,75.2,12.7,7.9,18.5,54.5,92.4,0.0,16.3,21.0,0.0,3.8,1.9,68.5,2.59,7.1,35.0,3.6,3.2,1.5,25.2,9.6,20.2,1.0,0.7,86.1,369,low,160.348635874585,123.41181035818123,145.73595982413488,173.64718573430648,129.6532156186782,80.90070841069151,60.935210877537315,100.0,83.08181473044803,113,013617,48
5142,"Census Tract 119, Dallas County, Texas",20.1,17.2,2.6,8.0,0.0,24.7,18.8,5.3,97.2,0.0,73.8,58.7,0.9,6.7,20.9,18.3,15.9,3.1,8.0,0.0,3.5,18.4,12.4,0.0,27.7,1.4,23.6,0.0,36.7,36.7,28.0,24.3,36.5,46.1,90.1,2.3,6.6,0.0,0.6,0.0,0.0,76.9,4.35,0.8,28.7,56.5,25.4,2.6,0.0,6.7,9.3,0.2,0.0,64.3,2533,high,55.62999813668703,61.743369247973554,50.6760342286119,62.79171981833095,57.92645903535756,92.78001929200418,215.90117169413153,100.0,131.42558845861814,113,011900,48
5143,"Census Tract 131.02, Dallas County, Texas",3.2,36.1,7.2,0.0,0.0,81.0,1.0,3.3,80.5,1.2,92.9,5.1,10.5,2.7,67.9,7.2,9.7,9.5,23.4,0.0,1.9,3.1,12.0,28.0,40.1,0.9,1.4,37.5,85.7,85.7,2.5,1.2,0.0,0.0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,78.5,2.27,6.3,22.9,0.0,0.6,4.3,44.3,4.6,32.4,0.3,3.5,97.3,328,low,179.7894897127092,166.3275471958111,185.5946551295059,232.0726478566817,181.20138587136375,189.1151608185618,38.885205324142746,100.0,81.63439635535312,113,013102,48
