,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,STATEFP,TRACTCE,index,GEOID
0,"Census Tract 178.04, Dallas County, Texas",27.4,26.8,8.3,11.0,17.1,0.0,18.9,7.7,72.3,0.0,85.1,35.1,3.5,8.8,22.9,22.6,12.6,6.9,8.7,0.0,6.6,9.3,9.8,0.8,21.6,0.8,14.7,1.1,44.6,44.6,28.1,19.0,21.9,44.4,93.5,0.0,8.8,16.9,10.0,2.2,0.6,33.4,2.96,5.8,18.1,30.2,51.6,12.7,3.4,8.6,13.0,1.6,0.2,63.9,low,57.138051691135104,71.78354335118709,61.15365714640593,70.63602772988001,82.98442005282158,160.9336208206901,100.0,111.52019002375296,103.16246328102264,113,48,017804,3584,48113017804
1,"Census Tract 178.13, Dallas County, Texas",23.9,29.0,8.1,160.0,0.0,0.0,12.4,6.8,71.5,1.2,77.8,38.2,3.3,5.4,26.1,12.7,16.7,7.3,13.3,0.0,1.9,7.7,12.0,1.4,10.7,1.2,16.8,1.9,53.0,53.0,26.5,7.1,12.8,6.8,88.7,12.7,9.0,16.7,0.4,2.7,4.6,19.5,3.06,11.1,9.6,25.0,53.4,19.3,0.0,9.1,7.2,1.2,1.4,52.4,low,82.37770659634957,70.79372557030095,79.26013712480514,73.76767427948059,91.47343170749436,141.7004914682685,100.0,100.83135391923992,94.1792150739673,113,48,017813,458,48113017813
2,"Census Tract 184.01, Dallas County, Texas",16.4,27.0,2.8,133.0,1.9,16.8,22.3,5.2,85.1,0.3,71.7,55.6,3.3,3.6,22.0,11.9,9.8,6.3,10.2,0.0,2.5,12.5,14.4,5.8,25.8,0.7,18.6,5.3,46.4,46.4,30.4,21.9,78.6,64.9,95.7,2.9,6.5,3.2,0.0,3.2,0.0,61.9,3.11,3.7,21.9,17.6,37.5,33.7,0.8,8.1,11.9,2.9,0.2,73.5,low,64.17146084879211,74.16563229639658,61.54991121390437,77.6532357391702,79.4328947687238,103.2547809785454,100.0,119.35866983372921,118.52091989308501,113,48,018401,4205,48113018401
3,"Census Tract 190.16, Dallas County, Texas",16.7,45.4,11.6,14.0,0.0,33.3,6.0,12.0,73.9,0.3,54.4,52.0,6.5,6.2,22.3,22.6,20.9,9.8,7.7,0.0,5.1,9.4,8.1,2.8,22.9,3.2,14.9,5.1,52.0,52.0,22.3,21.6,71.9,79.0,89.2,0.0,7.0,13.6,0.0,9.9,3.8,31.3,2.36,10.3,28.1,11.1,58.0,28.0,0.0,5.7,11.8,1.0,1.3,48.2,low,67.76051497075596,62.431034318968145,68.91790596309592,75.85543864588098,71.2903733856703,61.19258462768322,100.0,89.42992874109264,93.59965067351212,113,48,019016,4209,48113019016
4,"Census Tract 190.31, Dallas County, Texas",10.1,29.2,3.7,33.0,0.0,0.0,8.1,8.2,83.9,0.2,86.0,19.7,14.4,4.8,44.4,12.7,10.5,12.3,17.1,0.0,0.7,4.6,16.9,8.3,28.1,1.8,0.0,7.4,78.3,78.3,11.2,4.8,0.0,17.6,96.6,0.0,9.4,1.2,2.1,2.3,1.7,81.0,2.8,0.7,22.3,1.7,27.5,24.2,3.5,3.3,19.4,2.6,0.4,78.7,low,101.02838525173837,101.24421873063862,112.14223200833727,89.65788084597249,123.0906689927552,124.27560504641643,100.0,96.9121140142518,95.33834387487768,113,48,019031,3162,48113019031
5,"Census Tract 190.32, Dallas County, Texas",14.3,20.6,5.6,14.0,0.0,0.0,14.4,7.0,92.7,0.0,57.1,69.1,1.7,1.5,15.9,24.3,7.4,2.6,14.3,0.0,7.1,10.8,20.7,0.7,17.7,0.7,21.5,0.9,46.6,46.6,30.7,14.0,7.4,27.0,95.9,4.1,0.0,2.2,0.0,1.6,0.0,64.5,3.4,3.4,17.8,14.6,53.6,17.3,2.9,7.4,14.0,0.4,3.8,69.5,low,73.4037793353125,58.69474412408478,68.77338977377296,74.28961537108069,87.05568074434834,79.50104429969994,100.0,123.99049881235152,112.43549368830557,113,48,019032,1302,48113019032
6,"Census Tract 137.17, Dallas County, Texas",12.4,29.4,3.3,87.0,0.0,0.0,20.2,3.0,91.9,0.8,59.3,80.6,2.0,4.1,9.9,29.3,6.4,3.0,8.8,0.6,6.3,18.4,10.4,0.6,13.1,0.4,13.1,0.8,31.8,31.8,36.3,29.5,51.2,86.7,96.3,0.0,1.8,7.7,0.0,3.5,0.0,32.4,2.42,0.6,24.8,7.8,38.6,37.9,0.0,10.4,8.7,0.0,1.3,86.9,low,57.347348583776615,56.794874097768535,52.13771165767678,71.44793609459127,85.49647452206148,66.59676520427176,100.0,127.90973871733965,130.40199010241628,113,48,013717,222,48113013717
7,"Census Tract 141.21, Dallas County, Texas",6.9,56.6,4.2,0.0,100.0,0.0,1.1,7.1,73.6,0.7,70.2,34.1,6.4,3.0,67.5,11.4,6.9,14.4,24.5,0.0,2.8,6.1,16.0,6.7,17.0,1.4,2.7,12.2,86.9,86.9,6.3,3.8,15.5,0.0,92.7,0.0,4.1,18.0,2.0,6.8,2.1,26.3,2.02,7.4,17.5,0.0,0.0,1.7,21.0,7.0,14.9,0.9,2.1,65.3,low,143.7662939466859,145.76063892741487,142.76800961340768,155.88640602456275,102.21463012769257,100.0698076349286,100.0,64.84560570071261,78.53097626167734,113,48,014121,3183,48113014121
8,"Census Tract 122.10, Dallas County, Texas",22.0,58.5,7.3,130.0,45.5,13.0,17.4,6.3,78.5,0.0,83.8,29.6,1.1,11.4,25.2,22.2,16.5,7.7,14.2,0.0,17.1,20.7,8.8,0.9,19.6,3.7,27.2,2.3,41.0,41.0,26.5,20.8,0.0,25.9,83.8,0.0,11.7,35.7,0.0,8.3,8.5,16.2,2.04,9.5,19.1,16.6,15.1,19.7,0.0,11.5,9.1,0.5,0.0,42.0,high,66.01637419874329,56.15312410796324,70.4306641384282,90.00584157370588,63.75420997795062,86.48743744053684,100.0,74.82185273159145,94.7587794744225,113,48,012210,1622,48113012210
9,"Census Tract 130.07, Dallas County, Texas",6.6,20.3,4.6,0.0,0.0,0.0,15.0,2.9,89.3,2.0,60.9,49.8,9.2,5.8,38.4,15.4,5.8,16.9,12.8,0.0,0.0,7.3,15.9,9.5,28.5,0.0,14.3,11.6,62.6,62.6,23.0,8.8,0.0,72.7,92.5,0.0,11.7,2.1,0.0,0.6,0.0,73.0,2.69,1.3,23.8,1.0,16.2,19.7,4.5,9.3,15.1,0.2,1.3,61.0,low,96.0285150386354,94.96449566655515,141.0687789357232,105.6060808670866,76.48772745995977,78.80240498561625,100.0,104.39429928741093,94.1792150739673,113,48,013007,720,48113013007
10,"Census Tract 110.01, Dallas County, Texas",26.1,40.0,5.6,36.0,0.0,42.4,8.5,4.5,96.3,0.0,92.3,13.7,1.6,2.0,23.7,19.5,16.8,6.0,7.5,0.0,9.2,15.0,11.4,0.5,32.2,0.4,9.6,0.0,43.6,43.6,19.0,14.9,11.1,11.3,97.1,2.8,3.0,1.3,0.0,0.0,1.3,55.4,2.57,8.4,21.7,48.7,34.8,6.7,0.0,6.2,26.2,0.0,0.0,26.1,high,78.41140128518,52.63075057634831,91.5370204984185,67.8523419080128,81.85832667005887,156.14588669770478,100.0,93.70546318289786,100.84420567920192,113,48,011001,217,48113011001
11,"Census Tract 122.06, Dallas County, Texas",17.7,34.0,6.5,20.0,0.0,0.0,14.2,6.7,93.5,0.0,86.3,28.7,3.2,1.9,40.2,23.7,9.4,6.8,12.9,0.0,11.7,12.8,14.2,5.0,30.5,3.5,16.4,7.0,64.7,64.7,14.6,24.4,0.0,74.8,92.5,1.8,11.0,4.1,0.0,0.0,0.0,65.6,2.87,4.8,28.3,6.9,26.0,27.8,2.9,5.7,15.8,0.7,0.4,47.2,high,80.92038008462342,76.41175726071509,72.37697088172932,83.10462047366012,68.3452060769063,108.289093682972,100.0,101.18764845605699,101.71355227988468,113,48,012206,775,48113012206
12,"Census Tract 125, Dallas County, Texas",18.7,29.0,4.3,77.0,23.3,18.3,15.0,6.1,90.6,0.4,69.5,64.8,3.7,7.3,14.3,18.9,14.7,7.1,13.3,0.0,7.2,14.3,8.2,0.6,20.9,1.2,7.7,0.9,40.1,40.1,36.8,18.6,12.6,35.2,94.3,2.8,6.6,0.0,0.0,0.0,0.6,75.6,3.37,0.6,29.5,46.8,26.8,14.8,0.0,9.5,13.0,0.3,0.0,78.3,high,69.17391497414994,62.759160726184966,63.68735227211653,63.212865538234155,94.59184415206805,168.49536398489002,100.0,117.22090261282659,116.78222669171943,113,48,012500,1623,48113012500
13,"Census Tract 136.05, Dallas County, Texas",5.4,20.1,3.6,0.0,0.0,100.0,3.2,7.8,84.3,2.3,88.3,10.8,13.3,3.4,56.8,10.2,7.9,15.4,15.3,0.0,1.6,4.2,14.7,23.1,30.9,0.7,0.7,26.3,86.0,86.0,4.6,5.2,0.0,52.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8,2.87,2.8,20.6,0.0,0.8,2.0,16.1,8.2,19.9,0.0,4.2,83.0,low,155.38614735667252,165.42284341732508,148.42278824723832,141.21406200513778,148.9041942283928,125.69343188970392,100.0,101.54394299287412,92.44052187260176,113,48,013605,4307,48113013605
14,"Census Tract 137.12, Dallas County, Texas",22.5,17.9,1.5,0.0,0.0,6.0,9.3,7.8,89.4,0.0,68.8,58.6,5.5,5.8,23.9,11.1,17.4,4.3,10.1,0.0,2.5,6.2,19.4,0.7,24.2,1.2,6.2,0.9,72.7,72.7,11.8,7.6,0.0,23.5,91.0,0.0,10.3,0.0,0.0,0.0,0.0,82.3,3.07,0.0,24.5,2.3,49.2,32.8,0.0,5.2,11.7,1.1,0.0,78.4,low,82.44747222723007,73.9770955762278,83.76810986916972,77.82721610303692,148.99081679629762,45.61703756664095,100.0,114.7268408551069,105.77050308307095,113,48,013712,2287,48113013712
15,"Census Tract 144.03, Dallas County, Texas",17.5,48.7,11.8,71.0,0.0,0.0,9.5,14.9,51.1,2.6,65.8,50.7,2.6,3.9,21.5,15.9,13.2,10.8,17.6,0.0,3.4,12.6,10.3,0.5,11.4,2.6,6.9,0.0,58.2,58.2,24.5,15.2,13.8,26.7,89.2,0.0,9.7,21.8,3.0,2.1,6.2,3.9,3.47,13.6,6.1,0.0,0.0,0.0,0.0,12.1,8.0,0.7,0.2,39.0,low,73.08337421571316,67.10275670238126,76.72644199909455,,89.8276029173027,91.1724304879216,100.0,81.94774346793348,87.2244422685051,113,48,014403,2070,48113014403
16,"Census Tract 4.01, Dallas County, Texas",11.0,51.7,10.5,39.0,,,10.4,5.4,69.7,2.7,66.6,54.9,1.9,2.2,37.8,18.1,9.9,6.9,15.3,1.0,6.8,11.6,11.9,0.6,9.5,0.8,11.7,0.0,37.5,37.5,29.0,19.1,50.6,40.7,89.4,8.3,4.6,56.4,2.7,32.4,6.9,11.1,3.05,16.7,10.0,22.7,36.5,12.8,0.0,6.4,7.3,0.1,1.0,70.0,high,72.67253216719462,77.66987729722605,84.45339631531407,67.38839427103494,107.67185190569649,113.89875641076165,100.0,88.00475059382424,101.42377007965707,113,48,000401,756,48113000401
17,"Census Tract 5, Dallas County, Texas",0.9,77.2,11.7,0.0,,,2.3,3.5,60.5,1.5,84.2,18.8,7.3,0.8,64.6,10.8,4.4,19.6,14.6,0.0,3.5,2.3,15.1,10.3,7.2,0.7,3.2,27.9,86.0,86.0,8.0,1.5,0.0,,83.8,10.6,4.9,73.5,18.8,28.7,2.6,20.4,1.59,15.2,6.9,15.7,1.8,23.7,21.5,1.2,10.2,1.8,0.3,78.8,high,155.05540658805384,120.19034625452316,140.46274330307853,155.77041911531828,120.05887911608637,117.2892119055795,100.0,51.66270783847981,64.62143065075294,113,48,000500,4116,48113000500
18,"Census Tract 9, Dallas County, Texas",9.0,71.4,16.7,0.0,50.8,21.8,10.2,3.7,63.2,3.1,70.4,37.6,7.1,3.7,46.9,20.0,7.2,11.6,22.7,0.0,7.9,10.6,12.5,7.6,13.7,1.7,14.4,9.6,60.6,60.6,21.7,21.4,56.0,54.1,88.1,0.0,8.3,54.6,5.8,22.3,7.9,18.1,2.11,12.6,12.1,0.0,6.2,3.4,12.8,4.4,7.4,0.3,0.0,81.6,high,105.37452566436846,111.51403142060184,126.56354915900098,118.24865397473343,103.86045891788423,103.91232386238887,100.0,69.83372921615202,92.73030407282934,113,48,000900,4615,48113000900
19,"Census Tract 13.02, Dallas County, Texas",13.1,66.3,10.6,0.0,0.0,18.4,15.0,4.9,71.6,0.0,86.9,23.1,7.7,6.2,46.3,13.3,9.9,9.8,20.6,0.0,9.9,8.8,10.8,4.1,16.3,1.3,19.9,6.8,51.8,51.8,22.0,23.6,38.6,36.9,76.4,8.3,15.7,25.4,3.5,4.9,6.1,14.5,2.45,17.6,8.9,6.6,0.0,0.0,33.7,7.0,8.6,0.0,0.6,69.3,high,103.0619241962924,83.61784824793558,135.84754886986144,145.56357110180525,82.98442005282158,44.93894646767736,100.0,68.05225653206651,90.122264270781,113,48,001302,4264,48113001302
20,"Census Tract 14, Dallas County, Texas",15.2,53.7,11.0,0.0,0.0,0.0,8.7,6.4,64.0,0.0,79.3,40.2,10.0,4.8,38.2,19.4,10.2,6.3,18.9,1.2,6.0,10.4,8.8,6.3,10.9,3.3,17.0,9.9,46.6,46.6,23.6,19.3,23.8,47.5,85.9,0.0,12.4,44.5,0.0,10.9,6.3,19.0,2.48,16.7,10.5,4.8,1.8,6.9,40.8,8.8,7.1,1.7,0.0,77.3,high,83.31049892034449,80.06828192014245,97.75587845186456,137.2705070908259,79.51951733662862,77.77499422961081,100.0,76.95961995249405,86.93466006827751,113,48,001400,4902,48113001400
21,"Census Tract 44, Dallas County, Texas",6.3,35.3,8.1,0.0,0.0,100.0,2.5,5.3,82.1,1.2,87.2,15.9,6.8,4.5,54.9,9.9,4.6,11.7,20.4,0.0,2.2,2.3,15.1,24.4,22.2,0.0,0.8,30.9,86.8,86.8,6.4,3.3,0.0,0.0,95.0,0.0,0.0,4.0,0.7,0.0,1.0,68.8,2.07,4.7,21.3,0.8,1.0,5.3,37.8,3.1,18.9,1.0,0.5,80.7,high,146.3243670789711,146.06701109768915,162.38724776713914,163.71552239856425,95.19820212740179,70.62421536781305,100.0,77.31591448931117,73.6046788578083,113,48,004400,4162,48113004400
22,"Census Tract 46, Dallas County, Texas",2.6,64.8,8.4,0.0,0.0,19.4,6.2,3.7,75.4,2.5,89.5,23.2,9.3,2.6,62.0,10.5,9.3,5.7,21.6,0.0,13.5,10.8,9.2,12.6,23.2,0.6,16.7,25.1,70.3,70.3,9.0,2.8,0.0,0.0,81.3,8.4,7.3,34.3,1.3,11.8,20.4,42.2,2.81,12.8,17.9,5.9,2.0,19.4,12.5,5.0,17.1,0.0,0.4,75.5,low,127.89332096524319,106.02833800492157,117.27488763558172,129.67336453531337,78.13355625015143,38.89777122236546,100.0,72.68408551068883,100.26464127874672,113,48,004600,940,48113004600
23,"Census Tract 88.01, Dallas County, Texas",22.4,39.8,4.3,0.0,0.0,9.1,26.8,3.7,91.3,0.0,87.0,27.4,0.0,7.3,13.8,26.2,4.1,8.8,6.8,1.3,16.1,16.0,6.4,2.3,44.3,0.0,24.4,3.0,36.0,36.0,30.1,12.1,12.8,6.0,90.8,0.0,9.7,9.6,0.5,1.1,4.3,62.8,3.03,2.1,18.2,59.5,13.9,4.1,1.7,3.1,25.9,0.6,0.0,22.9,high,65.98795116394011,48.93434314919296,70.81759458080901,63.32885244747862,73.97567299071987,60.41175245311911,100.0,99.76247030878858,110.11723608648481,113,48,008801,4301,48113008801
24,"Census Tract 92.02, Dallas County, Texas",26.6,18.1,4.0,31.0,0.0,0.0,22.2,4.6,97.3,0.2,66.6,72.2,0.1,4.3,3.8,22.3,24.1,6.9,8.2,0.0,8.7,10.7,12.1,0.2,21.6,0.8,20.5,0.2,33.2,33.2,29.3,26.7,100.0,60.4,95.6,0.0,5.4,0.0,0.0,0.8,0.7,62.1,4.29,2.6,27.3,55.9,12.5,0.0,0.0,9.3,8.5,0.2,0.0,84.1,high,62.81232300274965,49.6214144659619,59.011554275634964,62.86490481050075,86.70919047272902,137.4059145081658,100.0,140.38004750593825,127.21438589991274,113,48,009202,4095,48113009202
25,"Census Tract 96.04, Dallas County, Texas",8.9,44.2,2.7,0.0,0.0,0.0,7.2,4.9,79.9,0.0,74.0,35.8,4.8,0.0,37.7,20.4,10.9,7.6,23.9,0.0,3.8,13.6,5.7,16.1,31.5,1.5,2.4,26.0,63.7,63.7,21.8,3.8,0.0,33.1,90.9,0.0,1.4,21.4,0.0,15.1,6.6,51.8,2.18,7.2,25.7,4.4,3.2,3.3,38.6,5.2,22.9,0.8,0.0,83.4,high,93.721081395069,80.02296059317882,111.23317855937023,194.3940598937256,102.90761067093115,92.26148588928731,100.0,73.04038004750595,80.8492338634981,113,48,009604,1312,48113009604
26,"Census Tract 96.07, Dallas County, Texas",12.7,28.6,5.2,0.0,21.6,1.5,6.4,6.3,88.7,0.0,82.9,30.7,11.8,2.1,50.7,17.6,5.6,10.1,19.6,0.6,0.5,2.1,15.4,10.3,27.4,0.0,2.5,8.2,74.2,74.2,14.2,3.3,0.0,20.5,85.4,4.6,17.3,11.1,0.5,1.5,4.3,79.2,2.84,1.9,26.4,2.8,3.9,18.2,3.7,9.1,17.8,0.0,0.0,89.7,high,131.1335469328045,128.16871265320424,136.4419299711091,110.70950487384312,180.2615638099392,72.53519937398312,100.0,97.624703087886,93.88943287373972,113,48,009607,1499,48113009607
27,"Census Tract 96.08, Dallas County, Texas",11.6,24.6,1.0,59.0,0.0,50.0,1.8,3.4,82.3,0.0,80.9,23.2,10.1,6.5,54.8,9.7,3.7,14.8,21.7,0.5,3.3,6.1,8.1,19.2,34.4,0.5,1.4,24.8,82.4,82.4,9.9,1.8,0.0,16.7,97.2,0.0,8.0,0.7,0.0,0.0,2.0,83.3,2.31,2.7,27.2,0.8,0.7,9.0,9.9,5.4,22.3,0.0,0.7,93.2,low,130.01471292646156,164.57261532348704,134.74503019970402,121.1483267058451,146.3055171912481,68.89816529772392,100.0,90.49881235154396,87.2244422685051,113,48,009608,4761,48113009608
28,"Census Tract 61, Dallas County, Texas",22.3,36.5,4.9,12.0,0.0,22.6,15.7,5.3,82.3,0.0,80.8,39.0,0.6,3.8,21.1,23.9,11.6,5.6,11.6,0.0,20.0,17.5,9.3,0.5,28.7,0.5,25.7,0.4,41.6,41.6,20.3,28.0,31.2,66.1,89.9,2.1,2.5,10.0,0.0,1.3,0.0,51.0,3.07,7.2,23.3,20.1,20.9,26.6,0.0,7.1,16.5,0.6,0.2,46.9,high,68.36515043838702,58.1835195559348,77.7939970750609,79.56701974170392,65.40003876814228,89.65186256903354,100.0,104.0380047505938,110.11723608648481,113,48,006100,1653,48113006100
29,"Census Tract 78.19, Dallas County, Texas",15.5,61.3,7.0,66.0,0.0,0.0,5.3,4.1,65.9,0.0,69.5,53.2,0.9,3.2,21.8,43.0,13.1,3.6,20.2,0.0,8.4,17.6,2.9,0.0,6.6,0.7,17.1,0.0,39.5,39.5,34.7,20.2,14.3,56.2,78.1,0.0,12.4,59.0,0.0,25.5,12.4,3.9,1.52,11.3,8.2,15.2,0.0,37.0,0.0,8.7,5.4,0.4,0.0,58.3,high,56.99076869260957,55.607455331320885,54.340418091712216,65.24263645001231,70.33752513871725,45.185525049118674,100.0,65.9144893111639,83.16749146531879,113,48,007819,4090,48113007819
30,"Census Tract 79.03, Dallas County, Texas",5.1,49.8,13.5,15.0,0.0,0.0,1.7,4.8,84.4,0.0,89.2,17.1,10.3,3.4,70.2,2.6,7.7,16.0,17.5,0.0,6.7,4.0,15.5,21.3,28.8,0.5,0.5,31.6,87.0,87.0,4.8,3.2,5.2,22.7,87.8,0.0,10.5,33.4,3.1,7.1,1.0,58.3,2.26,9.3,16.6,0.8,2.9,0.0,18.2,7.1,26.5,1.0,1.4,92.2,low,164.86910533191178,164.51641687805213,167.00477310663564,159.8299609388746,127.07530711637712,44.13756607799314,100.0,75.89073634204277,77.37184746076697,113,48,007903,999,48113007903
31,"Census Tract 88.02, Dallas County, Texas",18.6,48.4,5.7,79.0,0.0,81.9,20.6,4.9,96.9,0.0,85.0,33.7,0.2,8.8,9.8,27.1,9.7,9.4,4.5,0.0,29.0,11.8,2.9,0.5,32.7,3.9,33.8,0.0,21.5,21.5,30.4,31.7,100.0,61.3,89.9,4.1,5.2,1.5,0.5,0.0,0.0,56.9,2.56,5.3,24.4,49.0,6.9,1.8,0.0,5.6,19.0,2.5,0.0,32.3,high,63.97249960516992,44.63244279380322,70.35840604376669,49.874370975120534,68.51845121271595,96.88483429131176,100.0,85.86698337292162,100.5544234789743,113,48,008802,5223,48113008802
32,"Census Tract 89, Dallas County, Texas",29.7,47.0,8.6,0.0,11.7,29.9,8.8,3.9,89.6,0.0,86.3,27.7,0.0,11.5,12.9,27.6,12.7,7.1,17.8,0.0,15.0,14.1,10.2,0.0,31.6,2.7,35.0,0.0,34.9,34.9,23.2,30.2,0.0,67.8,92.4,0.0,6.5,1.1,2.8,0.0,2.6,29.5,2.44,10.3,16.9,39.4,29.1,4.7,0.0,5.2,12.6,0.0,0.0,30.6,high,63.82004878213474,59.789707383526576,67.32123516170515,66.28651863321251,61.06891037290106,68.69268314652285,100.0,92.28028503562945,103.45224548125023,113,48,008900,1999,48113008900
33,"Census Tract 91.05, Dallas County, Texas",17.8,27.6,2.6,72.0,8.4,27.7,12.8,1.6,96.2,1.0,63.8,80.2,0.6,2.5,5.3,18.1,15.4,3.1,12.1,0.0,10.9,15.1,12.7,0.0,21.0,0.8,24.8,0.0,30.1,30.1,41.0,25.2,63.0,57.9,94.7,0.0,4.0,0.0,0.0,0.0,0.0,64.5,4.13,2.1,27.6,71.8,12.5,0.9,0.0,9.9,9.9,0.0,0.0,82.2,high,66.19208023207199,55.13248782474183,49.823121722230034,59.559277897033475,73.45593758329093,76.70648704336517,100.0,122.92161520190024,123.44721729695404,113,48,009105,1149,48113009105
34,"Census Tract 92.01, Dallas County, Texas",16.7,22.8,1.7,56.0,0.0,27.0,15.2,4.4,97.1,0.6,63.9,73.7,0.1,6.4,8.9,20.8,14.3,5.5,7.7,0.0,11.2,18.0,11.8,0.5,24.4,2.1,19.8,0.0,35.0,35.0,32.1,25.5,27.6,34.9,91.2,0.0,11.0,7.2,3.8,2.2,0.8,73.4,3.74,2.3,26.7,59.6,12.8,2.7,0.4,7.7,10.9,0.0,0.0,83.8,high,56.23626631419817,48.08230220227632,50.57600445047705,58.283421895344325,80.47236558358169,134.71409832743157,100.0,123.99049881235152,119.96983089422295,113,48,009201,2305,48113009201
35,"Census Tract 93.03, Dallas County, Texas",29.6,17.3,4.4,17.0,0.0,21.5,13.6,2.0,96.4,0.0,65.1,72.3,0.5,0.6,14.7,22.2,8.0,2.0,6.3,0.0,5.6,12.8,6.5,0.0,33.0,0.0,23.3,0.0,28.1,28.1,32.8,23.0,43.5,46.5,93.1,3.1,0.5,0.0,0.0,0.0,0.0,68.0,3.28,1.9,28.5,59.6,5.4,0.0,0.0,11.2,14.4,0.0,0.0,81.2,high,66.92074348793507,56.47218624978734,52.34749322282302,43.959038603652736,91.99316711492331,86.32305171957597,100.0,137.17339667458432,122.86765289649887,113,48,009303,1498,48113009303
36,"Census Tract 100, Dallas County, Texas",12.2,70.9,10.0,48.0,0.0,0.0,18.3,4.4,46.2,0.2,89.3,24.1,3.6,5.1,51.6,12.3,7.6,7.1,17.3,0.8,3.9,12.1,12.6,6.5,23.9,0.6,11.3,12.8,59.2,59.2,16.0,12.9,0.0,24.4,84.8,12.2,6.6,79.1,6.4,27.4,10.7,9.1,1.95,10.7,15.2,63.7,11.6,11.6,0.0,1.4,8.2,1.0,0.5,49.1,high,66.95175043499304,102.09807253063379,126.96912685161705,,120.49199195561049,214.46172120857284,100.0,63.77672209026129,89.83248207055344,113,48,010000,4762,48113010000
37,"Census Tract 101.01, Dallas County, Texas",24.3,17.2,3.1,53.0,0.0,1.3,22.7,2.1,91.1,0.0,64.6,63.5,0.0,10.2,11.1,15.0,10.5,3.5,8.9,0.0,18.3,14.1,6.2,2.2,23.8,2.1,40.9,1.7,17.6,17.6,46.6,29.2,47.6,62.0,84.4,0.0,3.3,3.5,0.0,0.5,4.5,53.2,3.96,12.3,31.9,25.3,34.6,10.8,0.4,13.0,11.6,0.0,0.0,57.6,high,63.69602099390274,59.015619118987416,70.59848939054517,75.68145828201429,79.25964963291415,103.91232386238887,100.0,130.40380047505943,118.2311376928574,113,48,010101,201,48113010101
38,"Census Tract 108.03, Dallas County, Texas",24.5,24.9,4.6,0.0,5.5,0.0,8.7,3.9,93.0,1.0,80.8,36.2,3.1,10.6,29.9,15.6,10.7,8.4,10.2,0.0,7.6,8.5,18.4,1.6,28.8,0.0,7.6,2.1,63.2,63.2,18.9,13.1,7.4,36.6,85.5,0.0,11.1,4.7,0.0,0.0,1.4,67.5,2.76,3.9,32.6,14.9,43.6,20.6,0.0,7.6,18.5,0.7,0.0,52.9,high,78.62844991458603,66.63504060811638,96.81652322126531,80.2629411971707,86.70919047272902,151.02938113279777,100.0,102.6128266033254,96.49747267578805,113,48,010803,3707,48113010803
