,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,STATEFP,TRACTCE,index,GEOID
395,"Census Tract 80, Dallas County, Texas",5.0,21.3,1.7,0.0,0.0,0.0,0.2,2.2,89.5,0.0,90.3,8.7,13.5,1.4,77.4,4.4,7.7,16.0,26.9,1.6,1.8,1.0,9.4,42.2,22.9,0.6,1.9,48.6,89.1,89.1,3.6,1.0,5.6,0.0,94.8,0.0,0.0,0.0,2.3,0.0,0.0,95.3,2.7,2.4,22.8,0.0,0.0,0.8,54.1,11.9,19.1,0.0,0.1,91.8,high,268.9542587811183,318.19015949332044,223.31014519188423,216.43157265017413,225.04543141673332,145.27588089916736,100.0,95.84323040380049,89.54269987032582,113,48,008000,2030,48113008000
396,"Census Tract 84, Dallas County, Texas",12.8,19.6,1.6,0.0,2.4,21.9,15.6,3.7,96.4,0.2,60.2,78.0,1.2,6.7,11.7,19.4,9.1,2.8,12.1,0.0,5.4,17.0,11.4,0.0,27.1,0.6,18.4,0.0,26.2,26.2,35.2,15.5,0.0,13.7,91.7,1.4,0.0,0.0,0.0,1.0,0.0,73.9,3.19,1.3,24.2,51.3,28.0,5.7,4.7,7.4,14.3,0.0,0.0,90.1,high,71.24879651478129,67.11544667393107,51.33121808500349,49.06246261040926,77.26733057110319,189.72167020396213,100.0,119.35866983372921,111.5661470876228,113,48,008400,5222,48113008400
397,"Census Tract 87.01, Dallas County, Texas",36.6,45.7,3.7,55.0,0.0,5.2,19.3,4.8,91.8,0.2,95.8,12.6,0.0,12.0,16.5,35.5,9.2,0.6,15.9,0.0,32.8,15.0,1.9,1.6,23.7,0.0,47.0,1.0,24.4,24.4,23.4,36.9,40.4,59.2,85.4,0.0,13.9,11.1,2.2,1.4,5.4,29.1,3.1,12.1,12.1,35.7,16.3,6.5,0.0,13.0,13.8,3.6,0.0,13.9,high,63.48672410126122,58.62766856017856,70.4329950447076,59.6172713516557,61.848513484044496,102.5355934493416,100.0,90.14251781472684,105.77050308307095,113,48,008701,4300,48113008701
398,"Census Tract 87.03, Dallas County, Texas",33.5,33.7,1.6,11.0,3.7,39.9,23.8,1.0,97.5,0.0,78.6,42.0,0.0,2.0,14.9,25.3,11.0,5.1,8.2,0.0,15.0,21.0,0.9,0.0,30.3,4.7,35.9,0.0,27.8,27.8,23.4,39.9,50.0,61.0,84.1,0.0,13.5,0.0,8.2,1.7,0.9,55.0,3.22,2.0,26.4,28.5,6.9,2.0,1.0,6.0,15.6,0.0,0.3,46.3,high,62.20768753511858,64.47955829772515,63.090640264589474,47.3806524263645,70.59739284243173,61.3775185637642,100.0,115.43942992874109,124.6063460978644,113,48,008703,2033,48113008703
399,"Census Tract 90, Dallas County, Texas",29.6,23.6,3.3,58.0,8.9,10.9,19.3,2.1,95.6,1.1,71.1,58.5,0.7,4.3,11.7,25.4,14.2,3.1,8.8,0.0,17.0,18.1,4.7,0.8,24.0,0.0,18.1,0.0,36.6,36.6,32.6,25.0,0.0,56.8,89.3,1.5,8.4,18.2,0.0,1.1,3.0,51.0,3.49,4.7,20.0,48.6,25.0,8.7,0.0,8.6,9.6,0.8,0.0,68.4,high,66.71144659529352,57.42030840986693,55.074653569724035,64.83668226765668,73.02282474376679,178.60508582398342,100.0,119.35866983372921,113.59462248921595,113,48,009000,2000,48113009000
400,"Census Tract 96.03, Dallas County, Texas",8.3,29.2,3.5,0.0,0.0,0.0,0.8,3.6,85.5,0.3,84.3,15.4,14.8,2.8,59.1,7.2,14.8,12.2,17.5,0.0,2.5,2.8,6.8,36.4,27.6,0.5,0.6,44.7,88.6,88.6,5.8,0.6,0.0,7.6,95.9,0.4,3.7,4.5,1.3,3.1,0.0,75.3,2.56,5.0,22.3,3.3,0.5,0.6,47.4,4.3,21.1,0.3,1.4,85.4,high,155.37581170765318,193.08698139593758,164.74146310933574,181.28753914910092,125.16961062247098,97.39853966931447,100.0,88.36104513064133,86.06531346759473,113,48,009603,200,48113009603
401,"Census Tract 97.02, Dallas County, Texas",2.6,33.9,5.1,0.0,100.0,0.0,1.3,6.9,80.7,0.0,93.3,19.2,15.3,1.2,58.7,10.4,7.0,10.5,23.1,1.8,3.8,4.6,13.2,21.4,27.0,1.0,1.3,25.7,82.6,82.6,8.2,4.1,0.0,0.0,93.5,0.8,0.0,0.0,3.0,0.0,0.6,91.3,2.53,2.7,13.2,0.0,2.5,1.2,11.5,7.6,20.8,0.0,0.0,94.0,low,147.13054770247922,144.46263612317594,149.67448491927755,126.71569834957948,173.2451358096484,64.52139547714081,100.0,89.78622327790974,90.122264270781,113,48,009702,4119,48113009702
402,"Census Tract 98.03, Dallas County, Texas",22.1,32.3,4.5,22.0,0.0,6.2,15.6,3.8,93.9,0.0,61.5,70.9,5.0,3.4,22.2,23.1,9.5,5.2,14.6,0.0,2.7,4.6,11.5,2.2,25.5,0.9,9.2,3.2,37.7,37.7,36.1,9.6,,9.6,87.8,2.4,6.5,3.3,0.0,6.3,0.0,65.1,3.04,1.8,31.1,18.8,13.3,34.6,0.0,4.8,14.3,0.5,0.0,85.4,low,65.82774860414045,59.673684786499635,73.46550411421033,92.96350775943978,78.48004652177073,48.55543232881648,100.0,113.30166270783847,116.20266229126426,113,48,009803,5212,48113009803
403,"Census Tract 107.01, Dallas County, Texas",18.6,33.2,5.7,47.0,10.6,11.1,18.5,2.1,87.3,0.4,71.6,78.1,0.9,3.1,29.3,11.5,4.8,6.4,9.6,0.0,7.2,11.5,13.4,0.5,16.3,3.3,19.7,0.7,42.5,42.5,23.7,22.7,25.0,54.4,91.3,0.0,5.6,23.4,0.0,5.8,9.1,31.0,4.16,11.6,12.8,40.8,6.5,0.0,0.0,9.2,6.2,0.0,0.0,83.1,high,78.00831097342595,63.32839659284843,65.87374236219615,51.092233522187435,86.6225679048242,114.24807606780348,100.0,114.37054631828977,117.07200889194704,113,48,010701,1923,48113010701
404,"Census Tract 116.02, Dallas County, Texas",19.6,17.5,3.7,31.0,7.4,0.0,17.6,4.5,96.7,0.0,69.8,64.5,0.4,0.0,12.3,23.0,9.3,7.0,8.8,0.0,3.8,16.2,11.1,1.0,21.9,0.9,21.1,1.3,38.8,38.8,28.5,12.4,24.6,37.4,97.1,0.0,0.0,1.5,0.0,0.0,0.8,66.7,3.8,3.9,27.7,43.5,25.2,4.5,2.2,9.4,9.9,0.0,0.0,76.6,high,70.46587110156672,64.14236762511561,63.018382169927996,69.24418481894641,74.06229555862471,141.92652183458966,100.0,128.62232779097386,115.91288009103668,113,48,011602,472,48113011602
