,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,ALAND,Popo_Density_Per_Hector
10,"Census Tract 4205, Baltimore County, Maryland",3490,1365,701,5.5,48.6,2.56,3.52,10.2,38,4.7,0.0,17.9,2.5,95.1,0.3,83.8,26.8,10.0,3.1,23.2,20.4,11.7,6.6,14.7,0.0,7.2,6.8,14.1,2.2,75924,29.1,4.9,16.6,2.3,30672,42047,32417,63.0,63.0,10.3,2.3,0.0,0.0,1428,95.6,0.0,0.0,1428,24,005,420500,0.0,0.0,0.6,0.9,1365,77.4,309,2.29,2.4,26.2,16.4,44.7,22.5,0.0,1240,1303,8.1,19.3,0.0,0.0,87.0,3490,85,8,low,853505,0.0244
11,"Census Tract 4207.02, Baltimore County, Maryland",1975,750,488,10.4,34.9,2.63,3.37,3.5,32,0.0,0.0,14.8,6.9,95.0,0.0,87.2,19.4,13.3,4.5,16.1,19.5,19.7,4.2,12.3,0.0,6.8,10.1,12.3,0.0,63698,41.1,2.3,17.5,0.0,32125,50000,32381,57.7,57.7,4.1,8.4,15.6,61.3,859,87.3,5.2,0.0,859,24,005,420702,0.0,0.0,0.0,0.6,750,80.9,143,2.57,3.7,32.9,7.2,32.9,39.4,0.0,1373,997,6.2,20.5,0.3,1.5,87.5,1975,64,6,low,643330,0.0324
12,"Census Tract 4302, Baltimore County, Maryland",2653,1056,728,27.1,31.1,2.51,2.99,5.7,0,0.0,33.3,14.3,4.5,96.8,0.0,92.0,11.3,21.0,11.0,23.6,29.2,8.4,0.6,8.4,0.0,15.9,16.6,15.1,1.2,72608,33.0,8.2,26.0,1.8,30000,50817,32778,59.7,59.7,9.0,21.2,80.4,64.8,1125,93.9,0.0,11.9,1125,24,005,430200,11.0,0.0,0.0,4.9,1056,58.0,443,2.56,1.9,29.6,4.1,6.4,63.8,0.0,1484,1067,4.7,16.2,0.0,0.4,76.4,2653,166,9,low,1661425,0.0626
13,"Census Tract 4407.01, Baltimore County, Maryland",7431,2456,1591,20.9,35.2,2.85,3.54,7.3,29,0.0,0.0,6.4,9.1,80.9,3.2,70.3,33.8,6.1,7.5,34.0,22.2,16.0,1.9,12.2,0.0,3.5,7.1,19.1,1.7,72332,22.2,1.1,13.8,2.1,32479,52578,36897,59.0,59.0,18.3,4.8,8.4,0.0,2629,93.4,0.0,11.0,2629,24,005,440701,1.0,0.6,0.3,0.5,2456,42.8,1404,2.81,6.6,24.6,4.8,3.1,26.2,0.2,1771,1193,12.9,11.0,0.7,0.0,44.6,7431,390,2,low,3906999,0.0525
14,"Census Tract 4505.04, Baltimore County, Maryland",5818,2453,1397,28.3,43.0,2.37,3.22,4.5,0,14.0,0.0,20.1,7.0,66.2,0.0,82.3,18.4,4.4,3.8,13.5,24.2,14.1,6.9,8.7,0.0,9.0,15.1,7.0,1.7,50362,21.0,6.7,41.2,2.9,32277,32914,37614,39.7,39.7,13.1,15.7,37.8,29.3,2851,86.0,0.0,12.4,2851,24,005,450504,2.4,0.0,2.1,9.3,2453,9.4,2222,2.33,3.4,13.8,10.0,61.9,7.4,0.0,1165,990,9.7,9.8,1.0,0.0,33.9,5818,116,1,low,1162828,0.0199
15,"Census Tract 4023.03, Baltimore County, Maryland",7103,2623,1803,21.9,31.3,2.68,3.05,10.3,18,0.0,0.0,5.2,7.9,89.9,0.5,86.4,9.9,4.2,4.6,36.5,18.5,9.6,5.5,13.5,0.0,2.4,6.8,12.8,5.5,77762,32.1,1.3,12.4,2.4,33542,48545,44063,74.1,74.1,7.6,4.8,20.1,8.4,2725,96.3,0.0,5.7,2725,24,005,402303,1.6,0.0,0.8,0.8,2623,65.1,916,2.79,2.3,21.3,3.3,16.8,27.8,0.0,1416,1138,6.4,24.4,0.5,0.0,9.3,7103,286,1,low,2862489,0.0403
16,"Census Tract 4304, Baltimore County, Maryland",4288,1566,1113,9.9,28.9,2.68,3.11,6.8,57,63.9,10.9,5.4,5.8,94.5,0.6,93.6,8.2,22.3,3.5,39.2,14.7,7.2,5.0,12.5,0.0,1.8,4.7,24.1,4.0,88202,26.1,0.9,10.0,5.7,40096,56006,51188,78.2,78.2,3.9,6.6,15.4,27.4,1703,92.0,0.0,6.2,1703,24,005,430400,0.5,0.0,0.4,0.8,1566,80.7,302,2.73,2.9,21.1,1.6,6.3,17.5,0.0,1710,1219,5.9,17.4,0.4,1.0,87.4,4288,720,56,low,7200660,0.1679
17,"Census Tract 4006, Baltimore County, Maryland",3049,1183,673,12.5,43.1,2.52,3.16,11.6,0,0.0,15.7,2.6,6.4,89.5,1.3,91.3,10.3,13.8,3.0,48.6,11.1,5.5,6.5,17.8,0.4,3.8,4.4,18.3,6.7,106713,22.8,0.0,6.3,10.1,55538,68261,63333,78.4,78.4,5.9,2.7,0.0,11.5,1266,93.4,0.0,10.6,1266,24,005,400600,8.3,0.0,0.9,1.4,1183,68.7,370,2.68,8.7,20.8,1.0,0.9,39.1,1.5,1624,1085,7.3,14.0,0.4,1.2,68.5,3049,96,2,low,968869,0.0315
18,"Census Tract 4023.02, Baltimore County, Maryland",5552,1846,1367,23.0,25.9,3.0,3.57,3.1,30,17.1,3.4,2.1,8.8,84.6,0.2,82.7,14.4,1.1,5.4,37.8,23.4,9.0,10.7,10.4,0.3,3.9,6.3,16.4,9.9,89225,30.3,3.6,14.4,12.1,40255,49028,46575,68.0,68.0,5.5,5.3,0.0,0.0,1946,94.9,0.0,6.4,1946,24,005,402302,0.4,0.0,0.0,0.0,1846,66.0,628,2.98,5.4,26.7,2.1,5.3,21.3,2.7,2110,1277,7.7,18.3,0.3,0.0,10.5,5552,290,1,low,2901560,0.0522
19,"Census Tract 4402, Baltimore County, Maryland",2414,1077,623,9.3,42.2,2.23,2.84,7.7,39,0.0,100.0,5.2,5.6,83.3,0.0,84.8,16.4,17.9,7.3,41.2,21.8,15.8,7.8,11.2,0.0,2.5,9.7,13.8,0.7,81995,37.7,1.9,11.2,1.3,47670,51985,50658,78.1,78.1,2.9,5.8,62.2,0.0,1173,91.8,3.2,5.0,1173,24,005,440200,8.2,0.0,0.8,0.0,1077,61.4,416,2.42,3.2,24.5,1.4,3.3,44.3,0.0,1626,1293,3.2,27.7,0.6,2.6,67.8,2414,187,5,low,1878495,0.0775
20,"Census Tract 4409, Baltimore County, Maryland",3904,1455,936,18.6,35.7,2.68,3.33,6.6,58,0.0,0.0,10.0,8.7,92.8,0.6,76.5,25.1,4.3,5.5,39.1,17.3,5.0,5.9,7.6,0.0,2.1,7.8,23.9,0.7,74986,26.8,2.3,8.9,0.0,41164,51403,45225,67.7,67.7,7.6,4.2,14.1,10.4,1478,98.4,0.0,2.9,1478,24,005,440900,1.6,3.5,0.3,0.8,1455,46.5,778,3.08,3.8,28.5,0.0,7.8,24.7,0.0,1762,1128,8.6,14.5,1.6,0.3,38.2,3904,192,1,low,1926277,0.0492
21,"Census Tract 4411.02, Baltimore County, Maryland",4883,1789,1176,11.9,34.3,2.73,3.4,5.4,0,10.1,0.0,7.6,7.2,86.9,0.0,87.1,16.6,12.1,8.0,33.0,17.4,17.6,11.0,11.7,0.0,5.3,7.0,18.9,5.0,75324,45.3,2.1,8.2,7.6,42009,50018,47847,69.9,69.9,3.7,5.2,0.0,36.5,1858,96.3,0.5,7.9,1858,24,005,441102,4.9,0.0,0.4,0.6,1789,85.6,258,2.56,3.3,26.8,1.0,10.0,30.8,3.6,1543,978,5.9,27.6,3.7,0.0,70.4,4883,259,5,low,2591921,0.053
22,"Census Tract 4906.03, Baltimore County, Maryland",2272,934,562,6.0,39.8,2.35,3.13,3.1,0,0.0,0.0,3.1,4.8,87.0,1.0,85.3,16.1,13.6,2.3,75.3,5.7,8.6,11.6,12.2,0.0,7.0,4.0,15.3,21.7,140773,30.9,1.9,0.0,31.5,63526,80179,69107,91.1,91.1,1.1,1.1,0.0,20.0,999,93.5,0.0,7.7,999,24,005,490603,11.3,0.0,1.9,8.6,934,75.7,227,2.54,8.1,22.6,0.7,0.6,0.0,20.4,2143,1379,7.5,22.8,0.8,0.0,89.3,2272,106,1,low,1068269,0.0467
23,"Census Tract 4907.03, Baltimore County, Maryland",3215,1427,717,5.6,49.8,2.23,3.16,6.6,134,0.0,42.1,0.0,7.2,81.9,0.4,84.4,13.4,21.3,4.0,69.2,7.7,2.6,16.7,17.1,0.0,4.3,0.7,13.0,13.9,119300,23.7,3.6,5.6,26.4,64315,86528,61696,90.0,90.0,1.8,5.4,46.5,35.1,1496,95.4,0.0,6.1,1496,24,005,490703,39.5,0.7,4.3,7.8,1427,45.0,785,2.7,9.7,17.3,3.1,8.4,5.0,26.5,2322,1704,4.1,21.4,1.3,0.3,73.8,3215,153,1,low,1532802,0.0476
24,"Census Tract 4501, Baltimore County, Maryland",3846,1464,901,9.7,38.5,2.62,3.34,6.9,55,34.8,29.9,12.5,9.0,90.8,0.7,95.8,2.9,29.9,5.4,28.3,14.4,9.9,4.9,16.7,0.0,7.7,14.8,3.8,0.7,87216,50.1,3.3,9.2,0.0,40561,55383,44857,70.4,70.4,4.4,4.4,41.5,44.0,1581,92.6,3.1,0.0,1581,24,005,450100,15.0,0.0,1.3,5.3,1464,74.9,367,2.94,0.0,21.7,4.4,17.4,30.1,0.9,1203,699,3.0,26.6,1.2,0.0,94.3,3846,912,1,low,9127546,0.2371
25,"Census Tract 4002, Baltimore County, Maryland",2442,1056,623,14.5,41.0,2.31,2.83,10.2,63,50.0,0.0,4.0,6.1,81.1,0.4,79.7,14.5,13.3,3.9,57.2,13.0,9.3,10.0,13.0,0.0,5.6,5.0,17.7,4.4,80205,12.5,3.1,4.8,4.2,45733,61683,59444,82.8,82.8,11.5,5.0,0.0,0.0,1144,92.3,0.0,0.0,1144,24,005,400200,0.9,0.0,2.6,0.0,1056,58.8,435,2.65,11.3,25.6,0.0,1.4,34.3,3.2,1483,1135,3.3,12.8,0.5,0.3,74.7,2442,92,4,low,922283,0.0377
26,"Census Tract 4911, Baltimore County, Maryland",3859,1375,1090,11.8,20.7,2.81,3.17,3.1,0,0.0,0.0,0.5,7.5,90.9,0.0,79.2,19.7,11.4,4.4,62.0,12.0,5.4,10.7,12.3,0.0,4.1,6.9,10.1,14.8,124470,17.3,0.7,6.3,16.4,56152,71923,63636,79.3,79.3,3.0,4.2,24.3,29.6,1468,93.7,0.0,15.2,1468,24,005,491100,4.9,0.0,0.0,1.8,1375,70.0,412,2.87,4.2,34.1,0.0,2.3,8.9,7.7,1978,1069,6.2,10.8,0.5,1.1,64.9,3859,109,37,low,1097271,0.0282
