,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,GEOID
1256,"Census Tract 155, New York County, New York",2.6,65.5,8.7,0.0,,,0.3,3.1,87.0,2.5,80.7,17.0,13.3,4.2,71.5,5.8,5.3,19.1,26.7,0.0,3.2,2.8,9.5,28.2,34.7,0.5,0.9,52.2,88.8,88.8,1.7,3.9,0.0,0.0,88.7,0.0,3.1,98.3,3.5,13.6,23.1,64.8,1.67,3.4,29.0,0.0,0.0,0.7,35.1,4.6,30.8,0.0,1.0,85.7,low,153.47534594790213,156.97529073234594,139.8371713241203,63.17646754307506,167.38852192992482,173.1998554346761,100.0,81.80280535101055,89.55223880597019,061,015500,36,4646,36061015500
1257,"Census Tract 166, New York County, New York",18.6,55.0,11.3,12.0,15.8,3.7,15.5,6.7,81.8,0.9,65.0,62.8,2.2,5.8,40.3,25.7,10.7,8.5,14.7,0.0,12.4,13.2,12.8,3.4,23.7,4.6,32.4,3.7,42.6,42.6,6.7,21.3,0.0,49.8,89.2,19.3,0.8,64.8,0.2,12.4,10.1,4.4,1.58,5.0,14.9,0.0,0.0,0.0,51.2,4.4,12.8,0.5,0.0,51.9,high,54.919562290184345,50.20766108248574,61.77525717009722,104.90039027111908,62.49171485383861,116.96320935019114,100.0,100.93796449744578,99.72862957937588,061,016600,36,893,36061016600
1258,"Census Tract 167, New York County, New York",5.2,49.2,7.4,0.0,,,0.4,1.7,82.3,0.7,80.3,20.3,11.6,3.3,81.2,3.1,2.1,25.1,25.2,0.9,5.0,3.6,5.4,46.7,24.7,1.9,1.1,62.8,88.3,88.3,3.2,5.6,0.0,78.6,84.5,0.0,4.6,78.3,0.0,12.3,9.2,43.4,2.26,6.8,23.4,0.0,1.1,0.0,35.8,5.8,22.1,0.0,5.6,86.2,high,179.4090765340112,207.08522400737183,157.44511202955903,127.72564256687382,121.10426713596785,109.26620846809764,100.0,96.63255368949785,91.92672998643152,061,016700,36,2167,36061016700
1259,"Census Tract 253, New York County, New York",24.7,44.1,19.7,8.0,0.0,0.0,12.4,3.0,86.9,1.5,47.4,79.9,3.0,9.1,24.3,38.2,8.5,1.9,10.9,0.0,7.7,12.2,10.4,1.6,33.3,6.0,39.3,2.2,42.2,42.2,14.3,21.4,18.0,63.6,95.6,0.0,0.0,85.7,0.0,4.9,4.9,1.6,1.7,3.1,12.5,0.0,0.0,0.0,54.1,5.0,15.8,1.1,0.6,38.1,high,36.39851198659353,36.846315246578285,44.00084520212662,,69.39981258427994,232.1061820052926,100.0,163.6056107020211,140.09497964721848,061,025300,36,2170,36061025300
1260,"Census Tract 181, New York County, New York",10.0,44.9,8.0,0.0,0.0,0.0,2.0,4.1,84.3,0.9,72.9,28.0,7.6,8.9,77.2,8.9,6.9,17.2,20.0,0.6,3.8,5.0,6.9,26.1,40.7,3.2,7.2,31.1,77.7,77.7,4.0,3.8,0.0,0.0,92.1,0.0,2.8,79.0,0.0,2.2,6.4,33.0,2.31,3.1,13.8,1.9,0.0,0.0,41.1,2.9,31.7,1.3,0.0,72.2,low,114.82807750450195,117.88416774841541,121.83336982116482,95.45105505497445,60.525563961328366,165.62420366558857,100.0,102.3731014334284,93.62279511533244,061,018100,36,2871,36061018100
1261,"Census Tract 209.01, New York County, New York",30.2,44.2,4.9,12.0,23.0,0.0,14.7,9.4,95.2,0.5,69.1,52.9,1.0,6.4,44.3,28.0,15.2,11.4,9.1,0.0,22.0,11.9,11.6,3.8,34.3,4.0,18.6,3.5,44.5,44.5,8.1,21.8,81.1,59.2,92.8,0.0,3.7,74.5,0.0,2.2,8.0,4.5,1.99,0.5,31.2,44.9,0.0,0.0,13.0,2.9,19.3,0.5,1.1,15.8,high,48.9477293450111,46.56045930808502,53.068941219414285,70.93386098065325,46.81564692706786,60.847912378712145,100.0,109.54878611334159,105.4952510176391,061,020901,36,1492,36061020901
1262,"Census Tract 223.02, New York County, New York",20.8,58.1,11.3,41.0,0.0,39.3,8.2,9.2,85.1,5.7,53.8,61.7,0.5,8.5,41.7,20.3,8.8,15.0,13.3,0.9,23.3,8.1,7.6,3.7,27.5,1.2,33.4,6.1,48.2,48.2,10.7,21.9,26.5,35.9,98.8,0.0,0.0,97.8,0.0,13.5,21.7,2.0,1.39,8.1,20.1,0.0,0.0,0.0,100.0,6.1,22.8,16.8,0.4,46.6,low,44.88992591449465,60.35767116526329,54.07039038929108,,69.13411651772451,59.06234685876704,100.0,106.67851224137631,113.29715061058347,061,022302,36,762,36061022302
1263,"Census Tract 240, New York County, New York",,,,69.0,100.0,0.0,42.4,4.4,49.0,0.3,78.8,30.3,2.1,34.2,6.3,53.5,15.6,0.0,21.9,0.0,,,,,,,,,6.0,6.0,10.9,,,,,,,,,,,,,,,,,,,0.0,13.4,0.4,0.3,33.7,low,14.467811331376412,17.102366305469598,,,,32.27886405959032,,,,061,024000,36,2765,36061024000
1264,"Census Tract 12, New York County, New York",7.2,55.4,4.1,29.0,0.0,48.9,10.3,3.8,93.9,0.4,57.7,48.7,4.2,4.1,58.2,16.3,4.3,14.5,17.1,0.0,15.5,8.4,10.1,10.3,37.6,3.3,21.3,15.9,65.7,65.7,2.3,14.9,0.0,61.5,95.9,4.1,0.0,96.6,0.0,14.7,12.1,37.2,2.21,2.1,28.0,2.3,0.0,0.0,54.4,2.7,26.7,1.7,1.0,66.7,high,87.48545078916223,77.97897212834457,101.17782529378424,89.19406281725706,55.15850341690856,69.51570616485347,100.0,100.45958551878486,110.92265943012217,061,001200,36,4789,36061001200
1265,"Census Tract 14.01, New York County, New York",6.0,47.7,4.1,0.0,0.0,100.0,2.7,3.8,91.3,0.8,73.5,24.7,8.1,1.8,77.1,6.8,4.1,14.5,18.6,0.0,5.1,3.0,8.3,28.2,26.3,0.8,5.8,38.7,87.3,87.3,0.6,4.6,0.0,66.7,95.9,0.0,4.3,96.2,0.0,5.3,7.5,77.7,2.06,2.5,35.3,2.3,0.0,0.0,60.5,3.2,24.8,1.8,0.7,80.3,low,116.84708956010576,89.84312795396748,109.69014323773712,76.36084404397955,62.01346193403882,54.8844702538469,100.0,94.71903777485431,92.60515603799186,061,001401,36,3191,36061001401
