,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
2144,"Census Tract 4205, Baltimore County, Maryland",5.5,48.6,10.2,38.0,4.7,0.0,17.9,2.5,95.1,0.3,83.8,26.8,10.0,3.1,23.2,20.4,11.7,6.6,14.7,0.0,7.2,6.8,14.1,2.2,29.1,4.9,16.6,2.3,63.0,63.0,10.3,2.3,0.0,0.0,95.6,0.0,0.0,0.0,0.0,0.6,0.9,77.4,2.29,2.4,26.2,16.4,44.7,22.5,0.0,8.1,19.3,0.0,0.0,87.0,low,74.51759260946412,73.18032832005336,68.45581022113608,75.17015237937781,108.50763033542489,93.28603018005978,100.0,96.49618778377456,106.35901661859634,005,420500,24
2145,"Census Tract 4207.02, Baltimore County, Maryland",10.4,34.9,3.5,32.0,0.0,0.0,14.8,6.9,95.0,0.0,87.2,19.4,13.3,4.5,16.1,19.5,19.7,4.2,12.3,0.0,6.8,10.1,12.3,0.0,41.1,2.3,17.5,0.0,57.7,57.7,4.1,8.4,15.6,61.3,87.3,5.2,0.0,0.0,0.0,0.0,0.6,80.9,2.57,3.7,32.9,7.2,32.9,39.4,0.0,6.2,20.5,0.3,1.5,87.5,low,78.04765462242548,87.02205665095413,68.37978809793032,83.23275743297238,83.02540862963824,52.7908050445897,100.0,99.13475541848715,101.82667216041752,005,420702,24
2146,"Census Tract 4302, Baltimore County, Maryland",27.1,31.1,5.7,0.0,0.0,33.3,14.3,4.5,96.8,0.0,92.0,11.3,21.0,11.0,23.6,29.2,8.4,0.6,8.4,0.0,15.9,16.6,15.1,1.2,33.0,8.2,26.0,1.8,59.7,59.7,9.0,21.2,80.4,64.8,93.9,0.0,11.9,11.0,0.0,0.0,4.9,58.0,2.56,1.9,29.6,4.1,6.4,63.8,0.0,4.7,16.2,0.0,0.4,76.4,low,72.88496929720668,88.44399705663072,69.2181431788382,89.96169849273925,88.85467503292277,70.91342064977037,100.0,94.61149661612271,90.34473286636452,005,430200,24
2147,"Census Tract 4407.01, Baltimore County, Maryland",20.9,35.2,7.3,29.0,0.0,0.0,6.4,9.1,80.9,3.2,70.3,33.8,6.1,7.5,34.0,22.2,16.0,1.9,12.2,0.0,3.5,7.1,19.1,1.7,22.2,1.1,13.8,2.1,59.0,59.0,18.3,4.8,8.4,0.0,93.4,0.0,11.0,1.0,0.6,0.3,0.5,42.8,2.81,6.6,24.6,4.8,3.1,26.2,0.2,12.9,11.0,0.7,0.0,44.6,low,78.90769726013252,91.50891389187731,77.91634110896312,107.35995150312749,99.34735455883492,198.6270745753651,100.0,107.42739655615527,106.96332921302019,005,440701,24
2148,"Census Tract 4505.04, Baltimore County, Maryland",28.3,43.0,4.5,0.0,14.0,0.0,20.1,7.0,66.2,0.0,82.3,18.4,4.4,3.8,13.5,24.2,14.1,6.9,8.7,0.0,9.0,15.1,7.0,1.7,21.0,6.7,41.2,2.9,39.7,39.7,13.1,15.7,37.8,29.3,86.0,0.0,12.4,2.4,0.0,2.1,9.3,9.4,2.33,3.4,13.8,10.0,61.9,7.4,0.0,9.7,9.8,1.0,0.0,33.9,low,78.41693846686468,57.28487945219008,79.43044839614439,70.62357058223803,82.44248198930978,155.5123563288217,100.0,89.33436134669755,97.2943277022387,005,450504,24
2149,"Census Tract 4023.03, Baltimore County, Maryland",21.9,31.3,10.3,18.0,0.0,0.0,5.2,7.9,89.9,0.5,86.4,9.9,4.2,4.6,36.5,18.5,9.6,5.5,13.5,0.0,2.4,6.8,12.8,5.5,32.1,1.3,12.4,2.4,74.1,74.1,7.6,4.8,20.1,8.4,96.3,0.0,5.7,1.6,0.0,0.8,0.8,65.1,2.79,2.3,21.3,3.3,16.8,27.8,0.0,6.4,24.4,0.5,0.0,9.3,low,81.49025467223022,84.48971480241137,93.04896707819721,85.83946432999919,94.76721667053994,189.859791509732,100.0,101.019446586139,92.15767064963603,005,402303,24
2150,"Census Tract 4304, Baltimore County, Maryland",9.9,28.9,6.8,57.0,63.9,10.9,5.4,5.8,94.5,0.6,93.6,8.2,22.3,3.5,39.2,14.7,7.2,5.0,12.5,0.0,1.8,4.7,24.1,4.0,26.1,0.9,10.0,5.7,78.2,78.2,3.9,6.6,15.4,27.4,92.0,0.0,6.2,0.5,0.0,0.4,0.8,80.7,2.73,2.9,21.1,1.6,6.3,17.5,0.0,5.9,17.4,0.4,1.0,87.4,low,97.41319096469331,97.47514609586673,108.09501229600251,103.66206497478714,101.51251065148345,114.61618837022817,100.0,101.019446586139,93.97060843290757,005,430400,24
2151,"Census Tract 4006, Baltimore County, Maryland",12.5,43.1,11.6,0.0,0.0,15.7,2.6,6.4,89.5,1.3,91.3,10.3,13.8,3.0,48.6,11.1,5.5,6.5,17.8,0.4,3.8,4.4,18.3,6.7,22.8,0.0,6.3,10.1,78.4,78.4,5.9,2.7,0.0,11.5,93.4,0.0,10.6,8.3,0.0,0.9,1.4,68.7,2.68,8.7,20.8,1.0,0.9,39.1,1.5,7.3,14.0,0.4,1.2,68.5,low,134.92951416094218,118.8042521810156,133.74192024972115,98.44865118073352,90.35362925091022,81.49831118022988,100.0,94.98843484965307,95.48138991896718,005,400600,24
2152,"Census Tract 4023.02, Baltimore County, Maryland",23.0,25.9,3.1,30.0,17.1,3.4,2.1,8.8,84.6,0.2,82.7,14.4,1.1,5.4,37.8,23.4,9.0,10.7,10.4,0.3,3.9,6.3,16.4,9.9,30.3,3.6,14.4,12.1,68.0,68.0,5.5,5.3,0.0,0.0,94.9,0.0,6.4,0.4,0.0,0.0,0.0,66.0,2.98,5.4,26.7,2.1,5.3,21.3,2.7,7.7,18.3,0.3,0.0,10.5,low,97.7994813019685,85.33034786965959,98.35362189744309,127.91050122619933,106.34247424277636,148.40230359876557,100.0,113.0814700591108,107.86979810465596,005,402302,24
2153,"Census Tract 4402, Baltimore County, Maryland",9.3,42.2,7.7,39.0,0.0,100.0,5.2,5.6,83.3,0.0,84.8,16.4,17.9,7.3,41.2,21.8,15.8,7.8,11.2,0.0,2.5,9.7,13.8,0.7,37.7,1.9,11.2,1.3,78.1,78.1,2.9,5.8,62.2,0.0,91.8,3.2,5.0,8.2,0.0,0.8,0.0,61.4,2.42,3.2,24.5,1.4,3.3,44.3,0.0,3.2,27.7,0.6,2.6,67.8,low,115.81421621326142,90.47683229999701,106.97579770436225,98.56989336199058,107.67487799209854,64.52506500133649,100.0,84.05722607727238,85.81238840818568,005,440200,24
2154,"Census Tract 4409, Baltimore County, Maryland",18.6,35.7,6.6,58.0,0.0,0.0,10.0,8.7,92.8,0.6,76.5,25.1,4.3,5.5,39.1,17.3,5.0,5.9,7.6,0.0,2.1,7.8,23.9,0.7,26.8,2.3,8.9,0.0,67.7,67.7,7.6,4.2,14.1,10.4,98.4,0.0,2.9,1.6,3.5,0.3,0.8,46.5,3.08,3.8,28.5,0.0,7.8,24.7,0.0,8.6,14.5,1.6,0.3,38.2,low,100.00789587167387,89.4638955605799,95.50279227722734,106.81436168747074,93.93446432721358,104.35205209826745,100.0,101.019446586139,100.61804697156984,005,440900,24
2155,"Census Tract 4411.02, Baltimore County, Maryland",11.9,34.3,5.4,0.0,10.1,0.0,7.6,7.2,86.9,0.0,87.1,16.6,12.1,8.0,33.0,17.4,17.6,11.0,11.7,0.0,5.3,7.0,18.9,5.0,45.3,2.1,8.2,7.6,69.9,69.9,3.7,5.2,0.0,36.5,96.3,0.5,7.9,4.9,0.0,0.4,0.6,85.6,2.56,3.3,26.8,1.0,10.0,30.8,3.6,5.9,27.6,3.7,0.0,70.4,low,102.06082250687851,87.05338459134848,101.03973691737971,93.53834283982255,81.44317917731814,130.52025368745902,100.0,102.90413775379083,102.73314105205328,005,441102,24
